case_id,source_mph_exists,compact_h5_exists,compact_audit_exists,compact_audit_status,compact_hash_matches_audit,h5_case_id_matches,h5_shape_matches,h5_time_matches,h5_axis_contract_matches,all_values_finite_from_audit,bc_from_audit
BASE_C1_0T,True,True,True,PASS,True,True,True,True,True,True,True
BASE_C2_0T,True,True,True,PASS,True,True,True,True,True,True,True
BASE_C3_0T,True,True,True,PASS,True,True,True,True,True,True,True
BASE_C8_0T,True,True,True,PASS,True,True,True,True,True,True,True
V40_A_E1_C4_2T,True,True,True,PASS,True,True,True,True,True,True,True
V40_B_E1_C4_2T,True,True,True,PASS,True,True,True,True,True,True,True
V40_CPLUS_E1_C4_2T,True,True,True,PASS,True,True,True,True,True,True,True
V40_C_E1_C4_2T,True,True,True,PASS,True,True,True,True,True,True,True
V52_A_E1_C4_2T,True,True,True,PASS,True,True,True,True,True,True,True
V52_B_E1_C4_2T,True,True,True,PASS,True,True,True,True,True,True,True
V52_CPLUS_E1_C4_2T,True,True,True,PASS,True,True,True,True,True,True,True
V52_C_E1_C4_2T,True,True,True,PASS,True,True,True,True,True,True,True
V40_A_E2_C5_2T,True,True,True,PASS,True,True,True,True,True,True,True
V40_B_E2_C5_2T,True,True,True,PASS,True,True,True,True,True,True,True
V40_CPLUS_E2_C5_2T,True,True,True,PASS,True,True,True,True,True,True,True
V40_C_E2_C5_2T,True,True,True,PASS,True,True,True,True,True,True,True
V52_A_E2_C5_2T,True,True,True,PASS,True,True,True,True,True,True,True
V52_B_E2_C5_2T,True,True,True,PASS,True,True,True,True,True,True,True
V52_CPLUS_E2_C5_2T,True,True,True,PASS,True,True,True,True,True,True,True
V52_C_E2_C5_2T,True,True,True,PASS,True,True,True,True,True,True,True
V40_A_E3_C6_1T,True,True,True,PASS,True,True,True,True,True,True,True
V40_B_E3_C6_1T,True,True,True,PASS,True,True,True,True,True,True,True
V40_CPLUS_E3_C6_1T,True,True,True,PASS,True,True,True,True,True,True,True
V40_C_E3_C6_1T,True,True,True,PASS,True,True,True,True,True,True,True
V52_A_E3_C6_1T,True,True,True,PASS,True,True,True,True,True,True,True
V52_B_E3_C6_1T,True,True,True,PASS,True,True,True,True,True,True,True
V52_CPLUS_E3_C6_1T,True,True,True,PASS,True,True,True,True,True,True,True
V52_C_E3_C6_1T,True,True,True,PASS,True,True,True,True,True,True,True
V40_A_E4_C7_1T,True,True,True,PASS,True,True,True,True,True,True,True
V40_B_E4_C7_1T,True,True,True,PASS,True,True,True,True,True,True,True
V40_CPLUS_E4_C7_1T,True,True,True,PASS,True,True,True,True,True,True,True
V40_C_E4_C7_1T,True,True,True,PASS,True,True,True,True,True,True,True
V52_A_E4_C7_1T,True,True,True,PASS,True,True,True,True,True,True,True
V52_B_E4_C7_1T,True,True,True,PASS,True,True,True,True,True,True,True
V52_CPLUS_E4_C7_1T,True,True,True,PASS,True,True,True,True,True,True,True
V52_C_E4_C7_1T,True,True,True,PASS,True,True,True,True,True,True,True
V40_A_E5_C9_1T,True,True,True,PASS,True,True,True,True,True,True,True
V40_B_E5_C9_1T,True,True,True,PASS,True,True,True,True,True,True,True
V40_CPLUS_E5_C9_1T,True,True,True,PASS,True,True,True,True,True,True,True
V40_C_E5_C9_1T,True,True,True,PASS,True,True,True,True,True,True,True
V52_A_E5_C9_1T,True,True,True,PASS,True,True,True,True,True,True,True
V52_B_E5_C9_1T,True,True,True,PASS,True,True,True,True,True,True,True
V52_CPLUS_E5_C9_1T,True,True,True,PASS,True,True,True,True,True,True,True
V52_C_E5_C9_1T,True,True,True,PASS,True,True,True,True,True,True,True
V40_A_E6_C10_1T,True,True,True,PASS,True,True,True,True,True,True,True
V40_B_E6_C10_1T,True,True,True,PASS,True,True,True,True,True,True,True
V40_CPLUS_E6_C10_1T,True,True,True,PASS,True,True,True,True,True,True,True
V40_C_E6_C10_1T,True,True,True,PASS,True,True,True,True,True,True,True
V52_A_E6_C10_1T,True,True,True,PASS,True,True,True,True,True,True,True
V52_B_E6_C10_1T,True,True,True,PASS,True,True,True,True,True,True,True
V52_CPLUS_E6_C10_1T,True,True,True,PASS,True,True,True,True,True,True,True
V52_C_E6_C10_1T,True,True,True,PASS,True,True,True,True,True,True,True
V40_A_E7_C11_2T,True,True,True,PASS,True,True,True,True,True,True,True
V40_B_E7_C11_2T,True,True,True,PASS,True,True,True,True,True,True,True
V40_CPLUS_E7_C11_2T,True,True,True,PASS,True,True,True,True,True,True,True
V40_C_E7_C11_2T,True,True,True,PASS,True,True,True,True,True,True,True
V52_A_E7_C11_2T,True,True,True,PASS,True,True,True,True,True,True,True
V52_B_E7_C11_2T,True,True,True,PASS,True,True,True,True,True,True,True
V52_CPLUS_E7_C11_2T,True,True,True,PASS,True,True,True,True,True,True,True
V52_C_E7_C11_2T,True,True,True,PASS,True,True,True,True,True,True,True
V40_A_E8_C12_2T,True,True,True,PASS,True,True,True,True,True,True,True
V40_B_E8_C12_2T,True,True,True,PASS,True,True,True,True,True,True,True
V40_CPLUS_E8_C12_2T,True,True,True,PASS,True,True,True,True,True,True,True
V40_C_E8_C12_2T,True,True,True,PASS,True,True,True,True,True,True,True
V52_A_E8_C12_2T,True,True,True,PASS,True,True,True,True,True,True,True
V52_B_E8_C12_2T,True,True,True,PASS,True,True,True,True,True,True,True
V52_CPLUS_E8_C12_2T,True,True,True,PASS,True,True,True,True,True,True,True
V52_C_E8_C12_2T,True,True,True,PASS,True,True,True,True,True,True,True
