"category","package_target","source","sha256","size_bytes","storage_mode"
"S10_OUTER_R4_LHS_03_OUTER_0_OUTER_OOF_PHYSICS_SEED_20260813","checkpoints\S10_OUTER_R4_LHS_03_OUTER_0_OUTER_OOF_PHYSICS_SEED_20260813\final_checkpoint.pt","external://checkpoints/S10_OUTER_R4_LHS_03_OUTER_0_OUTER_OOF_PHYSICS_SEED_20260813/final_checkpoint.pt","b6bf2accc1bac89e3dcc9d42ff640bf8ed45d1ffc72fec316278aa4115f9e322","1540391","external_pointer"
"S10_OUTER_R4_LHS_03_OUTER_0_OUTER_OOF_PHYSICS_SEED_20260813","predictions_oof\S10_OUTER_R4_LHS_03_OUTER_0_OUTER_OOF_PHYSICS_SEED_20260813\predictions.h5","external://predictions_oof/S10_OUTER_R4_LHS_03_OUTER_0_OUTER_OOF_PHYSICS_SEED_20260813/predictions.h5","2d2e5d3ccd9df814c6cd283bf2d18391ed2365bf51a2e32524955b5497f2edc1","178446363","external_pointer"
"S10_OUTER_R4_LHS_03_OUTER_0_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813","checkpoints\S10_OUTER_R4_LHS_03_OUTER_0_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813\final_checkpoint.pt","external://checkpoints/S10_OUTER_R4_LHS_03_OUTER_0_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813/final_checkpoint.pt","216e444f86f1bb8fd6cb02e74a411de6f2e169bec1eaa2f64d98664c66853c53","1540391","external_pointer"
"S10_OUTER_R4_LHS_03_OUTER_0_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813","predictions_oof\S10_OUTER_R4_LHS_03_OUTER_0_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813\predictions.h5","external://predictions_oof/S10_OUTER_R4_LHS_03_OUTER_0_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813/predictions.h5","0680cb2343975419a6628ffa17ed24453d304f7fd711cfe871cc791aeef65a1f","179356397","external_pointer"
"S10_OUTER_R4_LHS_03_OUTER_0_OUTER_OOF_CONTROL_SEED_20260813","checkpoints\S10_OUTER_R4_LHS_03_OUTER_0_OUTER_OOF_CONTROL_SEED_20260813\final_checkpoint.pt","external://checkpoints/S10_OUTER_R4_LHS_03_OUTER_0_OUTER_OOF_CONTROL_SEED_20260813/final_checkpoint.pt","7d906d7e3876e179443c636267f1d2d17acb43b12b467631c02451578197a8b9","1540391","external_pointer"
"S10_OUTER_R4_LHS_03_OUTER_0_OUTER_OOF_CONTROL_SEED_20260813","predictions_oof\S10_OUTER_R4_LHS_03_OUTER_0_OUTER_OOF_CONTROL_SEED_20260813\predictions.h5","external://predictions_oof/S10_OUTER_R4_LHS_03_OUTER_0_OUTER_OOF_CONTROL_SEED_20260813/predictions.h5","05b51c32f04e3c7d6468083155e0828e9f0cf27b75723f84576fdb9e3d8a3a50","177187388","external_pointer"
"S10_OUTER_R4_LHS_03_OUTER_1_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813","checkpoints\S10_OUTER_R4_LHS_03_OUTER_1_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813\final_checkpoint.pt","external://checkpoints/S10_OUTER_R4_LHS_03_OUTER_1_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813/final_checkpoint.pt","047d26e35e0ac9e524328675f3fa68214e005b27925d5deb2ba6e4f99b4787e0","1540391","external_pointer"
"S10_OUTER_R4_LHS_03_OUTER_1_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813","predictions_oof\S10_OUTER_R4_LHS_03_OUTER_1_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813\predictions.h5","external://predictions_oof/S10_OUTER_R4_LHS_03_OUTER_1_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813/predictions.h5","7b539077badb5ff7345184582f8c34c7343f6f2ace4c7969e3d73b2b65a98f6c","179630883","external_pointer"
"S10_OUTER_R4_LHS_03_OUTER_1_OUTER_OOF_CONTROL_SEED_20260813","checkpoints\S10_OUTER_R4_LHS_03_OUTER_1_OUTER_OOF_CONTROL_SEED_20260813\final_checkpoint.pt","external://checkpoints/S10_OUTER_R4_LHS_03_OUTER_1_OUTER_OOF_CONTROL_SEED_20260813/final_checkpoint.pt","d185c773787e717bc1ccee20ee066bf338dff20dce2ee276dc2223b1829eabba","1540391","external_pointer"
"S10_OUTER_R4_LHS_03_OUTER_1_OUTER_OOF_CONTROL_SEED_20260813","predictions_oof\S10_OUTER_R4_LHS_03_OUTER_1_OUTER_OOF_CONTROL_SEED_20260813\predictions.h5","external://predictions_oof/S10_OUTER_R4_LHS_03_OUTER_1_OUTER_OOF_CONTROL_SEED_20260813/predictions.h5","f8eefe6423c0f9ffac06368e9ad7a84d1ed95c489889eb073b3a96073939b7cf","177145661","external_pointer"
