fold,case_id,split_role,ph_opinf_direct_state_relative_l2,unconstrained_direct_state_relative_l2,ph_energy_balance_relative_max,ph_energy_max
0,BASE_C1_0T,validation,0.0,,0.0,0.0
0,V40_C_E8_C12_2T,validation,0.041127019768797374,,1.1782286325804513e-13,401234.27308312187
0,V52_B_E6_C10_1T,validation,0.04809985956700767,,1.3873023470231403e-13,134596.70084254947
1,BASE_C2_0T,validation,0.0,,0.0,0.0
1,V40_CPLUS_E2_C5_2T,validation,0.026771350993115183,,1.3817003833198098e-13,652438.6136818518
1,V52_C_E4_C7_1T,validation,0.05363629910043974,,9.411545673623243e-14,173581.70793035804
2,BASE_C3_0T,validation,0.0,,0.0,0.0
2,V40_A_E3_C6_1T,validation,0.05354191746779685,,1.1815797920354423e-13,101107.90348019125
2,V52_CPLUS_E1_C4_2T,validation,0.05490430356284698,,1.3381773625569802e-13,651426.59994307
3,BASE_C8_0T,validation,0.0,,0.0,0.0
3,V40_B_E5_C9_1T,validation,0.040078960825640844,,1.411995141419338e-13,134647.87575398327
3,V52_A_E7_C11_2T,validation,0.040028040139204045,,1.257183207237538e-13,177758.6014012585
