case_id,h5_bytes,expected_sha256,observed_sha256,match
BASE_C1_0T,34861533,02cbc80791f40ef10568eb33b4e251ef5eea5731f65256bf9517a14b152e457c,02cbc80791f40ef10568eb33b4e251ef5eea5731f65256bf9517a14b152e457c,True
BASE_C2_0T,37860921,e584595775d1a0ef59e613ef13d2f4fff35f81b12d3cac8bff6222caf0041e64,e584595775d1a0ef59e613ef13d2f4fff35f81b12d3cac8bff6222caf0041e64,True
BASE_C3_0T,34723393,5e7d3b1a40d6d31ad4375d239e81df4ef0eecf2cb0dbc7e2bb1356b82a8a348d,5e7d3b1a40d6d31ad4375d239e81df4ef0eecf2cb0dbc7e2bb1356b82a8a348d,True
BASE_C8_0T,37832586,9a264b2c30c390c0826e1dbd79194ed329b7ce3956799472b2ba85472604ef5c,9a264b2c30c390c0826e1dbd79194ed329b7ce3956799472b2ba85472604ef5c,True
V40_A_E1_C4_2T,37622533,cc8b9793db48def00f89e1df543ccf30cad0e8d1f79f47bdb14c117810fe6bd0,cc8b9793db48def00f89e1df543ccf30cad0e8d1f79f47bdb14c117810fe6bd0,True
V40_B_E1_C4_2T,37777930,c6ddb5456af2167320327e8859f5fb5f2a06b0add299584f7a855d4885faa3f4,c6ddb5456af2167320327e8859f5fb5f2a06b0add299584f7a855d4885faa3f4,True
V40_CPLUS_E1_C4_2T,37954412,5861c0d5ecd2124aa04a3c1c6f267f286bd8970a558d5c8c74c8c0351eac1a8f,5861c0d5ecd2124aa04a3c1c6f267f286bd8970a558d5c8c74c8c0351eac1a8f,True
V40_C_E1_C4_2T,37849380,9b10e464cbec7d29c914f27f49014205be88fcbe3eb4540af596f9fa41cc8520,9b10e464cbec7d29c914f27f49014205be88fcbe3eb4540af596f9fa41cc8520,True
V52_A_E1_C4_2T,36243713,d39b8b5545d6fb35609523a2e908774aa571aaab86c9e2925719e8579abdc214,d39b8b5545d6fb35609523a2e908774aa571aaab86c9e2925719e8579abdc214,True
V52_B_E1_C4_2T,36453850,ed636cdc47fef730d68b12fca0baf724af834389a243efa386f9eae213f8dcea,ed636cdc47fef730d68b12fca0baf724af834389a243efa386f9eae213f8dcea,True
V52_CPLUS_E1_C4_2T,37196798,2c0fd3545c107d7ebe666b33db2e71ad59aec14f7f48163aead23dcccb5a1ba9,2c0fd3545c107d7ebe666b33db2e71ad59aec14f7f48163aead23dcccb5a1ba9,True
V52_C_E1_C4_2T,36761893,e6dc245b117b92100db6976c09c4046064061455b153aab9572a42724749dbd7,e6dc245b117b92100db6976c09c4046064061455b153aab9572a42724749dbd7,True
V40_A_E2_C5_2T,38068360,484c4a193f080bf5d06f2a9098ed6d9501970c4f0e03d54fae0a0894a84b1a87,484c4a193f080bf5d06f2a9098ed6d9501970c4f0e03d54fae0a0894a84b1a87,True
V40_B_E2_C5_2T,37976378,bceb35eb7b3033113936bc9bc5d12c564bb8b89f56993bb30e5a7be6e782a591,bceb35eb7b3033113936bc9bc5d12c564bb8b89f56993bb30e5a7be6e782a591,True
V40_CPLUS_E2_C5_2T,38128361,7fab31c65cd01150a55f0d7a0c435260792e862c0bd4b433768a0dcf812d6c23,7fab31c65cd01150a55f0d7a0c435260792e862c0bd4b433768a0dcf812d6c23,True
V40_C_E2_C5_2T,38166525,373dfa0996a560a001a58106d37b00ce4204eb32ab30dd4f9fd04c6fc425df81,373dfa0996a560a001a58106d37b00ce4204eb32ab30dd4f9fd04c6fc425df81,True
V52_A_E2_C5_2T,37880555,5d51f6c4ff28183b3bb33a455c0fa8fbed46f295d9a607f188f499264fed01bc,5d51f6c4ff28183b3bb33a455c0fa8fbed46f295d9a607f188f499264fed01bc,True
V52_B_E2_C5_2T,37940979,fbbbff51b46450cdb2e09a6c7519cf7fbfe2810baaa387c70f5c0ca6a4f3715a,fbbbff51b46450cdb2e09a6c7519cf7fbfe2810baaa387c70f5c0ca6a4f3715a,True
V52_CPLUS_E2_C5_2T,37854080,664eade1d09c9dadff753c8fd1983dd0c89a06f98c5b860a5e85fa30233e8e9f,664eade1d09c9dadff753c8fd1983dd0c89a06f98c5b860a5e85fa30233e8e9f,True
V52_C_E2_C5_2T,37890938,015f1b45fa41311f16eae886ad52d0a123bc30d9f1fd9e0991ed7f04164e833a,015f1b45fa41311f16eae886ad52d0a123bc30d9f1fd9e0991ed7f04164e833a,True
V40_A_E3_C6_1T,36397211,2f5e8bd317d3f733fb5389bc0c864dd038e52247cb24940fef96088a87860664,2f5e8bd317d3f733fb5389bc0c864dd038e52247cb24940fef96088a87860664,True
V40_B_E3_C6_1T,36761646,4430111b3d7cbc71dfe3d7dd19a16dcb444e361a89a3ff421c70a3adeb57ccca,4430111b3d7cbc71dfe3d7dd19a16dcb444e361a89a3ff421c70a3adeb57ccca,True
V40_CPLUS_E3_C6_1T,37224862,b4fffebff5a9b1ea95504a7987d997839b249e3159945871986aa25b244ae0b4,b4fffebff5a9b1ea95504a7987d997839b249e3159945871986aa25b244ae0b4,True
V40_C_E3_C6_1T,36755007,e4a7292f9762ac27f5d61601c04879594cd1dd73e8a1017b9a20d08f2eb35fa2,e4a7292f9762ac27f5d61601c04879594cd1dd73e8a1017b9a20d08f2eb35fa2,True
V52_A_E3_C6_1T,35567108,14a882bcfe967a7862c570107c79bd21a3916b3142f571bb90777fb928b6f7c0,14a882bcfe967a7862c570107c79bd21a3916b3142f571bb90777fb928b6f7c0,True
V52_B_E3_C6_1T,35756730,99a8800b8bf51072e5b908236587aefe1ed64962b6f95e9196059c26f113d24c,99a8800b8bf51072e5b908236587aefe1ed64962b6f95e9196059c26f113d24c,True
V52_CPLUS_E3_C6_1T,36256686,a8b0e9adf4d0e4fc8db386a062866b8b8fdf711e2ab2ea5256a13f753bc0b47d,a8b0e9adf4d0e4fc8db386a062866b8b8fdf711e2ab2ea5256a13f753bc0b47d,True
V52_C_E3_C6_1T,35925162,e1de7785d8208f10db735697845a9e4d38546acbd5eeb31f8869d0f4bc0197af,e1de7785d8208f10db735697845a9e4d38546acbd5eeb31f8869d0f4bc0197af,True
V40_A_E4_C7_1T,37745707,208119c346a4f75a2a0508c3f9c6fb33b2fca3a863dabaa01242b4890bf8108e,208119c346a4f75a2a0508c3f9c6fb33b2fca3a863dabaa01242b4890bf8108e,True
V40_B_E4_C7_1T,37773143,5390df77ea8c17ef57ac03151d1f2b3035e4e8c9973777e2cc75f50981b8880b,5390df77ea8c17ef57ac03151d1f2b3035e4e8c9973777e2cc75f50981b8880b,True
V40_CPLUS_E4_C7_1T,37725720,28be5ad6684defc0bd60d27f3849613084f9b3e88e2e2c01890b02d33d2e9705,28be5ad6684defc0bd60d27f3849613084f9b3e88e2e2c01890b02d33d2e9705,True
V40_C_E4_C7_1T,37724451,3ba8c011c7b42abb730ac1e7498cda6ef1c144adc55dc61c949f0b2c4fbb3df2,3ba8c011c7b42abb730ac1e7498cda6ef1c144adc55dc61c949f0b2c4fbb3df2,True
V52_A_E4_C7_1T,37626702,c1268f325b9ff98be9979a9347f74384a83980dad81bd2db1241c2bf702914e2,c1268f325b9ff98be9979a9347f74384a83980dad81bd2db1241c2bf702914e2,True
V52_B_E4_C7_1T,37706559,eb1860f5a87a8a6a9840ae3b10b2aa61dc2a5721c857feb8c9fde25bb4de65ae,eb1860f5a87a8a6a9840ae3b10b2aa61dc2a5721c857feb8c9fde25bb4de65ae,True
V52_CPLUS_E4_C7_1T,37632242,abb4b1ad72ccb28485a0502482b04d68d4f7b0772a8eb559e17e4e1af139c123,abb4b1ad72ccb28485a0502482b04d68d4f7b0772a8eb559e17e4e1af139c123,True
V52_C_E4_C7_1T,37623665,4d84f2268e11aef2ed0b4ab6958bb43989dce9c4ae73e3edfefe00cd0066ca48,4d84f2268e11aef2ed0b4ab6958bb43989dce9c4ae73e3edfefe00cd0066ca48,True
V40_A_E5_C9_1T,37738945,a7c904ba8e69ac79155c77676d52e6041e469a257cc865a35f240284c90d4d5f,a7c904ba8e69ac79155c77676d52e6041e469a257cc865a35f240284c90d4d5f,True
V40_B_E5_C9_1T,37717725,2ced25438ac5f3bc8d7d90515e980cab7b677b5ce86e3d4f1a2ca5a267bc655f,2ced25438ac5f3bc8d7d90515e980cab7b677b5ce86e3d4f1a2ca5a267bc655f,True
V40_CPLUS_E5_C9_1T,37748939,1e27ef1558cc3e4a27f79e8922b3feb3178d1c9ac83082b1cc8dfb2c269004d5,1e27ef1558cc3e4a27f79e8922b3feb3178d1c9ac83082b1cc8dfb2c269004d5,True
