speed_kmh_nominal,train_count,series,seismic_scale_factor,wind_mps,count
40.0,1,A,0.0,0.0,1
40.0,1,A,0.0,20.0,1
40.0,1,A,0.4,0.0,1
40.0,1,A,0.4,20.0,1
40.0,1,B,0.0,0.0,1
40.0,1,B,0.0,20.0,1
40.0,1,B,0.4,0.0,1
40.0,1,B,0.4,20.0,1
40.0,1,C,0.0,0.0,1
40.0,1,C,0.0,20.0,1
40.0,1,C,0.4,0.0,1
40.0,1,C,0.4,20.0,1
40.0,1,C+,0.0,0.0,1
40.0,1,C+,0.0,20.0,1
40.0,1,C+,0.4,0.0,1
40.0,1,C+,0.4,20.0,1
40.0,2,A,0.0,0.0,1
40.0,2,A,0.0,20.0,1
40.0,2,A,0.4,0.0,1
40.0,2,A,0.4,20.0,1
40.0,2,B,0.0,0.0,1
40.0,2,B,0.0,20.0,1
40.0,2,B,0.4,0.0,1
40.0,2,B,0.4,20.0,1
40.0,2,C,0.0,0.0,1
40.0,2,C,0.0,20.0,1
40.0,2,C,0.4,0.0,1
40.0,2,C,0.4,20.0,1
40.0,2,C+,0.0,0.0,1
40.0,2,C+,0.0,20.0,1
40.0,2,C+,0.4,0.0,1
40.0,2,C+,0.4,20.0,1
52.0,1,A,0.0,0.0,1
52.0,1,A,0.0,20.0,1
52.0,1,A,0.4,0.0,1
52.0,1,A,0.4,20.0,1
52.0,1,B,0.0,0.0,1
52.0,1,B,0.0,20.0,1
52.0,1,B,0.4,0.0,1
52.0,1,B,0.4,20.0,1
52.0,1,C,0.0,0.0,1
52.0,1,C,0.0,20.0,1
52.0,1,C,0.4,0.0,1
52.0,1,C,0.4,20.0,1
52.0,1,C+,0.0,0.0,1
52.0,1,C+,0.0,20.0,1
52.0,1,C+,0.4,0.0,1
52.0,1,C+,0.4,20.0,1
52.0,2,A,0.0,0.0,1
52.0,2,A,0.0,20.0,1
52.0,2,A,0.4,0.0,1
52.0,2,A,0.4,20.0,1
52.0,2,B,0.0,0.0,1
52.0,2,B,0.0,20.0,1
52.0,2,B,0.4,0.0,1
52.0,2,B,0.4,20.0,1
52.0,2,C,0.0,0.0,1
52.0,2,C,0.0,20.0,1
52.0,2,C,0.4,0.0,1
52.0,2,C,0.4,20.0,1
52.0,2,C+,0.0,0.0,1
52.0,2,C+,0.0,20.0,1
52.0,2,C+,0.4,0.0,1
52.0,2,C+,0.4,20.0,1
