case_id,status,case_attr_match,axis_contract_match,values_shape,valid_mask_shape_match,time_count,time_start_s,time_end_s,dt_min_s,dt_max_s,time_strictly_increasing,coords_shape,graph_nodes_unique,graph_nodes_in_range
BASE_C1_0T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
BASE_C2_0T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
BASE_C3_0T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
BASE_C8_0T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V40_A_E1_C4_2T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V40_B_E1_C4_2T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V40_CPLUS_E1_C4_2T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V40_C_E1_C4_2T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V52_A_E1_C4_2T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V52_B_E1_C4_2T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V52_CPLUS_E1_C4_2T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V52_C_E1_C4_2T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V40_A_E2_C5_2T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V40_B_E2_C5_2T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V40_CPLUS_E2_C5_2T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V40_C_E2_C5_2T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V52_A_E2_C5_2T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V52_B_E2_C5_2T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V52_CPLUS_E2_C5_2T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V52_C_E2_C5_2T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V40_A_E3_C6_1T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V40_B_E3_C6_1T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V40_CPLUS_E3_C6_1T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V40_C_E3_C6_1T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V52_A_E3_C6_1T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V52_B_E3_C6_1T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V52_CPLUS_E3_C6_1T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V52_C_E3_C6_1T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V40_A_E4_C7_1T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V40_B_E4_C7_1T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V40_CPLUS_E4_C7_1T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V40_C_E4_C7_1T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V52_A_E4_C7_1T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V52_B_E4_C7_1T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V52_CPLUS_E4_C7_1T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
V52_C_E4_C7_1T,PASS_COMPACT_EXTRACTION,True,True,1201x512x9,True,1201,0.0,30.0,0.02499999999999858,0.02500000000000213,True,512x3,512,True
