route,mechanism,present
R1_BRIDGE_PINO,Beam graph,1
R1_BRIDGE_PINO,spectral/TFNO,1
R1_BRIDGE_PINO,modal,0
R1_BRIDGE_PINO,weak/Galerkin,0
R1_BRIDGE_PINO,energy/passivity,0
R1_BRIDGE_PINO,local frames,0
R1_BRIDGE_PINO,load-dependent ROM,0
R1_BRIDGE_PINO,multioperator,1
R2_MO_PIGNO,Beam graph,1
R2_MO_PIGNO,spectral/TFNO,0
R2_MO_PIGNO,modal,1
R2_MO_PIGNO,weak/Galerkin,1
R2_MO_PIGNO,energy/passivity,0
R2_MO_PIGNO,local frames,1
R2_MO_PIGNO,load-dependent ROM,0
R2_MO_PIGNO,multioperator,1
R3_GRAPH_NEURAL_GALERKIN,Beam graph,1
R3_GRAPH_NEURAL_GALERKIN,spectral/TFNO,0
R3_GRAPH_NEURAL_GALERKIN,modal,1
R3_GRAPH_NEURAL_GALERKIN,weak/Galerkin,1
R3_GRAPH_NEURAL_GALERKIN,energy/passivity,0
R3_GRAPH_NEURAL_GALERKIN,local frames,0
R3_GRAPH_NEURAL_GALERKIN,load-dependent ROM,0
R3_GRAPH_NEURAL_GALERKIN,multioperator,0
R4_PORT_HAMILTONIAN_OPINF,Beam graph,1
R4_PORT_HAMILTONIAN_OPINF,spectral/TFNO,0
R4_PORT_HAMILTONIAN_OPINF,modal,0
R4_PORT_HAMILTONIAN_OPINF,weak/Galerkin,0
R4_PORT_HAMILTONIAN_OPINF,energy/passivity,1
R4_PORT_HAMILTONIAN_OPINF,local frames,0
R4_PORT_HAMILTONIAN_OPINF,load-dependent ROM,0
R4_PORT_HAMILTONIAN_OPINF,multioperator,0
R5_ROTATION_MULTISCALE_GNO,Beam graph,1
R5_ROTATION_MULTISCALE_GNO,spectral/TFNO,0
R5_ROTATION_MULTISCALE_GNO,modal,0
R5_ROTATION_MULTISCALE_GNO,weak/Galerkin,0
R5_ROTATION_MULTISCALE_GNO,energy/passivity,0
R5_ROTATION_MULTISCALE_GNO,local frames,1
R5_ROTATION_MULTISCALE_GNO,load-dependent ROM,0
R5_ROTATION_MULTISCALE_GNO,multioperator,0
R6_LOAD_DEPENDENT_RITZ_KRYLOV,Beam graph,1
R6_LOAD_DEPENDENT_RITZ_KRYLOV,spectral/TFNO,0
R6_LOAD_DEPENDENT_RITZ_KRYLOV,modal,1
R6_LOAD_DEPENDENT_RITZ_KRYLOV,weak/Galerkin,0
R6_LOAD_DEPENDENT_RITZ_KRYLOV,energy/passivity,0
R6_LOAD_DEPENDENT_RITZ_KRYLOV,local frames,0
R6_LOAD_DEPENDENT_RITZ_KRYLOV,load-dependent ROM,1
R6_LOAD_DEPENDENT_RITZ_KRYLOV,multioperator,0
