trial_id,route,variant,width,graph_depth,temporal_modes,temporal_kernel,temporal_blocks,head_hidden,learning_rate,weight_decay,velocity_data_weight,state_loss_weight,equilibrium_loss_weight,gradient_clip,scheduler,score
R1_LHS_01,R1,physics,32,0,16,17,4,96,0.0002248341285023081,2.180659125220754e-06,0.1,0.01,0.0003,0.5,constant,0.8069566956350118
R1_LHS_02,R1,physics,40,0,16,17,3,96,0.00048345406610189893,0.00028474800886243296,0.5,0.1,0.0003,1.0,constant,0.39575614258507996
R1_LHS_03,R1,physics,64,0,8,25,2,64,0.00026773096153559934,2.479599264926796e-05,0.5,0.05,0.003,2.0,cosine,0.8719573780401773
R1_LHS_04,R1,physics,64,0,8,25,2,64,0.00036191535110892853,3.121646870118723e-06,0.25,0.01,0.0001,0.5,cosine,0.7683028373781211
R1_LHS_05,R1,physics,40,0,12,33,4,48,0.0005991055494215064,4.737989024937809e-05,0.1,0.1,0.001,0.5,cosine,0.7881526340826075
R1_LHS_06,R1,physics,48,0,12,25,3,48,0.0008921768099150581,1.0995577491061944e-05,0.25,0.03,0.0001,1.0,cosine,0.5078339330563644
R1_LHS_07,R1,physics,48,0,12,17,4,64,0.001184671537284624,0.00014379352374344726,0.1,0.05,0.003,1.0,constant,0.26499021340230855
R1_LHS_08,R1,physics,32,0,8,33,3,96,0.0007020197288208586,0.0008144597052181789,0.5,0.03,0.001,2.0,constant,0.2789289493012366
R6_LHS_01,R6,physics,32,2,16,17,2,48,0.00048736467439329853,5.561521705930803e-05,0.25,0.01,0.001,1.0,constant,0.6399400056443795
R6_LHS_02,R6,physics,64,3,16,33,2,96,0.0008566569806646974,6.643662335043364e-06,0.1,0.1,0.001,2.0,cosine,0.28430615436788004
R6_LHS_03,R6,physics,32,3,12,25,4,48,0.00022159956451786757,1.522472379418277e-06,0.1,0.01,0.0003,2.0,constant,0.8517948367057484
R6_LHS_04,R6,physics,40,3,8,17,3,96,0.0009783235389984137,8.623061767774373e-05,0.5,0.03,0.0001,1.0,constant,0.26586673301241226
R6_LHS_05,R6,physics,64,2,12,33,4,48,0.0006120490010715275,1.4416905558615397e-05,0.25,0.05,0.0001,1.0,cosine,0.7146767696280161
R6_LHS_06,R6,physics,40,1,12,33,3,96,0.00031101532780031726,0.0004400192057716056,0.5,0.1,0.003,0.5,constant,0.5960077400315937
R6_LHS_07,R6,physics,48,1,8,17,4,64,0.00038457995664893825,0.00040434610322513594,0.5,0.05,0.0003,0.5,cosine,0.8421361006175581
R6_LHS_08,R6,physics,48,1,16,25,3,64,0.0006531790574583108,3.4528780458752356e-06,0.25,0.03,0.003,0.5,cosine,0.530575066132716
R4_LHS_01,R4,physics,40,2,16,17,2,48,0.0005584395543877629,0.0005158026407314825,0.5,0.01,0.003,0.5,cosine,0.8533549733406798
R4_LHS_02,R4,physics,64,1,12,33,3,96,0.0006790714534901156,2.6538171153358344e-05,0.5,0.1,0.001,1.0,constant,0.30585213413613066
R4_LHS_03,R4,physics,48,1,12,25,4,64,0.000985849832184497,0.00010793542141659115,0.1,0.05,0.0003,2.0,constant,0.29108059517982704
R4_LHS_04,R4,physics,64,2,16,17,4,64,0.0008625270884430831,0.0003535451967609954,0.25,0.03,0.001,0.5,cosine,0.5304596801119146
R4_LHS_05,R4,physics,32,2,8,25,3,96,0.00024716764332660245,1.5923136001982724e-06,0.1,0.01,0.0001,1.0,constant,0.7107455311574984
R4_LHS_06,R4,physics,48,3,8,25,2,48,0.0004744565708086102,1.2141684298162866e-05,0.1,0.03,0.0001,2.0,cosine,0.8262927936652547
R4_LHS_07,R4,physics,40,3,16,33,2,48,0.0003675949146247681,4.054371392173936e-05,0.25,0.05,0.003,1.0,constant,0.7197196598643012
R4_LHS_08,R4,physics,32,1,12,17,4,64,0.00025997090710827754,4.539136426741499e-06,0.5,0.1,0.0003,0.5,cosine,0.901401980866982
R2_LHS_01,R2,physics,64,3,12,33,4,64,0.0004707382074880066,1.3089438103515906e-05,0.25,0.01,0.003,0.5,constant,0.4700550164163681
R2_LHS_02,R2,physics,64,1,12,17,2,64,0.0009790366902160642,0.00025564896597731916,0.1,0.01,0.0003,2.0,constant,0.33499764231578033
R2_LHS_03,R2,physics,32,2,16,25,2,96,0.00034238926058060014,7.134688000558581e-05,0.25,0.03,0.0003,2.0,cosine,0.852099733547065
R2_LHS_04,R2,physics,40,2,8,25,4,48,0.0009226687970618923,4.212131027645547e-06,0.1,0.1,0.001,0.5,cosine,0.6848922862174037
R2_LHS_05,R2,physics,32,3,16,33,3,96,0.0005530623239598811,1.924294263417425e-06,0.25,0.05,0.001,1.0,cosine,0.7070089015195653
R2_LHS_06,R2,physics,48,2,8,25,4,96,0.0002983333937081118,2.8493716291810977e-05,0.5,0.03,0.0001,1.0,constant,0.4672417092585248
R2_LHS_07,R2,physics,48,2,16,17,3,48,0.00020935740202687267,0.00010097627908637179,0.5,0.05,0.0001,0.5,constant,0.8593176810273564
R2_LHS_08,R2,physics,40,1,8,33,3,48,0.000626785089804932,0.0007912384767847296,0.1,0.1,0.003,2.0,cosine,0.7291519789186729
