feature,fold,repeat,delta_MAE,baseline_MAE
width,0,0,0.004709012168419874,0.13660976996001908
width,0,1,0.003835086108142899,0.13660976996001908
width,0,2,0.003099717283926162,0.13660976996001908
width,0,3,-0.00011212313141947816,0.13660976996001908
width,0,4,0.0022897289540582677,0.13660976996001908
width,0,5,0.0015088943027119772,0.13660976996001908
width,0,6,0.003937951333005091,0.13660976996001908
width,0,7,0.005822094429920793,0.13660976996001908
width,0,8,0.0036293774005000945,0.13660976996001908
width,0,9,0.0016177349010004227,0.13660976996001908
width,0,10,0.0029259200642564043,0.13660976996001908
width,0,11,0.003891671638110633,0.13660976996001908
width,0,12,0.0036480706456456513,0.13660976996001908
width,0,13,0.003232342819403211,0.13660976996001908
width,0,14,0.0033611290529224347,0.13660976996001908
width,0,15,0.005070839162350654,0.13660976996001908
width,0,16,0.0035429733964237597,0.13660976996001908
width,0,17,0.002507473252464254,0.13660976996001908
width,0,18,0.0035009146563867444,0.13660976996001908
width,0,19,0.0007268458783345755,0.13660976996001908
width,0,20,0.004925640545456217,0.13660976996001908
width,0,21,0.004290004511004336,0.13660976996001908
width,0,22,0.004186404487852097,0.13660976996001908
width,0,23,0.0025995635484162005,0.13660976996001908
width,0,24,0.0037202806340761174,0.13660976996001908
width,0,25,0.003209509345422301,0.13660976996001908
width,0,26,0.003089083761283584,0.13660976996001908
width,0,27,0.0007287964292593263,0.13660976996001908
width,0,28,0.0038957740454908796,0.13660976996001908
width,0,29,0.003279968380253906,0.13660976996001908
graph_depth,0,0,0.0009654004618964152,0.13660976996001908
graph_depth,0,1,-0.0006337428617162744,0.13660976996001908
graph_depth,0,2,0.0004919876959029179,0.13660976996001908
graph_depth,0,3,0.0006173170410748441,0.13660976996001908
graph_depth,0,4,9.758691535713404e-05,0.13660976996001908
graph_depth,0,5,0.0013253988915034876,0.13660976996001908
graph_depth,0,6,-4.477219511936359e-05,0.13660976996001908
graph_depth,0,7,0.00024472924744811664,0.13660976996001908
graph_depth,0,8,0.0002916745111193886,0.13660976996001908
graph_depth,0,9,-0.0004328474381661285,0.13660976996001908
graph_depth,0,10,0.0009299965612657723,0.13660976996001908
graph_depth,0,11,0.0012069761859875572,0.13660976996001908
graph_depth,0,12,-0.001221400226682684,0.13660976996001908
graph_depth,0,13,-0.00021425216276249603,0.13660976996001908
graph_depth,0,14,-0.00013397556209707173,0.13660976996001908
graph_depth,0,15,-7.054429890870906e-05,0.13660976996001908
graph_depth,0,16,-0.00110312328138909,0.13660976996001908
graph_depth,0,17,0.0006075963664064765,0.13660976996001908
graph_depth,0,18,-0.000830499318007355,0.13660976996001908
graph_depth,0,19,-0.00025898574834429255,0.13660976996001908
graph_depth,0,20,0.00019385993704093551,0.13660976996001908
graph_depth,0,21,0.0007098906799985205,0.13660976996001908
graph_depth,0,22,0.0006482471748207874,0.13660976996001908
graph_depth,0,23,0.0005228999325349593,0.13660976996001908
graph_depth,0,24,0.0009479507699063916,0.13660976996001908
graph_depth,0,25,-7.014264854590668e-05,0.13660976996001908
graph_depth,0,26,0.000721480187516832,0.13660976996001908
graph_depth,0,27,0.0008567944930908677,0.13660976996001908
graph_depth,0,28,0.00015989991408532633,0.13660976996001908
graph_depth,0,29,-0.0003974880808041703,0.13660976996001908
temporal_modes,0,0,0.0005688840334683032,0.13660976996001908
temporal_modes,0,1,0.0006919725052242365,0.13660976996001908
temporal_modes,0,2,-0.0010336974573500468,0.13660976996001908
temporal_modes,0,3,0.00017738256704927235,0.13660976996001908
temporal_modes,0,4,-5.581031437099093e-05,0.13660976996001908
temporal_modes,0,5,-0.001023652244805634,0.13660976996001908
temporal_modes,0,6,0.0001975136430627522,0.13660976996001908
temporal_modes,0,7,-0.000623349976467541,0.13660976996001908
temporal_modes,0,8,0.0002477941677084261,0.13660976996001908
temporal_modes,0,9,0.0002450332664547805,0.13660976996001908
temporal_modes,0,10,0.0002572176366140988,0.13660976996001908
temporal_modes,0,11,-0.0009647811236932202,0.13660976996001908
temporal_modes,0,12,-0.00010155331336830775,0.13660976996001908
temporal_modes,0,13,0.00022062587872717643,0.13660976996001908
temporal_modes,0,14,-0.0010554811881038628,0.13660976996001908
temporal_modes,0,15,-0.0001970059134461244,0.13660976996001908
temporal_modes,0,16,0.00019044959016928376,0.13660976996001908
temporal_modes,0,17,0.00014708706887459067,0.13660976996001908
temporal_modes,0,18,-3.0176288557892672e-05,0.13660976996001908
temporal_modes,0,19,-0.0001613081269932204,0.13660976996001908
temporal_modes,0,20,0.0002139048958411105,0.13660976996001908
temporal_modes,0,21,1.2990810365182126e-05,0.13660976996001908
temporal_modes,0,22,-0.0003085923399426538,0.13660976996001908
temporal_modes,0,23,0.0003626561106544468,0.13660976996001908
temporal_modes,0,24,-0.0006068892945940707,0.13660976996001908
temporal_modes,0,25,-0.0008198318903840651,0.13660976996001908
temporal_modes,0,26,-0.0011152360017287477,0.13660976996001908
temporal_modes,0,27,0.0005588388209238904,0.13660976996001908
temporal_modes,0,28,-0.0009409370643703452,0.13660976996001908
temporal_modes,0,29,0.00028733458659011,0.13660976996001908
temporal_kernel,0,0,-0.0008063530151570519,0.13660976996001908
temporal_kernel,0,1,-0.0016199046685142493,0.13660976996001908
temporal_kernel,0,2,-0.0004388664548584942,0.13660976996001908
temporal_kernel,0,3,-0.0011472695112283715,0.13660976996001908
temporal_kernel,0,4,-0.0011947952194777678,0.13660976996001908
temporal_kernel,0,5,0.0006398393521436785,0.13660976996001908
temporal_kernel,0,6,0.00039178166012873716,0.13660976996001908
temporal_kernel,0,7,0.0006015650399789907,0.13660976996001908
temporal_kernel,0,8,-0.0008137060387875261,0.13660976996001908
temporal_kernel,0,9,-0.002186242721794157,0.13660976996001908
temporal_kernel,0,10,0.00032257902260396376,0.13660976996001908
temporal_kernel,0,11,0.0003776096070698953,0.13660976996001908
temporal_kernel,0,12,5.835951064753209e-05,0.13660976996001908
temporal_kernel,0,13,2.3367640811150503e-05,0.13660976996001908
temporal_kernel,0,14,-0.00048146859056208413,0.13660976996001908
temporal_kernel,0,15,-0.00044713148764455313,0.13660976996001908
temporal_kernel,0,16,-0.001922277580173215,0.13660976996001908
temporal_kernel,0,17,0.0003443811647074191,0.13660976996001908
temporal_kernel,0,18,-8.910470375228519e-05,0.13660976996001908
temporal_kernel,0,19,0.0007655014244400404,0.13660976996001908
temporal_kernel,0,20,0.0004746613461656668,0.13660976996001908
temporal_kernel,0,21,-0.0016832311541578326,0.13660976996001908
temporal_kernel,0,22,0.00047590296768262874,0.13660976996001908
temporal_kernel,0,23,-0.0006385107123377809,0.13660976996001908
temporal_kernel,0,24,-0.0012127024029177924,0.13660976996001908
temporal_kernel,0,25,5.835951064753209e-05,0.13660976996001908
temporal_kernel,0,26,-0.0007671618403251312,0.13660976996001908
temporal_kernel,0,27,-0.0008010186765615435,0.13660976996001908
temporal_kernel,0,28,-0.0006800981767549619,0.13660976996001908
temporal_kernel,0,29,0.0005235466654530951,0.13660976996001908
temporal_blocks,0,0,-0.0021481994198177257,0.13660976996001908
temporal_blocks,0,1,0.0004932401753921511,0.13660976996001908
temporal_blocks,0,2,0.0006988089723867219,0.13660976996001908
temporal_blocks,0,3,-0.0019651318801809647,0.13660976996001908
temporal_blocks,0,4,0.0006538929676102312,0.13660976996001908
temporal_blocks,0,5,-0.001152332869968048,0.13660976996001908
temporal_blocks,0,6,0.0006798270535931239,0.13660976996001908
temporal_blocks,0,7,-0.00029885719706670977,0.13660976996001908
temporal_blocks,0,8,-0.0019754035623226474,0.13660976996001908
temporal_blocks,0,9,-0.0019612013276439078,0.13660976996001908
temporal_blocks,0,10,0.00022759686481357844,0.13660976996001908
temporal_blocks,0,11,0.00027111352296740887,0.13660976996001908
temporal_blocks,0,12,-0.0012307812146009345,0.13660976996001908
temporal_blocks,0,13,0.00041180813601288113,0.13660976996001908
temporal_blocks,0,14,-0.0018861265864019705,0.13660976996001908
temporal_blocks,0,15,-0.0007800477517309334,0.13660976996001908
temporal_blocks,0,16,-0.001733488729236149,0.13660976996001908
temporal_blocks,0,17,-0.0006460604003686865,0.13660976996001908
temporal_blocks,0,18,-0.000776430153485913,0.13660976996001908
temporal_blocks,0,19,-0.0012468654017792624,0.13660976996001908
temporal_blocks,0,20,-0.00035227224975717397,0.13660976996001908
temporal_blocks,0,21,0.00020225409717392062,0.13660976996001908
temporal_blocks,0,22,-0.000744362797923781,0.13660976996001908
temporal_blocks,0,23,-0.0011830466400658546,0.13660976996001908
temporal_blocks,0,24,-0.0008926311469680537,0.13660976996001908
temporal_blocks,0,25,0.001086405568543447,0.13660976996001908
temporal_blocks,0,26,-0.001995845650278716,0.13660976996001908
temporal_blocks,0,27,-0.0009786842506598337,0.13660976996001908
temporal_blocks,0,28,-0.002118470231661035,0.13660976996001908
temporal_blocks,0,29,-5.9288237966109714e-05,0.13660976996001908
head_hidden,0,0,0.0006662343700434004,0.13660976996001908
head_hidden,0,1,0.007021609899918846,0.13660976996001908
head_hidden,0,2,0.009696802578110036,0.13660976996001908
head_hidden,0,3,0.011385188732751406,0.13660976996001908
head_hidden,0,4,0.0065343074843912385,0.13660976996001908
head_hidden,0,5,0.011385188732751406,0.13660976996001908
head_hidden,0,6,0.00893990589330218,0.13660976996001908
head_hidden,0,7,0.007021609899918846,0.13660976996001908
head_hidden,0,8,0.011806648022216898,0.13660976996001908
head_hidden,0,9,0.006272698511528174,0.13660976996001908
head_hidden,0,10,0.0072653879921208975,0.13660976996001908
head_hidden,0,11,0.006075679085767283,0.13660976996001908
head_hidden,0,12,0.007952669009924695,0.13660976996001908
head_hidden,0,13,0.0058200845434796256,0.13660976996001908
head_hidden,0,14,0.012349101247156907,0.13660976996001908
head_hidden,0,15,0.00569076126389223,0.13660976996001908
head_hidden,0,16,3.217955915554849e-05,0.13660976996001908
head_hidden,0,17,0.008173733546107814,0.13660976996001908
head_hidden,0,18,0.006745222830726122,0.13660976996001908
head_hidden,0,19,0.006482863766383434,0.13660976996001908
head_hidden,0,20,0.00513403343010288,0.13660976996001908
head_hidden,0,21,0.00046023111614720835,0.13660976996001908
head_hidden,0,22,0.000275235751463071,0.13660976996001908
head_hidden,0,23,0.007794772305121378,0.13660976996001908
head_hidden,0,24,0.006652797848780645,0.13660976996001908
head_hidden,0,25,0.012133544844617677,0.13660976996001908
head_hidden,0,26,0.006193134303174225,0.13660976996001908
head_hidden,0,27,0.012329037606927246,0.13660976996001908
head_hidden,0,28,0.0018884949346325841,0.13660976996001908
