model,axis,band_low_hz,band_high_hz,relative_energy_error,band
B2,X,0.0,0.5,0.03643372008333,0–0.5
B2,X,0.5,1.0,0.057031532685312344,0.5–1
B2,X,1.0,2.0,0.00215758522133675,1–2
B2,X,2.0,5.0,0.0127758575746428,2–5
B2,X,5.0,10.0,0.2906924093358134,5–10
B2,X,10.0,20.0,0.3786164359481276,10–20
B2,Y,0.0,0.5,0.02622159511565725,0–0.5
B2,Y,0.5,1.0,0.0539793053918195,0.5–1
B2,Y,1.0,2.0,0.032654973002724255,1–2
B2,Y,2.0,5.0,0.0858183194515485,2–5
B2,Y,5.0,10.0,0.701878047113086,5–10
B2,Y,10.0,20.0,0.16444951759663465,10–20
B2,Z,0.0,0.5,0.023878286361735848,0–0.5
B2,Z,0.5,1.0,0.3877577274105494,0.5–1
B2,Z,1.0,2.0,0.09873764673091709,1–2
B2,Z,2.0,5.0,0.3529639059998208,2–5
B2,Z,5.0,10.0,0.9951893483292067,5–10
B2,Z,10.0,20.0,0.6328309119421831,10–20
R4_LHS_03-control,X,0.0,0.5,0.04037953942637565,0–0.5
R4_LHS_03-control,X,0.5,1.0,0.08810055435749706,0.5–1
R4_LHS_03-control,X,1.0,2.0,0.07159062973807255,1–2
R4_LHS_03-control,X,2.0,5.0,0.13601613737378015,2–5
R4_LHS_03-control,X,5.0,10.0,0.1732644711794753,5–10
R4_LHS_03-control,X,10.0,20.0,1.7043922474660795,10–20
R4_LHS_03-control,Y,0.0,0.5,0.0365847492631926,0–0.5
R4_LHS_03-control,Y,0.5,1.0,0.3203034365504078,0.5–1
R4_LHS_03-control,Y,1.0,2.0,0.170430520660843,1–2
R4_LHS_03-control,Y,2.0,5.0,0.097536705823576,2–5
R4_LHS_03-control,Y,5.0,10.0,0.6444930607036818,5–10
R4_LHS_03-control,Y,10.0,20.0,0.828238592613602,10–20
R4_LHS_03-control,Z,0.0,0.5,0.028767716663291552,0–0.5
R4_LHS_03-control,Z,0.5,1.0,0.20846652770548751,0.5–1
R4_LHS_03-control,Z,1.0,2.0,0.0274173571975601,1–2
R4_LHS_03-control,Z,2.0,5.0,0.10878431247662071,2–5
R4_LHS_03-control,Z,5.0,10.0,0.13480633596420555,5–10
R4_LHS_03-control,Z,10.0,20.0,0.3728008970203492,10–20
R4_LHS_03-physics,X,0.0,0.5,0.0501573943296464,0–0.5
R4_LHS_03-physics,X,0.5,1.0,0.09798050939187825,0.5–1
R4_LHS_03-physics,X,1.0,2.0,0.07124889255521925,1–2
R4_LHS_03-physics,X,2.0,5.0,0.01293464978221745,2–5
R4_LHS_03-physics,X,5.0,10.0,0.18743926267878097,5–10
R4_LHS_03-physics,X,10.0,20.0,1.84522944394175,10–20
R4_LHS_03-physics,Y,0.0,0.5,0.038480099864173,0–0.5
R4_LHS_03-physics,Y,0.5,1.0,0.33035013897284204,0.5–1
R4_LHS_03-physics,Y,1.0,2.0,0.16883950473936055,1–2
R4_LHS_03-physics,Y,2.0,5.0,0.05025575975721905,2–5
R4_LHS_03-physics,Y,5.0,10.0,0.8160512568140195,5–10
R4_LHS_03-physics,Y,10.0,20.0,0.696819934184716,10–20
R4_LHS_03-physics,Z,0.0,0.5,0.028922042065541248,0–0.5
R4_LHS_03-physics,Z,0.5,1.0,0.24534520913064062,0.5–1
R4_LHS_03-physics,Z,1.0,2.0,0.03000620832425955,1–2
R4_LHS_03-physics,Z,2.0,5.0,0.07173198332941666,2–5
R4_LHS_03-physics,Z,5.0,10.0,0.10531765345941654,5–10
R4_LHS_03-physics,Z,10.0,20.0,0.3162895764381237,10–20
