trial_id,variant,case_id,axis,derivative_vs_velocity_relative_l2,model
R4_LHS_03,control,BASE_C1_0T,X,,R4_LHS_03-control
R4_LHS_03,control,BASE_C1_0T,Y,,R4_LHS_03-control
R4_LHS_03,control,BASE_C1_0T,Z,,R4_LHS_03-control
R4_LHS_03,control,BASE_C2_0T,X,,R4_LHS_03-control
R4_LHS_03,control,BASE_C2_0T,Y,,R4_LHS_03-control
R4_LHS_03,control,BASE_C2_0T,Z,,R4_LHS_03-control
R4_LHS_03,control,BASE_C3_0T,X,,R4_LHS_03-control
R4_LHS_03,control,BASE_C3_0T,Y,,R4_LHS_03-control
R4_LHS_03,control,BASE_C3_0T,Z,,R4_LHS_03-control
R4_LHS_03,control,BASE_C8_0T,X,,R4_LHS_03-control
R4_LHS_03,control,BASE_C8_0T,Y,,R4_LHS_03-control
R4_LHS_03,control,BASE_C8_0T,Z,,R4_LHS_03-control
R4_LHS_03,control,V40_A_E1_C4_2T,X,0.8568269932265362,R4_LHS_03-control
R4_LHS_03,control,V40_A_E1_C4_2T,Y,0.7596676854220056,R4_LHS_03-control
R4_LHS_03,control,V40_A_E1_C4_2T,Z,0.9041825346030952,R4_LHS_03-control
R4_LHS_03,control,V40_A_E2_C5_2T,X,0.9021988305480896,R4_LHS_03-control
R4_LHS_03,control,V40_A_E2_C5_2T,Y,0.9345129081837136,R4_LHS_03-control
R4_LHS_03,control,V40_A_E2_C5_2T,Z,1.0388622662434588,R4_LHS_03-control
R4_LHS_03,control,V40_A_E3_C6_1T,X,0.8808269643215748,R4_LHS_03-control
R4_LHS_03,control,V40_A_E3_C6_1T,Y,0.9847975839780504,R4_LHS_03-control
R4_LHS_03,control,V40_A_E3_C6_1T,Z,0.8840633220430799,R4_LHS_03-control
R4_LHS_03,control,V40_A_E4_C7_1T,X,0.9106286160972676,R4_LHS_03-control
R4_LHS_03,control,V40_A_E4_C7_1T,Y,1.174163702602956,R4_LHS_03-control
R4_LHS_03,control,V40_A_E4_C7_1T,Z,0.9881874057538448,R4_LHS_03-control
R4_LHS_03,control,V40_A_E5_C9_1T,X,0.9357284793284673,R4_LHS_03-control
R4_LHS_03,control,V40_A_E5_C9_1T,Y,1.3550472385534924,R4_LHS_03-control
R4_LHS_03,control,V40_A_E5_C9_1T,Z,1.1980061305594174,R4_LHS_03-control
R4_LHS_03,control,V40_A_E6_C10_1T,X,0.8890261889362202,R4_LHS_03-control
R4_LHS_03,control,V40_A_E6_C10_1T,Y,1.0366254323731112,R4_LHS_03-control
R4_LHS_03,control,V40_A_E6_C10_1T,Z,0.8791805398693285,R4_LHS_03-control
R4_LHS_03,control,V40_A_E7_C11_2T,X,0.920327658999977,R4_LHS_03-control
R4_LHS_03,control,V40_A_E7_C11_2T,Y,0.9316135064840028,R4_LHS_03-control
R4_LHS_03,control,V40_A_E7_C11_2T,Z,1.094941599642966,R4_LHS_03-control
R4_LHS_03,control,V40_A_E8_C12_2T,X,0.8343716459927027,R4_LHS_03-control
R4_LHS_03,control,V40_A_E8_C12_2T,Y,0.7020892871421025,R4_LHS_03-control
R4_LHS_03,control,V40_A_E8_C12_2T,Z,0.8705321823122074,R4_LHS_03-control
R4_LHS_03,control,V40_B_E1_C4_2T,X,0.8445387969962254,R4_LHS_03-control
R4_LHS_03,control,V40_B_E1_C4_2T,Y,0.7450636355261495,R4_LHS_03-control
R4_LHS_03,control,V40_B_E1_C4_2T,Z,0.8883383829459125,R4_LHS_03-control
R4_LHS_03,control,V40_B_E2_C5_2T,X,0.838411098375,R4_LHS_03-control
R4_LHS_03,control,V40_B_E2_C5_2T,Y,0.765506131264557,R4_LHS_03-control
R4_LHS_03,control,V40_B_E2_C5_2T,Z,0.9098505758613866,R4_LHS_03-control
R4_LHS_03,control,V40_B_E3_C6_1T,X,0.8812935513205797,R4_LHS_03-control
R4_LHS_03,control,V40_B_E3_C6_1T,Y,1.0202117268717197,R4_LHS_03-control
R4_LHS_03,control,V40_B_E3_C6_1T,Z,0.94729891269318,R4_LHS_03-control
R4_LHS_03,control,V40_B_E4_C7_1T,X,0.934396982252387,R4_LHS_03-control
R4_LHS_03,control,V40_B_E4_C7_1T,Y,1.171411123342836,R4_LHS_03-control
R4_LHS_03,control,V40_B_E4_C7_1T,Z,1.089704886601862,R4_LHS_03-control
R4_LHS_03,control,V40_B_E5_C9_1T,X,0.8871374217542344,R4_LHS_03-control
R4_LHS_03,control,V40_B_E5_C9_1T,Y,1.2141345998906712,R4_LHS_03-control
R4_LHS_03,control,V40_B_E5_C9_1T,Z,1.1383405351763098,R4_LHS_03-control
R4_LHS_03,control,V40_B_E6_C10_1T,X,0.8305756006128464,R4_LHS_03-control
R4_LHS_03,control,V40_B_E6_C10_1T,Y,0.989163386926298,R4_LHS_03-control
R4_LHS_03,control,V40_B_E6_C10_1T,Z,0.9530652386739484,R4_LHS_03-control
R4_LHS_03,control,V40_B_E7_C11_2T,X,0.8923303070513615,R4_LHS_03-control
R4_LHS_03,control,V40_B_E7_C11_2T,Y,0.8979395310395597,R4_LHS_03-control
R4_LHS_03,control,V40_B_E7_C11_2T,Z,1.0317116548951566,R4_LHS_03-control
R4_LHS_03,control,V40_B_E8_C12_2T,X,0.8359100413427907,R4_LHS_03-control
R4_LHS_03,control,V40_B_E8_C12_2T,Y,0.7197126144728074,R4_LHS_03-control
R4_LHS_03,control,V40_B_E8_C12_2T,Z,0.8566230260523896,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E1_C4_2T,X,0.8590896482503231,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E1_C4_2T,Y,0.6973284930846354,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E1_C4_2T,Z,0.8298375315407909,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E2_C5_2T,X,0.8405118172842986,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E2_C5_2T,Y,0.7397308556912441,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E2_C5_2T,Z,0.863189597060135,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E3_C6_1T,X,0.8348895935887878,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E3_C6_1T,Y,1.0161579705397814,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E3_C6_1T,Z,1.1460843722470977,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E4_C7_1T,X,0.863997153247762,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E4_C7_1T,Y,1.0378468827571388,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E4_C7_1T,Z,1.2077989857466862,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E5_C9_1T,X,0.924301529005244,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E5_C9_1T,Y,1.19976243124171,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E5_C9_1T,Z,1.3670282329560877,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E6_C10_1T,X,0.8354727266459244,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E6_C10_1T,Y,1.0281908064142309,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E6_C10_1T,Z,1.1742470560045424,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E7_C11_2T,X,0.9043104906552007,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E7_C11_2T,Y,0.8275118255129796,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E7_C11_2T,Z,0.9421496337132572,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E8_C12_2T,X,0.8739254227868557,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E8_C12_2T,Y,0.7452220608839054,R4_LHS_03-control
R4_LHS_03,control,V40_CPLUS_E8_C12_2T,Z,0.8819516709825007,R4_LHS_03-control
R4_LHS_03,control,V40_C_E1_C4_2T,X,0.8540216123290967,R4_LHS_03-control
R4_LHS_03,control,V40_C_E1_C4_2T,Y,0.7487596960040824,R4_LHS_03-control
R4_LHS_03,control,V40_C_E1_C4_2T,Z,0.8943096559075664,R4_LHS_03-control
R4_LHS_03,control,V40_C_E2_C5_2T,X,0.8465810228162076,R4_LHS_03-control
R4_LHS_03,control,V40_C_E2_C5_2T,Y,0.8114587007782278,R4_LHS_03-control
