trial_id,seed,outer_fold,variant,equilibrium_residual_median
R4_LHS_03,20260813,0,physics,0.03482967242199331
R4_LHS_03,20260813,0,control,1.8329792796727828
R4_LHS_03,20260813,0,paired_reduction,0.9809983272542988
R4_LHS_03,20260813,1,physics,0.02435373333770951
R4_LHS_03,20260813,1,control,1.6519207693107996
R4_LHS_03,20260813,1,paired_reduction,0.9852573236016215
R4_LHS_03,20260813,2,physics,0.027899419661164437
R4_LHS_03,20260813,2,control,1.9024318744627613
R4_LHS_03,20260813,2,paired_reduction,0.9853348653186106
R4_LHS_03,20260813,3,physics,0.02519694441554844
R4_LHS_03,20260813,3,control,1.5144587999403134
R4_LHS_03,20260813,3,paired_reduction,0.9833624101120866
R4_LHS_03,20260813,4,physics,0.025821855655443975
R4_LHS_03,20260813,4,control,1.7717445389907354
R4_LHS_03,20260813,4,paired_reduction,0.9854257455930112
