mode,comsol_frequency_hz,graph_frequency_hz,frequency_error_percent,cluster_policy,series,trial_id,P50,P90,count
1,2.0922803861199686,2.0913750405133773,-0.04327075914859567,isolated_MAC,structural_graph_auditor,,,,
2,2.152253919181711,2.1520047382642855,-0.011577672838918085,isolated_MAC,structural_graph_auditor,,,,
3,3.2714359286058077,3.271432425682101,-0.00010707602970381653,isolated_MAC,structural_graph_auditor,,,,
4,3.3037524750276708,3.3036491608610907,-0.003127176365692567,isolated_MAC,structural_graph_auditor,,,,
5,3.667371098527583,3.667354717102873,-0.00044668031322577786,isolated_MAC,structural_graph_auditor,,,,
6,3.7002192771016635,3.700219269464891,-2.0638702670755838e-07,subspace_6_9,structural_graph_auditor,,,,
7,3.7002479485350235,3.700247923815086,-6.680616541438389e-07,subspace_6_9,structural_graph_auditor,,,,
8,3.7003836828195302,3.7003836790267837,-1.0249603517789301e-07,subspace_6_9,structural_graph_auditor,,,,
9,3.700388416215137,3.700388404692288,-3.1139565908212797e-07,subspace_6_9,structural_graph_auditor,,,,
10,3.720528286939633,3.7186370920274108,-0.050831354215495866,isolated_MAC,structural_graph_auditor,,,,
11,3.7489302626421037,3.748926104929298,-0.00011090397831691753,isolated_MAC,structural_graph_auditor,,,,
12,3.7760783484442744,3.77607898574089,1.6877208486484856e-05,isolated_MAC,structural_graph_auditor,,,,
1,,,,,OOF_projected_response,R4_LHS_03,0.0,0.01724137931034491,68.0
2,,,,,OOF_projected_response,R4_LHS_03,0.0,0.0344827586206897,68.0
3,,,,,OOF_projected_response,R4_LHS_03,0.0,0.05208333333333344,68.0
4,,,,,OOF_projected_response,R4_LHS_03,0.010256679991584312,0.05201863354037266,68.0
5,,,,,OOF_projected_response,R4_LHS_03,0.028846153846153855,0.11109036594473483,66.0
7,,,,,OOF_projected_response,R4_LHS_03,0.03539823008849551,0.10212950890916997,66.0
8,,,,,OOF_projected_response,R4_LHS_03,0.02830188679245284,0.08269230769230762,15.0
9,,,,,OOF_projected_response,R4_LHS_03,0.038095238095238154,0.10680888369374635,66.0
10,,,,,OOF_projected_response,R4_LHS_03,0.03333333333333337,0.11428571428571432,68.0
11,,,,,OOF_projected_response,R4_LHS_03,0.026785714285714295,0.09697478991596642,65.0
12,,,,,OOF_projected_response,R4_LHS_03,0.04201680672268905,0.0840336134453781,66.0
