evidence,FEM_mode,graph_mode,value,trial_id,mode,seed,case_id,admitted_modes,response_subspace_MAC_mean,response_subspace_MAC_min
structural_MAC,1.0,1.0,0.9999987193424108,,,,,,,
structural_MAC,1.0,2.0,0.00014351349840785286,,,,,,,
structural_MAC,1.0,3.0,2.312906950407134e-07,,,,,,,
structural_MAC,1.0,4.0,0.003906637099116077,,,,,,,
structural_MAC,1.0,5.0,4.6134764924344937e-07,,,,,,,
structural_MAC,1.0,6.0,0.00025613936243924236,,,,,,,
structural_MAC,1.0,7.0,0.0013727696316560992,,,,,,,
structural_MAC,1.0,8.0,0.0004609980488075555,,,,,,,
structural_MAC,1.0,9.0,0.0014615384192248376,,,,,,,
structural_MAC,1.0,10.0,0.004691262486587257,,,,,,,
structural_MAC,1.0,11.0,0.0008054750012234628,,,,,,,
structural_MAC,1.0,12.0,0.00011925125030570459,,,,,,,
structural_MAC,2.0,1.0,0.00020954799696814772,,,,,,,
structural_MAC,2.0,2.0,0.9999979803323861,,,,,,,
structural_MAC,2.0,3.0,1.5898700297158716e-07,,,,,,,
structural_MAC,2.0,4.0,1.7107341084581712e-05,,,,,,,
structural_MAC,2.0,5.0,0.00016729537937971298,,,,,,,
structural_MAC,2.0,6.0,0.0002964444016797309,,,,,,,
structural_MAC,2.0,7.0,0.005292395595954002,,,,,,,
structural_MAC,2.0,8.0,0.0022804567687196658,,,,,,,
structural_MAC,2.0,9.0,0.009857259585670325,,,,,,,
structural_MAC,2.0,10.0,5.510619825124574e-05,,,,,,,
structural_MAC,2.0,11.0,0.11351829703508332,,,,,,,
structural_MAC,2.0,12.0,0.0012954680949964483,,,,,,,
structural_MAC,3.0,1.0,1.7465337671211765e-07,,,,,,,
structural_MAC,3.0,2.0,1.5411558424764295e-07,,,,,,,
structural_MAC,3.0,3.0,0.9999997182894079,,,,,,,
structural_MAC,3.0,4.0,2.315646338310807e-05,,,,,,,
structural_MAC,3.0,5.0,2.6565793640205234e-06,,,,,,,
structural_MAC,3.0,6.0,0.0016138016953265836,,,,,,,
structural_MAC,3.0,7.0,1.7055937813629503e-05,,,,,,,
structural_MAC,3.0,8.0,0.005959328680914414,,,,,,,
structural_MAC,3.0,9.0,0.00010709156031173399,,,,,,,
structural_MAC,3.0,10.0,0.00028283278721916047,,,,,,,
structural_MAC,3.0,11.0,2.6751884377018353e-05,,,,,,,
structural_MAC,3.0,12.0,5.211008811693058e-07,,,,,,,
