case_id,trajectory_group,outer_fold,speed_kmh,train_type,train_count,seismic_scale_factor,wind_mps,case_class,historically_response_exposed,blind_claim_authorized
BASE_C1_0T,BASE_C1_0T,0,NA,NONE,0,0,0,dead_load_only,True,False
BASE_C2_0T,BASE_C2_0T,2,NA,NONE,0,0.4,20,environmental_only,True,False
BASE_C3_0T,BASE_C3_0T,3,NA,NONE,0,0,20,environmental_only,True,False
BASE_C8_0T,BASE_C8_0T,1,NA,NONE,0,0.4,0,environmental_only,True,False
V40_A_E1_C4_2T,V40_A_E1_C4_2T,4,40,A,2,0,20,combined_train_environment,True,False
V40_A_E2_C5_2T,V40_A_E2_C5_2T,3,40,A,2,0.4,20,combined_train_environment,True,False
V40_A_E3_C6_1T,V40_A_E3_C6_1T,0,40,A,1,0,20,combined_train_environment,True,False
V40_A_E4_C7_1T,V40_A_E4_C7_1T,2,40,A,1,0.4,20,combined_train_environment,True,False
V40_A_E5_C9_1T,V40_A_E5_C9_1T,2,40,A,1,0.4,0,combined_train_environment,True,False
V40_A_E6_C10_1T,V40_A_E6_C10_1T,4,40,A,1,0,0,train_only,True,False
V40_A_E7_C11_2T,V40_A_E7_C11_2T,1,40,A,2,0.4,0,combined_train_environment,True,False
V40_A_E8_C12_2T,V40_A_E8_C12_2T,0,40,A,2,0,0,train_only,True,False
V40_B_E1_C4_2T,V40_B_E1_C4_2T,2,40,B,2,0,20,combined_train_environment,True,False
V40_B_E2_C5_2T,V40_B_E2_C5_2T,1,40,B,2,0.4,20,combined_train_environment,True,False
V40_B_E3_C6_1T,V40_B_E3_C6_1T,4,40,B,1,0,20,combined_train_environment,True,False
V40_B_E4_C7_1T,V40_B_E4_C7_1T,4,40,B,1,0.4,20,combined_train_environment,True,False
V40_B_E5_C9_1T,V40_B_E5_C9_1T,2,40,B,1,0.4,0,combined_train_environment,True,False
V40_B_E6_C10_1T,V40_B_E6_C10_1T,1,40,B,1,0,0,train_only,True,False
V40_B_E7_C11_2T,V40_B_E7_C11_2T,0,40,B,2,0.4,0,combined_train_environment,True,False
V40_B_E8_C12_2T,V40_B_E8_C12_2T,3,40,B,2,0,0,train_only,True,False
V40_CPLUS_E1_C4_2T,V40_CPLUS_E1_C4_2T,0,40,C+,2,0,20,combined_train_environment,True,False
V40_CPLUS_E2_C5_2T,V40_CPLUS_E2_C5_2T,1,40,C+,2,0.4,20,combined_train_environment,True,False
V40_CPLUS_E3_C6_1T,V40_CPLUS_E3_C6_1T,3,40,C+,1,0,20,combined_train_environment,True,False
V40_CPLUS_E4_C7_1T,V40_CPLUS_E4_C7_1T,1,40,C+,1,0.4,20,combined_train_environment,True,False
V40_CPLUS_E5_C9_1T,V40_CPLUS_E5_C9_1T,4,40,C+,1,0.4,0,combined_train_environment,True,False
V40_CPLUS_E6_C10_1T,V40_CPLUS_E6_C10_1T,3,40,C+,1,0,0,train_only,True,False
V40_CPLUS_E7_C11_2T,V40_CPLUS_E7_C11_2T,4,40,C+,2,0.4,0,combined_train_environment,True,False
V40_CPLUS_E8_C12_2T,V40_CPLUS_E8_C12_2T,2,40,C+,2,0,0,train_only,True,False
V40_C_E1_C4_2T,V40_C_E1_C4_2T,2,40,C,2,0,20,combined_train_environment,True,False
V40_C_E2_C5_2T,V40_C_E2_C5_2T,3,40,C,2,0.4,20,combined_train_environment,True,False
V40_C_E3_C6_1T,V40_C_E3_C6_1T,1,40,C,1,0,20,combined_train_environment,True,False
V40_C_E4_C7_1T,V40_C_E4_C7_1T,0,40,C,1,0.4,20,combined_train_environment,True,False
V40_C_E5_C9_1T,V40_C_E5_C9_1T,0,40,C,1,0.4,0,combined_train_environment,True,False
V40_C_E6_C10_1T,V40_C_E6_C10_1T,3,40,C,1,0,0,train_only,True,False
V40_C_E7_C11_2T,V40_C_E7_C11_2T,4,40,C,2,0.4,0,combined_train_environment,True,False
V40_C_E8_C12_2T,V40_C_E8_C12_2T,1,40,C,2,0,0,train_only,True,False
V52_A_E1_C4_2T,V52_A_E1_C4_2T,1,52,A,2,0,20,combined_train_environment,True,False
V52_A_E2_C5_2T,V52_A_E2_C5_2T,4,52,A,2,0.4,20,combined_train_environment,True,False
V52_A_E3_C6_1T,V52_A_E3_C6_1T,1,52,A,1,0,20,combined_train_environment,True,False
V52_A_E4_C7_1T,V52_A_E4_C7_1T,0,52,A,1,0.4,20,combined_train_environment,True,False
V52_A_E5_C9_1T,V52_A_E5_C9_1T,0,52,A,1,0.4,0,combined_train_environment,True,False
V52_A_E6_C10_1T,V52_A_E6_C10_1T,2,52,A,1,0,0,train_only,True,False
V52_A_E7_C11_2T,V52_A_E7_C11_2T,3,52,A,2,0.4,0,combined_train_environment,True,False
V52_A_E8_C12_2T,V52_A_E8_C12_2T,3,52,A,2,0,0,train_only,True,False
V52_B_E1_C4_2T,V52_B_E1_C4_2T,3,52,B,2,0,20,combined_train_environment,True,False
V52_B_E2_C5_2T,V52_B_E2_C5_2T,2,52,B,2,0.4,20,combined_train_environment,True,False
V52_B_E3_C6_1T,V52_B_E3_C6_1T,0,52,B,1,0,20,combined_train_environment,True,False
V52_B_E4_C7_1T,V52_B_E4_C7_1T,3,52,B,1,0.4,20,combined_train_environment,True,False
V52_B_E5_C9_1T,V52_B_E5_C9_1T,1,52,B,1,0.4,0,combined_train_environment,True,False
V52_B_E6_C10_1T,V52_B_E6_C10_1T,0,52,B,1,0,0,train_only,True,False
V52_B_E7_C11_2T,V52_B_E7_C11_2T,2,52,B,2,0.4,0,combined_train_environment,True,False
V52_B_E8_C12_2T,V52_B_E8_C12_2T,4,52,B,2,0,0,train_only,True,False
V52_CPLUS_E1_C4_2T,V52_CPLUS_E1_C4_2T,1,52,C+,2,0,20,combined_train_environment,True,False
V52_CPLUS_E2_C5_2T,V52_CPLUS_E2_C5_2T,0,52,C+,2,0.4,20,combined_train_environment,True,False
V52_CPLUS_E3_C6_1T,V52_CPLUS_E3_C6_1T,2,52,C+,1,0,20,combined_train_environment,True,False
V52_CPLUS_E4_C7_1T,V52_CPLUS_E4_C7_1T,4,52,C+,1,0.4,20,combined_train_environment,True,False
V52_CPLUS_E5_C9_1T,V52_CPLUS_E5_C9_1T,3,52,C+,1,0.4,0,combined_train_environment,True,False
V52_CPLUS_E6_C10_1T,V52_CPLUS_E6_C10_1T,4,52,C+,1,0,0,train_only,True,False
V52_CPLUS_E7_C11_2T,V52_CPLUS_E7_C11_2T,2,52,C+,2,0.4,0,combined_train_environment,True,False
V52_CPLUS_E8_C12_2T,V52_CPLUS_E8_C12_2T,0,52,C+,2,0,0,train_only,True,False
V52_C_E1_C4_2T,V52_C_E1_C4_2T,4,52,C,2,0,20,combined_train_environment,True,False
V52_C_E2_C5_2T,V52_C_E2_C5_2T,0,52,C,2,0.4,20,combined_train_environment,True,False
V52_C_E3_C6_1T,V52_C_E3_C6_1T,2,52,C,1,0,20,combined_train_environment,True,False
V52_C_E4_C7_1T,V52_C_E4_C7_1T,3,52,C,1,0.4,20,combined_train_environment,True,False
V52_C_E5_C9_1T,V52_C_E5_C9_1T,4,52,C,1,0.4,0,combined_train_environment,True,False
V52_C_E6_C10_1T,V52_C_E6_C10_1T,1,52,C,1,0,0,train_only,True,False
V52_C_E7_C11_2T,V52_C_E7_C11_2T,1,52,C,2,0.4,0,combined_train_environment,True,False
V52_C_E8_C12_2T,V52_C_E8_C12_2T,2,52,C,2,0,0,train_only,True,False
