outer_fold,inner_validation_fold,requested_input_rank,used_input_rank,ridge_alpha,pod_rank,pod_energy,inner_score,u_pooled_l2,v_pooled_l2,w_pooled_l2,ridge_gram_condition,finite
0,0,64,64,1e-06,24,0.9999022056698541,0.1722475194651983,0.036019894893833525,0.051099235340604184,0.122198117431843,28737.311738761902,True
0,0,64,64,1e-08,24,0.9999022056698541,0.17224751124497042,0.0360198928381909,0.05109922980463548,0.1221981086282338,28737.313811371132,True
0,0,128,128,1e-06,24,0.9999022056698541,0.059302310609876084,0.013210881860441614,0.01528684955565285,0.028386854436783664,28906.70152141734,True
0,0,128,128,1e-08,24,0.9999022056698541,0.059302304152094365,0.013210880650131495,0.015286846344007721,0.028386848228620788,28906.703616430535,True
0,1,64,64,1e-06,24,0.9999039887524606,0.3445824787630812,0.04076499523749815,0.05478567113413353,0.10693145151676464,30225.215857485495,True
0,1,64,64,1e-08,24,0.9999039887524606,0.3445824730527199,0.04076499724746643,0.054785669252866466,0.10693144887712407,30225.218206987196,True
0,1,128,128,1e-06,24,0.9999039887524606,0.295950406936363,0.0254151643283075,0.031226663496143434,0.03654494613509389,29905.537706954914,True
0,1,128,128,1e-08,24,0.9999039887524606,0.29595040812078083,0.025415164016717062,0.031226661272631424,0.03654494183165897,29905.540005586518,True
0,2,64,64,1e-06,24,0.9999027568446935,0.1622058004927399,0.0399428442481201,0.05010744402002419,0.11309724646328186,28934.708938375607,True
0,2,64,64,1e-08,24,0.9999027568446935,0.16220581085351954,0.03994284496157175,0.05010744406593824,0.11309724327951144,28934.711039470767,True
0,2,128,128,1e-06,24,0.9999027568446935,0.06554009050018164,0.014394792915253446,0.019537304284296127,0.03725225444862213,28381.51977742917,True
0,2,128,128,1e-08,24,0.9999027568446935,0.0655400878371986,0.014394792890967591,0.019537302814062407,0.03725225249537579,28381.52179718773,True
0,3,64,64,1e-06,24,0.999902362505909,0.16363279024475907,0.04488572321567007,0.05381796481610533,0.1282815136584835,30369.935695523825,True
0,3,64,64,1e-08,24,0.999902362505909,0.16363277804752338,0.04488572280449795,0.05381796921248293,0.12828151989085093,30369.938068492338,True
0,3,128,128,1e-06,24,0.999902362505909,0.06025539976844172,0.014840577105698438,0.020635964593109738,0.04401125978307278,30199.860771675503,True
0,3,128,128,1e-08,24,0.999902362505909,0.06025539918319269,0.014840577127733363,0.02063596554474798,0.044011260595726506,30199.86311455334,True
1,0,64,64,1e-06,24,0.9999062192074154,0.2767765041194098,0.04099326690257144,0.051444976884484565,0.12169283951177139,28429.118332583592,True
1,0,64,64,1e-08,24,0.9999062192074154,0.2767765068121502,0.04099326679773462,0.05144497005775401,0.12169282730547004,28429.120360815206,True
1,0,128,128,1e-06,24,0.9999062192074154,0.23212263027422209,0.018612827318969127,0.01889726603719391,0.0312289555192664,28694.86305669338,True
1,0,128,128,1e-08,24,0.9999062192074154,0.23212263694358592,0.018612827252007767,0.018897265245094233,0.031228950126251785,28694.865121118808,True
