trial_id,variant,case_id,model,quantity,axis,band_low_hz,band_high_hz,predicted_energy,target_energy,relative_energy_error
R4_LHS_03,physics,BASE_C1_0T,S10_HYBRID,displacement,X,0.0,0.5,6.337560919378752e-09,1.2794898599871708e-14,495318.354812417
R4_LHS_03,physics,BASE_C1_0T,S10_HYBRID,displacement,X,0.5,1.0,8.694355471833574e-12,4.790725535735361e-14,180.48306361906867
R4_LHS_03,physics,BASE_C1_0T,S10_HYBRID,displacement,X,1.0,2.0,1.414118330078292e-10,1.6471560131371803e-10,0.1414788163357056
R4_LHS_03,physics,BASE_C1_0T,S10_HYBRID,displacement,X,2.0,5.0,2.440730531444424e-10,7.815018685642845e-12,30.231282094415818
R4_LHS_03,physics,BASE_C1_0T,S10_HYBRID,displacement,X,5.0,10.0,3.008174881781713e-11,5.677292692886491e-12,4.298608059349983
R4_LHS_03,physics,BASE_C1_0T,S10_HYBRID,displacement,X,10.0,20.0,2.1246137358185685e-11,3.1184464414946206e-12,5.813051869508061
R4_LHS_03,physics,BASE_C1_0T,S10,velocity,X,0.0,0.5,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C1_0T,S10,velocity,X,0.5,1.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C1_0T,S10,velocity,X,1.0,2.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C1_0T,S10,velocity,X,2.0,5.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C1_0T,S10,velocity,X,5.0,10.0,0.0,0.0,0.0
R4_LHS_03,physics,BASE_C1_0T,S10,velocity,X,10.0,20.0,0.0,0.0,0.0
COMMON_B2,common,BASE_C1_0T,B2,displacement,X,0.0,0.5,6.337560919378752e-09,1.2794898599871708e-14,495318.354812417
COMMON_B2,common,BASE_C1_0T,B2,displacement,X,0.5,1.0,8.694355471833574e-12,4.790725535735361e-14,180.48306361906867
COMMON_B2,common,BASE_C1_0T,B2,displacement,X,1.0,2.0,1.414118330078292e-10,1.6471560131371803e-10,0.1414788163357056
COMMON_B2,common,BASE_C1_0T,B2,displacement,X,2.0,5.0,2.440730531444424e-10,7.815018685642845e-12,30.231282094415818
COMMON_B2,common,BASE_C1_0T,B2,displacement,X,5.0,10.0,3.008174881781713e-11,5.677292692886491e-12,4.298608059349983
COMMON_B2,common,BASE_C1_0T,B2,displacement,X,10.0,20.0,2.1246137358185685e-11,3.1184464414946206e-12,5.813051869508061
R4_LHS_03,physics,BASE_C1_0T,S10_HYBRID,displacement,Y,0.0,0.5,9.072981688737899e-08,2.1894223932682585e-11,4143.006984049439
R4_LHS_03,physics,BASE_C1_0T,S10_HYBRID,displacement,Y,0.5,1.0,4.890477855226376e-10,5.645863367901659e-11,7.662054917995598
