trial_id,variant,case_id,axis,model,derivative_vs_velocity_relative_l2,derivative_vs_velocity_relative_l2_defined,derivative_vs_velocity_rmse_mps
COMMON_FEM,common,BASE_C1_0T,X,FEM_COMSOL_SAVED_GRID_FLOOR,,False,0.0
R4_LHS_03,physics,BASE_C1_0T,X,S10,,False,0.0
COMMON_FEM,common,BASE_C1_0T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,,False,0.0
R4_LHS_03,physics,BASE_C1_0T,Y,S10,,False,0.0
COMMON_FEM,common,BASE_C1_0T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,,False,0.0
R4_LHS_03,physics,BASE_C1_0T,Z,S10,,False,0.0
COMMON_FEM,common,BASE_C2_0T,X,FEM_COMSOL_SAVED_GRID_FLOOR,,False,0.0
R4_LHS_03,physics,BASE_C2_0T,X,S10,,False,0.0
COMMON_FEM,common,BASE_C2_0T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,,False,0.0
R4_LHS_03,physics,BASE_C2_0T,Y,S10,,False,0.0
COMMON_FEM,common,BASE_C2_0T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,,False,0.0
R4_LHS_03,physics,BASE_C2_0T,Z,S10,,False,0.0
COMMON_FEM,common,BASE_C3_0T,X,FEM_COMSOL_SAVED_GRID_FLOOR,,False,0.0
R4_LHS_03,physics,BASE_C3_0T,X,S10,,False,0.0
COMMON_FEM,common,BASE_C3_0T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,,False,0.0
R4_LHS_03,physics,BASE_C3_0T,Y,S10,,False,0.0
COMMON_FEM,common,BASE_C3_0T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,,False,0.0
R4_LHS_03,physics,BASE_C3_0T,Z,S10,,False,0.0
COMMON_FEM,common,BASE_C8_0T,X,FEM_COMSOL_SAVED_GRID_FLOOR,,False,0.0
R4_LHS_03,physics,BASE_C8_0T,X,S10,,False,0.0
COMMON_FEM,common,BASE_C8_0T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,,False,0.0
R4_LHS_03,physics,BASE_C8_0T,Y,S10,,False,0.0
COMMON_FEM,common,BASE_C8_0T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,,False,0.0
R4_LHS_03,physics,BASE_C8_0T,Z,S10,,False,0.0
COMMON_FEM,common,V40_A_E1_C4_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.2773025601726855,True,0.0002132008693370951
R4_LHS_03,physics,V40_A_E1_C4_2T,X,S10,0.8729399311635988,True,0.000678020884831017
COMMON_FEM,common,V40_A_E1_C4_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.27973546552735423,True,0.001981371700980955
R4_LHS_03,physics,V40_A_E1_C4_2T,Y,S10,0.7565972042857161,True,0.005217876671469386
COMMON_FEM,common,V40_A_E1_C4_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.2425548863898342,True,0.0013697796908191144
R4_LHS_03,physics,V40_A_E1_C4_2T,Z,S10,0.8325520239137068,True,0.004711518436115698
COMMON_FEM,common,V40_B_E1_C4_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.2739645610791885,True,0.0002662157424017153
R4_LHS_03,physics,V40_B_E1_C4_2T,X,S10,0.8952361733893822,True,0.000854761865130087
COMMON_FEM,common,V40_B_E1_C4_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.27480315015060963,True,0.002414541776623594
R4_LHS_03,physics,V40_B_E1_C4_2T,Y,S10,0.7110936076807883,True,0.006130880464229044
COMMON_FEM,common,V40_B_E1_C4_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.24559553385074695,True,0.0017734743330256075
R4_LHS_03,physics,V40_B_E1_C4_2T,Z,S10,0.8373588085214521,True,0.005987739554860745
COMMON_FEM,common,V40_CPLUS_E1_C4_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.2792691982588475,True,0.0003935259804614101
R4_LHS_03,physics,V40_CPLUS_E1_C4_2T,X,S10,0.8984224141093828,True,0.0012193284455975595
COMMON_FEM,common,V40_CPLUS_E1_C4_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.27835620384289234,True,0.003669177767889427
R4_LHS_03,physics,V40_CPLUS_E1_C4_2T,Y,S10,0.7000688069402846,True,0.009190555240988598
COMMON_FEM,common,V40_CPLUS_E1_C4_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.25058281344427513,True,0.0027683372873774093
R4_LHS_03,physics,V40_CPLUS_E1_C4_2T,Z,S10,0.8097922443875758,True,0.008681121417569526
COMMON_FEM,common,V40_C_E1_C4_2T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.2808558901000967,True,0.00033174772814140944
R4_LHS_03,physics,V40_C_E1_C4_2T,X,S10,0.8983311198240339,True,0.0010402298026118014
COMMON_FEM,common,V40_C_E1_C4_2T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.27640798661944893,True,0.002905783077350908
R4_LHS_03,physics,V40_C_E1_C4_2T,Y,S10,0.7246910382959847,True,0.0075942669518484565
COMMON_FEM,common,V40_C_E1_C4_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.2521143288876125,True,0.0022557713863270313
