trial_id,variant,case_id,model,quantity,axis,node_relative_l2_median,node_relative_l2_p90,node_relative_l2_worst,node_relative_metrics_defined,valid_energy_node_count,predicted_hotspot_node_zero_based,target_hotspot_node_zero_based,hotspot_distance_m
R4_LHS_03,physics,BASE_C1_0T,S10_HYBRID,displacement,X,0.3849118798971176,1.282837152481079,8.511346817016602,True,496,437,437,0.0
R4_LHS_03,physics,BASE_C1_0T,S10,velocity,X,,,,False,0,0,0,0.0
COMMON_B2,common,BASE_C1_0T,B2,displacement,X,0.3849118798971176,1.282837152481079,8.511346817016602,True,496,437,437,0.0
R4_LHS_03,physics,BASE_C1_0T,S10_HYBRID,displacement,Y,0.03623479977250099,0.16594043374061584,2.5279083251953125,True,496,236,236,0.0
R4_LHS_03,physics,BASE_C1_0T,S10,velocity,Y,,,,False,0,0,0,0.0
COMMON_B2,common,BASE_C1_0T,B2,displacement,Y,0.03623479977250099,0.16594043374061584,2.5279083251953125,True,496,236,236,0.0
R4_LHS_03,physics,BASE_C1_0T,S10_HYBRID,displacement,Z,0.036849506199359894,0.04298714771866798,0.18115772306919098,True,508,226,226,0.0
R4_LHS_03,physics,BASE_C1_0T,S10,velocity,Z,,,,False,0,0,0,0.0
COMMON_B2,common,BASE_C1_0T,B2,displacement,Z,0.036849506199359894,0.04298714771866798,0.18115772306919098,True,508,226,226,0.0
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,X,0.009949057828634977,0.014951025601476431,0.02436234802007675,True,496,433,433,0.0
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,X,,,,False,0,0,0,0.0
COMMON_B2,common,BASE_C2_0T,B2,displacement,X,0.009949057828634977,0.014951025601476431,0.02436234802007675,True,496,433,433,0.0
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,Y,0.06576468423008919,0.2308400273323059,2.650890350341797,True,496,236,236,0.0
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,Y,,,,False,0,0,0,0.0
COMMON_B2,common,BASE_C2_0T,B2,displacement,Y,0.06576468423008919,0.2308400273323059,2.650890350341797,True,496,236,236,0.0
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,Z,0.0647687166929245,0.06990576460957527,0.20205484330654144,True,508,443,443,0.0
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,Z,,,,False,0,0,0,0.0
COMMON_B2,common,BASE_C2_0T,B2,displacement,Z,0.0647687166929245,0.06990576460957527,0.20205484330654144,True,508,443,443,0.0
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,X,0.30600185692310333,0.9762547612190247,7.024093151092529,True,496,437,437,0.0
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,X,,,,False,0,0,0,0.0
COMMON_B2,common,BASE_C3_0T,B2,displacement,X,0.30600185692310333,0.9762547612190247,7.024093151092529,True,496,437,437,0.0
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,Y,0.02267469372600317,0.10797262564301491,1.7821738719940186,True,496,236,236,0.0
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,Y,,,,False,0,0,0,0.0
COMMON_B2,common,BASE_C3_0T,B2,displacement,Y,0.02267469372600317,0.10797262564301491,1.7821738719940186,True,496,236,236,0.0
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,Z,0.02197218593209982,0.026732088439166544,0.130360946059227,True,508,226,226,0.0
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,Z,,,,False,0,0,0,0.0
COMMON_B2,common,BASE_C3_0T,B2,displacement,Z,0.02197218593209982,0.026732088439166544,0.130360946059227,True,508,226,226,0.0
R4_LHS_03,physics,BASE_C8_0T,S10_HYBRID,displacement,X,0.011419326532632113,0.017568781040608883,0.024327095597982407,True,496,433,433,0.0
R4_LHS_03,physics,BASE_C8_0T,S10,velocity,X,,,,False,0,0,0,0.0
COMMON_B2,common,BASE_C8_0T,B2,displacement,X,0.011419326532632113,0.017568781040608883,0.024327095597982407,True,496,433,433,0.0
R4_LHS_03,physics,BASE_C8_0T,S10_HYBRID,displacement,Y,0.02642172947525978,0.11787122115492821,1.5971720218658447,True,496,433,236,10.59715891150338
R4_LHS_03,physics,BASE_C8_0T,S10,velocity,Y,,,,False,0,0,0,0.0
COMMON_B2,common,BASE_C8_0T,B2,displacement,Y,0.02642172947525978,0.11787122115492821,1.5971720218658447,True,496,433,236,10.59715891150338
R4_LHS_03,physics,BASE_C8_0T,S10_HYBRID,displacement,Z,0.028570489026606083,0.03442755416035652,0.15942183136940002,True,508,443,443,0.0
R4_LHS_03,physics,BASE_C8_0T,S10,velocity,Z,,,,False,0,0,0,0.0
COMMON_B2,common,BASE_C8_0T,B2,displacement,Z,0.028570489026606083,0.03442755416035652,0.15942183136940002,True,508,443,443,0.0
R4_LHS_03,physics,V40_A_E1_C4_2T,S10_HYBRID,displacement,X,0.11156198009848595,0.1868983507156372,0.377422571182251,True,496,187,187,0.0
