trial_id,variant,case_id,model,quantity,axis,log_psd_l2_distance,target_dominant_frequency_hz,predicted_dominant_frequency_hz,dominant_frequency_abs_error_hz,coherence_at_target_dominant_frequency,phase_at_target_dominant_frequency_rad,coherence_defined,phase_defined,coherence_valid_node_count
R4_LHS_03,physics,BASE_C1_0T,S10_HYBRID,displacement,X,4.275180149198559,1.931723563696909,0.09991673605328841,1.8318068276436206,0.3620225191116333,0.1204480230808258,True,True,496
R4_LHS_03,physics,BASE_C1_0T,S10,velocity,X,0.0,0.0,0.0,0.0,,,False,False,0
COMMON_B2,common,BASE_C1_0T,B2,displacement,X,4.275180149198559,1.931723563696909,0.09991673605328841,1.8318068276436206,0.3620225191116333,0.1204480230808258,True,True,496
R4_LHS_03,physics,BASE_C1_0T,S10_HYBRID,displacement,Y,2.865628247617928,1.931723563696909,0.09991673605328841,1.8318068276436206,0.9378492832183838,0.06918514519929886,True,True,496
R4_LHS_03,physics,BASE_C1_0T,S10,velocity,Y,0.0,0.0,0.0,0.0,,,False,False,0
COMMON_B2,common,BASE_C1_0T,B2,displacement,Y,2.865628247617928,1.931723563696909,0.09991673605328841,1.8318068276436206,0.9378492832183838,0.06918514519929886,True,True,496
R4_LHS_03,physics,BASE_C1_0T,S10_HYBRID,displacement,Z,2.3305174213662263,1.931723563696909,0.09991673605328841,1.8318068276436206,0.9678179025650024,0.06715318560600281,True,True,508
R4_LHS_03,physics,BASE_C1_0T,S10,velocity,Z,0.0,0.0,0.0,0.0,,,False,False,0
COMMON_B2,common,BASE_C1_0T,B2,displacement,Z,2.3305174213662263,1.931723563696909,0.09991673605328841,1.8318068276436206,0.9678179025650024,0.06715318560600281,True,True,508
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,X,3.2312479679069916,1.1990008326394608,1.1990008326394608,0.0,0.999999463558197,-9.863882587524131e-05,True,True,496
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,X,0.0,0.0,0.0,0.0,,,False,False,0
COMMON_B2,common,BASE_C2_0T,B2,displacement,X,3.2312479679069916,1.1990008326394608,1.1990008326394608,0.0,0.999999463558197,-9.863882587524131e-05,True,True,496
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,Y,2.3673889405902644,1.1990008326394608,0.09991673605328841,1.0990840965861723,0.9648148417472839,1.8059774447465315e-05,True,True,496
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,Y,0.0,0.0,0.0,0.0,,,False,False,0
COMMON_B2,common,BASE_C2_0T,B2,displacement,Y,2.3673889405902644,1.1990008326394608,0.09991673605328841,1.0990840965861723,0.9648148417472839,1.8059774447465315e-05,True,True,496
R4_LHS_03,physics,BASE_C2_0T,S10_HYBRID,displacement,Z,2.4500486378404105,1.1990008326394608,0.09991673605328841,1.0990840965861723,0.9857722520828247,-1.3606079846795183e-05,True,True,508
R4_LHS_03,physics,BASE_C2_0T,S10,velocity,Z,0.0,0.0,0.0,0.0,,,False,False,0
COMMON_B2,common,BASE_C2_0T,B2,displacement,Z,2.4500486378404105,1.1990008326394608,0.09991673605328841,1.0990840965861723,0.9857722520828247,-1.3606079846795183e-05,True,True,508
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,X,3.7864962099920496,1.931723563696909,0.09991673605328841,1.8318068276436206,0.3744875490665436,-0.03355186805129051,True,True,496
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,X,0.0,0.0,0.0,0.0,,,False,False,0
COMMON_B2,common,BASE_C3_0T,B2,displacement,X,3.7864962099920496,1.931723563696909,0.09991673605328841,1.8318068276436206,0.3744875490665436,-0.03355186805129051,True,True,496
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,Y,2.020918931807665,1.931723563696909,0.09991673605328841,1.8318068276436206,0.9438705444335938,0.10487684607505798,True,True,496
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,Y,0.0,0.0,0.0,0.0,,,False,False,0
COMMON_B2,common,BASE_C3_0T,B2,displacement,Y,2.020918931807665,1.931723563696909,0.09991673605328841,1.8318068276436206,0.9438705444335938,0.10487684607505798,True,True,496
R4_LHS_03,physics,BASE_C3_0T,S10_HYBRID,displacement,Z,1.9355142077005203,1.931723563696909,1.931723563696909,0.0,0.974271297454834,0.1085531935095787,True,True,508
R4_LHS_03,physics,BASE_C3_0T,S10,velocity,Z,0.0,0.0,0.0,0.0,,,False,False,0
COMMON_B2,common,BASE_C3_0T,B2,displacement,Z,1.9355142077005203,1.931723563696909,1.931723563696909,0.0,0.974271297454834,0.1085531935095787,True,True,508
R4_LHS_03,physics,BASE_C8_0T,S10_HYBRID,displacement,X,3.653527747598065,1.1990008326394608,1.1990008326394608,0.0,0.9999995827674866,0.0002370636648265645,True,True,496
R4_LHS_03,physics,BASE_C8_0T,S10,velocity,X,0.0,0.0,0.0,0.0,,,False,False,0
COMMON_B2,common,BASE_C8_0T,B2,displacement,X,3.653527747598065,1.1990008326394608,1.1990008326394608,0.0,0.9999995827674866,0.0002370636648265645,True,True,496
R4_LHS_03,physics,BASE_C8_0T,S10_HYBRID,displacement,Y,1.9567008100254526,1.1990008326394608,1.1990008326394608,0.0,0.974590539932251,0.00033866867306642234,True,True,496
R4_LHS_03,physics,BASE_C8_0T,S10,velocity,Y,0.0,0.0,0.0,0.0,,,False,False,0
COMMON_B2,common,BASE_C8_0T,B2,displacement,Y,1.9567008100254526,1.1990008326394608,1.1990008326394608,0.0,0.974590539932251,0.00033866867306642234,True,True,496
R4_LHS_03,physics,BASE_C8_0T,S10_HYBRID,displacement,Z,1.9938167343508435,1.1990008326394608,1.1990008326394608,0.0,0.9904072880744934,0.0002583192544989288,True,True,508
R4_LHS_03,physics,BASE_C8_0T,S10,velocity,Z,0.0,0.0,0.0,0.0,,,False,False,0
COMMON_B2,common,BASE_C8_0T,B2,displacement,Z,1.9938167343508435,1.1990008326394608,1.1990008326394608,0.0,0.9904072880744934,0.0002583192544989288,True,True,508
R4_LHS_03,physics,V40_A_E1_C4_2T,S10_HYBRID,displacement,X,1.7494011559732812,0.06661115736885893,0.06661115736885893,0.0,0.982832133769989,0.0,True,True,496
R4_LHS_03,physics,V40_A_E1_C4_2T,S10,velocity,X,1.8895178858538981,0.13322231473771787,0.13322231473771787,0.0,0.8689565062522888,-0.0011862859828397632,True,True,496
COMMON_B2,common,V40_A_E1_C4_2T,B2,displacement,X,1.2270093551018464,0.06661115736885893,0.06661115736885893,0.0,0.992780864238739,0.0,True,True,496
R4_LHS_03,physics,V40_A_E1_C4_2T,S10_HYBRID,displacement,Y,2.201054466972039,0.06661115736885893,0.06661115736885893,0.0,0.9910354614257812,0.0,True,True,496
R4_LHS_03,physics,V40_A_E1_C4_2T,S10,velocity,Y,1.9607709957146906,0.09991673605328841,0.09991673605328841,0.0,0.9641415476799011,0.018069595098495483,True,True,496
COMMON_B2,common,V40_A_E1_C4_2T,B2,displacement,Y,2.015498667376134,0.06661115736885893,0.06661115736885893,0.0,0.9977699518203735,0.0,True,True,496
R4_LHS_03,physics,V40_A_E1_C4_2T,S10_HYBRID,displacement,Z,2.657312490362486,0.06661115736885893,0.06661115736885893,0.0,0.9941425323486328,0.0,True,True,508
R4_LHS_03,physics,V40_A_E1_C4_2T,S10,velocity,Z,3.0306031699725504,0.09991673605328841,0.09991673605328841,0.0,0.9948145151138306,0.012923618778586388,True,True,508
COMMON_B2,common,V40_A_E1_C4_2T,B2,displacement,Z,5.060676386232384,0.06661115736885893,0.06661115736885893,0.0,0.9962407946586609,0.0,True,True,508
R4_LHS_03,physics,V40_B_E1_C4_2T,S10_HYBRID,displacement,X,2.4360572725857383,0.06661115736885893,0.09991673605328841,0.033305578684429474,0.9621589779853821,0.0,True,True,496
R4_LHS_03,physics,V40_B_E1_C4_2T,S10,velocity,X,1.356784427091874,0.13322231473771787,0.13322231473771787,0.0,0.8918451070785522,-0.000683274760376662,True,True,496
COMMON_B2,common,V40_B_E1_C4_2T,B2,displacement,X,1.366139994521786,0.06661115736885893,0.06661115736885893,0.0,0.975879430770874,0.0,True,True,496
R4_LHS_03,physics,V40_B_E1_C4_2T,S10_HYBRID,displacement,Y,2.6344137253272297,0.06661115736885893,0.06661115736885893,0.0,0.983680009841919,0.0,True,True,496
R4_LHS_03,physics,V40_B_E1_C4_2T,S10,velocity,Y,1.6544671922249876,0.09991673605328841,0.09991673605328841,0.0,0.9737918972969055,0.025047972798347473,True,True,496
COMMON_B2,common,V40_B_E1_C4_2T,B2,displacement,Y,2.213495116395459,0.06661115736885893,0.06661115736885893,0.0,0.9932698011398315,0.0,True,True,496
R4_LHS_03,physics,V40_B_E1_C4_2T,S10_HYBRID,displacement,Z,3.168458067019858,0.06661115736885893,0.06661115736885893,0.0,0.9897487163543701,0.0,True,True,508
R4_LHS_03,physics,V40_B_E1_C4_2T,S10,velocity,Z,2.5011888070544654,0.09991673605328841,0.09991673605328841,0.0,0.9949823617935181,0.003439344000071287,True,True,508
COMMON_B2,common,V40_B_E1_C4_2T,B2,displacement,Z,5.281752951215528,0.06661115736885893,0.06661115736885893,0.0,0.9918951988220215,0.0,True,True,508
R4_LHS_03,physics,V40_CPLUS_E1_C4_2T,S10_HYBRID,displacement,X,3.222930056996072,0.06661115736885893,0.06661115736885893,0.0,0.9871019721031189,0.0,True,True,496
R4_LHS_03,physics,V40_CPLUS_E1_C4_2T,S10,velocity,X,1.142791491631883,0.13322231473771787,0.13322231473771787,0.0,0.9033108353614807,-0.028460852801799774,True,True,496
COMMON_B2,common,V40_CPLUS_E1_C4_2T,B2,displacement,X,1.654371126565164,0.06661115736885893,0.06661115736885893,0.0,0.9896298050880432,0.0,True,True,496
R4_LHS_03,physics,V40_CPLUS_E1_C4_2T,S10_HYBRID,displacement,Y,3.5545477192597597,0.06661115736885893,0.06661115736885893,0.0,0.992782473564148,0.0,True,True,496
R4_LHS_03,physics,V40_CPLUS_E1_C4_2T,S10,velocity,Y,1.3982045770444385,0.09991673605328841,0.09991673605328841,0.0,0.9663974046707153,-0.002911010291427374,True,True,496
COMMON_B2,common,V40_CPLUS_E1_C4_2T,B2,displacement,Y,2.6311332562520318,0.06661115736885893,0.06661115736885893,0.0,0.9992525577545166,0.0,True,True,496
