run_id,trial_id,outer_fold,inner_fold,phase,variant,epoch,status,trainer_provenance
S10_INNER_R4_LHS_03_OUTER_0_INNER_0_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,0,0,inner,physics,100,PASS_S10_FOLD_TRIAL_EXECUTION,PRE_RETRY_HASH_ADMITTED_BY_BOUNDED_IO_PATH_EQUIVALENCE
S10_INNER_R4_LHS_03_OUTER_0_INNER_1_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,0,1,inner,physics,90,PASS_S10_FOLD_TRIAL_EXECUTION,PRE_RETRY_HASH_ADMITTED_BY_BOUNDED_IO_PATH_EQUIVALENCE
S10_INNER_R4_LHS_03_OUTER_0_INNER_2_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,0,2,inner,physics,95,PASS_S10_FOLD_TRIAL_EXECUTION,PRE_RETRY_HASH_ADMITTED_BY_BOUNDED_IO_PATH_EQUIVALENCE
S10_INNER_R4_LHS_03_OUTER_0_INNER_3_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,0,3,inner,physics,80,PASS_S10_FOLD_TRIAL_EXECUTION,PRE_RETRY_HASH_ADMITTED_BY_BOUNDED_IO_PATH_EQUIVALENCE
S10_OUTER_R4_LHS_03_OUTER_0_OUTER_OOF_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,0,,outer,physics,95,PASS_S10_FOLD_TRIAL_EXECUTION,PRE_RETRY_HASH_ADMITTED_BY_BOUNDED_IO_PATH_EQUIVALENCE
S10_OUTER_R4_LHS_03_OUTER_0_OUTER_OOF_CONTROL_SEED_20260813,R4_LHS_03,0,,outer,control,95,PASS_S10_FOLD_TRIAL_EXECUTION,PRE_RETRY_HASH_ADMITTED_BY_BOUNDED_IO_PATH_EQUIVALENCE
S10_INNER_R2_LHS_02_OUTER_0_INNER_0_PHYSICS_SEED_20260813,R2_LHS_02,0,0,inner,physics,95,PASS_S10_FOLD_TRIAL_EXECUTION,LEGACY_HASH_ADMITTED_BY_CHAINED_NONREPAIRED_AND_IO_PATH_EQUIVALENCE
S10_INNER_R2_LHS_02_OUTER_0_INNER_1_PHYSICS_SEED_20260813,R2_LHS_02,0,1,inner,physics,90,PASS_S10_FOLD_TRIAL_EXECUTION,LEGACY_HASH_ADMITTED_BY_CHAINED_NONREPAIRED_AND_IO_PATH_EQUIVALENCE
S10_INNER_R2_LHS_02_OUTER_0_INNER_2_PHYSICS_SEED_20260813,R2_LHS_02,0,2,inner,physics,95,PASS_S10_FOLD_TRIAL_EXECUTION,LEGACY_HASH_ADMITTED_BY_CHAINED_NONREPAIRED_AND_IO_PATH_EQUIVALENCE
S10_INNER_R2_LHS_02_OUTER_0_INNER_3_PHYSICS_SEED_20260813,R2_LHS_02,0,3,inner,physics,95,PASS_S10_FOLD_TRIAL_EXECUTION,LEGACY_HASH_ADMITTED_BY_CHAINED_NONREPAIRED_AND_IO_PATH_EQUIVALENCE
S10_OUTER_R2_LHS_02_OUTER_0_OUTER_OOF_PHYSICS_SEED_20260813,R2_LHS_02,0,,outer,physics,95,PASS_S10_FOLD_TRIAL_EXECUTION,LEGACY_HASH_ADMITTED_BY_CHAINED_NONREPAIRED_AND_IO_PATH_EQUIVALENCE
S10_OUTER_R2_LHS_02_OUTER_0_OUTER_OOF_CONTROL_SEED_20260813,R2_LHS_02,0,,outer,control,95,PASS_S10_FOLD_TRIAL_EXECUTION,LEGACY_HASH_ADMITTED_BY_CHAINED_NONREPAIRED_AND_IO_PATH_EQUIVALENCE
S10_INNER_R6_LHS_04_OUTER_0_INNER_0_PHYSICS_SEED_20260813,R6_LHS_04,0,0,inner,physics,95,PASS_S10_FOLD_TRIAL_EXECUTION,LEGACY_HASH_ADMITTED_BY_CHAINED_NONREPAIRED_AND_IO_PATH_EQUIVALENCE
S10_INNER_R6_LHS_04_OUTER_0_INNER_1_PHYSICS_SEED_20260813,R6_LHS_04,0,1,inner,physics,90,PASS_S10_FOLD_TRIAL_EXECUTION,LEGACY_HASH_ADMITTED_BY_CHAINED_NONREPAIRED_AND_IO_PATH_EQUIVALENCE
S10_INNER_R6_LHS_04_OUTER_0_INNER_2_PHYSICS_SEED_20260813,R6_LHS_04,0,2,inner,physics,100,PASS_S10_FOLD_TRIAL_EXECUTION,LEGACY_HASH_ADMITTED_BY_CHAINED_NONREPAIRED_AND_IO_PATH_EQUIVALENCE
S10_INNER_R6_LHS_04_OUTER_0_INNER_3_PHYSICS_SEED_20260813,R6_LHS_04,0,3,inner,physics,80,PASS_S10_FOLD_TRIAL_EXECUTION,LEGACY_HASH_ADMITTED_BY_CHAINED_NONREPAIRED_AND_IO_PATH_EQUIVALENCE
S10_OUTER_R6_LHS_04_OUTER_0_OUTER_OOF_PHYSICS_SEED_20260813,R6_LHS_04,0,,outer,physics,95,PASS_S10_FOLD_TRIAL_EXECUTION,LEGACY_HASH_ADMITTED_BY_CHAINED_NONREPAIRED_AND_IO_PATH_EQUIVALENCE
S10_OUTER_R6_LHS_04_OUTER_0_OUTER_OOF_CONTROL_SEED_20260813,R6_LHS_04,0,,outer,control,95,PASS_S10_FOLD_TRIAL_EXECUTION,LEGACY_HASH_ADMITTED_BY_CHAINED_NONREPAIRED_AND_IO_PATH_EQUIVALENCE
S10_INNER_R4_LHS_03_OUTER_1_INNER_0_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,1,0,inner,physics,85,PASS_S10_FOLD_TRIAL_EXECUTION,PRE_RETRY_HASH_ADMITTED_BY_BOUNDED_IO_PATH_EQUIVALENCE
S10_INNER_R4_LHS_03_OUTER_1_INNER_1_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,1,1,inner,physics,90,PASS_S10_FOLD_TRIAL_EXECUTION,PRE_RETRY_HASH_ADMITTED_BY_BOUNDED_IO_PATH_EQUIVALENCE
S10_INNER_R4_LHS_03_OUTER_1_INNER_2_PHYSICS_REPAIRED_EFFECTIVE_PH_OPINF_SEED_20260813,R4_LHS_03,1,2,inner,physics,90,PASS_S10_FOLD_TRIAL_EXECUTION,PRE_RETRY_HASH_ADMITTED_BY_BOUNDED_IO_PATH_EQUIVALENCE
