figure_id,in_contract,generator,generator_exists,generator_sha256,has_png,has_pdf,has_source,has_caption,has_manifest,complete_current_bundle,archived_pre_r4_artifact_present,state
F01,True,69_generate_s12_authority_graph_figures.py,True,247e9a772e612a65a03ac0faf76912cb67d4fdc53cd5de9948a747a00fd5b8f0,True,True,True,True,True,True,False,CURRENT_COMPLETE_AUTHORITY
F02,True,69_generate_s12_authority_graph_figures.py,True,247e9a772e612a65a03ac0faf76912cb67d4fdc53cd5de9948a747a00fd5b8f0,True,True,True,True,True,True,False,CURRENT_COMPLETE_AUTHORITY
F03,True,69_generate_s12_authority_graph_figures.py,True,247e9a772e612a65a03ac0faf76912cb67d4fdc53cd5de9948a747a00fd5b8f0,True,True,True,True,True,True,False,CURRENT_COMPLETE_AUTHORITY
F04,True,69_generate_s12_authority_graph_figures.py,True,247e9a772e612a65a03ac0faf76912cb67d4fdc53cd5de9948a747a00fd5b8f0,True,True,True,True,True,True,False,CURRENT_COMPLETE_AUTHORITY
F05,True,69_generate_s12_authority_graph_figures.py,True,247e9a772e612a65a03ac0faf76912cb67d4fdc53cd5de9948a747a00fd5b8f0,True,True,True,True,True,True,False,CURRENT_COMPLETE_AUTHORITY
F06,True,69_generate_s12_authority_graph_figures.py,True,247e9a772e612a65a03ac0faf76912cb67d4fdc53cd5de9948a747a00fd5b8f0,True,True,True,True,True,True,False,CURRENT_COMPLETE_AUTHORITY
F07,True,71_generate_s12_historical_experiment_figures.py,True,35a868314a85c6e1b9a87f8b5c491396535597c4bd04a3766adcccb0b9ce9f78,False,False,False,False,False,False,True,ARCHIVED_INVALID_PRE_R4_REPAIR_REGENERATE_AFTER_GATE
F08,True,71_generate_s12_historical_experiment_figures.py,True,35a868314a85c6e1b9a87f8b5c491396535597c4bd04a3766adcccb0b9ce9f78,False,False,False,False,False,False,True,ARCHIVED_INVALID_PRE_R4_REPAIR_REGENERATE_AFTER_GATE
F09,True,71_generate_s12_historical_experiment_figures.py,True,35a868314a85c6e1b9a87f8b5c491396535597c4bd04a3766adcccb0b9ce9f78,False,False,False,False,False,False,True,ARCHIVED_INVALID_PRE_R4_REPAIR_REGENERATE_AFTER_GATE
F10,True,71_generate_s12_historical_experiment_figures.py,True,35a868314a85c6e1b9a87f8b5c491396535597c4bd04a3766adcccb0b9ce9f78,False,False,False,False,False,False,True,ARCHIVED_INVALID_PRE_R4_REPAIR_REGENERATE_AFTER_GATE
F11,True,71_generate_s12_historical_experiment_figures.py,True,35a868314a85c6e1b9a87f8b5c491396535597c4bd04a3766adcccb0b9ce9f78,False,False,False,False,False,False,True,ARCHIVED_INVALID_PRE_R4_REPAIR_REGENERATE_AFTER_GATE
F12,True,71_generate_s12_historical_experiment_figures.py,True,35a868314a85c6e1b9a87f8b5c491396535597c4bd04a3766adcccb0b9ce9f78,False,False,False,False,False,False,True,ARCHIVED_INVALID_PRE_R4_REPAIR_REGENERATE_AFTER_GATE
F13,True,71_generate_s12_historical_experiment_figures.py,True,35a868314a85c6e1b9a87f8b5c491396535597c4bd04a3766adcccb0b9ce9f78,False,False,False,False,False,False,True,ARCHIVED_INVALID_PRE_R4_REPAIR_REGENERATE_AFTER_GATE
F14,True,71_generate_s12_historical_experiment_figures.py,True,35a868314a85c6e1b9a87f8b5c491396535597c4bd04a3766adcccb0b9ce9f78,False,False,False,False,False,False,True,ARCHIVED_INVALID_PRE_R4_REPAIR_REGENERATE_AFTER_GATE
F15,True,71_generate_s12_historical_experiment_figures.py,True,35a868314a85c6e1b9a87f8b5c491396535597c4bd04a3766adcccb0b9ce9f78,False,False,False,False,False,False,True,ARCHIVED_INVALID_PRE_R4_REPAIR_REGENERATE_AFTER_GATE
F16,True,71_generate_s12_historical_experiment_figures.py,True,35a868314a85c6e1b9a87f8b5c491396535597c4bd04a3766adcccb0b9ce9f78,False,False,False,False,False,False,True,ARCHIVED_INVALID_PRE_R4_REPAIR_REGENERATE_AFTER_GATE
F17,True,65_generate_s12_core_oof_figures.py,True,6443c9e1972f29dfd733d8f766d1447428d3e43879018a162509a598a2c60a81,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F18,True,65_generate_s12_core_oof_figures.py,True,6443c9e1972f29dfd733d8f766d1447428d3e43879018a162509a598a2c60a81,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F19,True,73_generate_s12_paired_oof_field_figures.py,True,abb0b36d7f40cd2b09f212ff3bceb7a81cb2c27db57eee6266fa37545360adea,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F20,True,65_generate_s12_core_oof_figures.py,True,6443c9e1972f29dfd733d8f766d1447428d3e43879018a162509a598a2c60a81,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F21,True,65_generate_s12_core_oof_figures.py,True,6443c9e1972f29dfd733d8f766d1447428d3e43879018a162509a598a2c60a81,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F22,True,73_generate_s12_paired_oof_field_figures.py,True,abb0b36d7f40cd2b09f212ff3bceb7a81cb2c27db57eee6266fa37545360adea,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F23,True,65_generate_s12_core_oof_figures.py,True,6443c9e1972f29dfd733d8f766d1447428d3e43879018a162509a598a2c60a81,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F24,True,73_generate_s12_paired_oof_field_figures.py,True,abb0b36d7f40cd2b09f212ff3bceb7a81cb2c27db57eee6266fa37545360adea,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F25,True,73_generate_s12_paired_oof_field_figures.py,True,abb0b36d7f40cd2b09f212ff3bceb7a81cb2c27db57eee6266fa37545360adea,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F26,True,73_generate_s12_paired_oof_field_figures.py,True,abb0b36d7f40cd2b09f212ff3bceb7a81cb2c27db57eee6266fa37545360adea,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F27,True,73_generate_s12_paired_oof_field_figures.py,True,abb0b36d7f40cd2b09f212ff3bceb7a81cb2c27db57eee6266fa37545360adea,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F28,True,73_generate_s12_paired_oof_field_figures.py,True,abb0b36d7f40cd2b09f212ff3bceb7a81cb2c27db57eee6266fa37545360adea,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F29,True,73_generate_s12_paired_oof_field_figures.py,True,abb0b36d7f40cd2b09f212ff3bceb7a81cb2c27db57eee6266fa37545360adea,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F30,True,67_generate_s12_dynamic_spatial_figures.py,True,9d7429647ff89cf350418fdb959dadf5524e451bdc538ac7dc7abb2406c059b0,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F31,True,67_generate_s12_dynamic_spatial_figures.py,True,9d7429647ff89cf350418fdb959dadf5524e451bdc538ac7dc7abb2406c059b0,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F32,True,67_generate_s12_dynamic_spatial_figures.py,True,9d7429647ff89cf350418fdb959dadf5524e451bdc538ac7dc7abb2406c059b0,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F33,True,67_generate_s12_dynamic_spatial_figures.py,True,9d7429647ff89cf350418fdb959dadf5524e451bdc538ac7dc7abb2406c059b0,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F34,True,67_generate_s12_dynamic_spatial_figures.py,True,9d7429647ff89cf350418fdb959dadf5524e451bdc538ac7dc7abb2406c059b0,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F35,True,67_generate_s12_dynamic_spatial_figures.py,True,9d7429647ff89cf350418fdb959dadf5524e451bdc538ac7dc7abb2406c059b0,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F36,True,67_generate_s12_dynamic_spatial_figures.py,True,9d7429647ff89cf350418fdb959dadf5524e451bdc538ac7dc7abb2406c059b0,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F37,True,65_generate_s12_core_oof_figures.py,True,6443c9e1972f29dfd733d8f766d1447428d3e43879018a162509a598a2c60a81,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F38,True,65_generate_s12_core_oof_figures.py,True,6443c9e1972f29dfd733d8f766d1447428d3e43879018a162509a598a2c60a81,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F39,True,75_generate_s12_modal_diagnostics.py,True,97cc93a4131030fff4acefd5ec8523ae80a3aead496975f8f3f97f5c46f54dac,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F40,True,75_generate_s12_modal_diagnostics.py,True,97cc93a4131030fff4acefd5ec8523ae80a3aead496975f8f3f97f5c46f54dac,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F41,True,75_generate_s12_modal_diagnostics.py,True,97cc93a4131030fff4acefd5ec8523ae80a3aead496975f8f3f97f5c46f54dac,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F42,True,78_generate_s12_graph_utility_figure.py,True,be469d210ebea9c90b01e2754abb72b536edc0b16f93f0b32d7b2dc70eb14db5,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F43,True,65_generate_s12_core_oof_figures.py,True,6443c9e1972f29dfd733d8f766d1447428d3e43879018a162509a598a2c60a81,False,False,False,False,False,False,False,PENDING_UPSTREAM_GATE
F44,True,82_generate_s14_final_decision_figures.py,True,49b04f2109244b99a79b7dca40455c14b8a9667880f21a1ac4187550fe1a8003,False,False,False,False,False,False,False,PENDING_S14_FINAL_DECISION
F45,True,82_generate_s14_final_decision_figures.py,True,49b04f2109244b99a79b7dca40455c14b8a9667880f21a1ac4187550fe1a8003,False,False,False,False,False,False,False,PENDING_S14_FINAL_DECISION
