trial_id,variant,seed,case_id,axis,model,quantity,derivative_vs_velocity_relative_l2,derivative_vs_velocity_relative_l2_defined,derivative_vs_velocity_rmse_mps
R4_LHS_03,physics,20260813,BASE_C1_0T,X,candidate,incremental_displacement_to_velocity,,False,0.0
COMMON_FEM,common,-1,BASE_C1_0T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,,False,0.0
R4_LHS_03,physics,20260813,BASE_C1_0T,Y,candidate,incremental_displacement_to_velocity,,False,0.0
COMMON_FEM,common,-1,BASE_C1_0T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,,False,0.0
R4_LHS_03,physics,20260813,BASE_C1_0T,Z,candidate,incremental_displacement_to_velocity,,False,0.0
COMMON_FEM,common,-1,BASE_C1_0T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,,False,0.0
R4_LHS_03,physics,20260813,BASE_C2_0T,X,candidate,incremental_displacement_to_velocity,,False,0.0
COMMON_FEM,common,-1,BASE_C2_0T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,,False,0.0
R4_LHS_03,physics,20260813,BASE_C2_0T,Y,candidate,incremental_displacement_to_velocity,,False,0.0
COMMON_FEM,common,-1,BASE_C2_0T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,,False,0.0
R4_LHS_03,physics,20260813,BASE_C2_0T,Z,candidate,incremental_displacement_to_velocity,,False,0.0
COMMON_FEM,common,-1,BASE_C2_0T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,,False,0.0
R4_LHS_03,physics,20260813,BASE_C3_0T,X,candidate,incremental_displacement_to_velocity,,False,0.0
COMMON_FEM,common,-1,BASE_C3_0T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,,False,0.0
R4_LHS_03,physics,20260813,BASE_C3_0T,Y,candidate,incremental_displacement_to_velocity,,False,0.0
COMMON_FEM,common,-1,BASE_C3_0T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,,False,0.0
R4_LHS_03,physics,20260813,BASE_C3_0T,Z,candidate,incremental_displacement_to_velocity,,False,0.0
COMMON_FEM,common,-1,BASE_C3_0T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,,False,0.0
R4_LHS_03,physics,20260813,BASE_C8_0T,X,candidate,incremental_displacement_to_velocity,,False,0.0
COMMON_FEM,common,-1,BASE_C8_0T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,,False,0.0
R4_LHS_03,physics,20260813,BASE_C8_0T,Y,candidate,incremental_displacement_to_velocity,,False,0.0
COMMON_FEM,common,-1,BASE_C8_0T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,,False,0.0
R4_LHS_03,physics,20260813,BASE_C8_0T,Z,candidate,incremental_displacement_to_velocity,,False,0.0
COMMON_FEM,common,-1,BASE_C8_0T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,,False,0.0
R4_LHS_03,physics,20260813,V40_A_E1_C4_2T,X,candidate,incremental_displacement_to_velocity,0.8729399311635988,True,0.000678020884831017
