trial_id,variant,model,case_id,axis,relative_l2
R4_LHS_03,control,R4_LHS_03-control,BASE_C1_0T,X,0.3819923878453377
R4_LHS_03,control,R4_LHS_03-control,BASE_C1_0T,Y,0.0228171677397597
R4_LHS_03,control,R4_LHS_03-control,BASE_C1_0T,Z,0.0354964603879568
R4_LHS_03,control,R4_LHS_03-control,BASE_C2_0T,X,0.0090404013545385
R4_LHS_03,control,R4_LHS_03-control,BASE_C2_0T,Y,0.0457175689909722
R4_LHS_03,control,R4_LHS_03-control,BASE_C2_0T,Z,0.0641828557423997
R4_LHS_03,control,R4_LHS_03-control,BASE_C3_0T,X,0.2824886377266512
R4_LHS_03,control,R4_LHS_03-control,BASE_C3_0T,Y,0.0138120164583427
R4_LHS_03,control,R4_LHS_03-control,BASE_C3_0T,Z,0.0211250461351502
R4_LHS_03,control,R4_LHS_03-control,BASE_C8_0T,X,0.0103860197426836
R4_LHS_03,control,R4_LHS_03-control,BASE_C8_0T,Y,0.0163873051429599
R4_LHS_03,control,R4_LHS_03-control,BASE_C8_0T,Z,0.0271748600555043
R4_LHS_03,control,R4_LHS_03-control,V40_A_E1_C4_2T,X,0.1274396299662581
R4_LHS_03,control,R4_LHS_03-control,V40_A_E1_C4_2T,Y,0.0488926108518889
R4_LHS_03,control,R4_LHS_03-control,V40_A_E1_C4_2T,Z,0.0623976609903806
R4_LHS_03,control,R4_LHS_03-control,V40_A_E2_C5_2T,X,0.0144357996585484
R4_LHS_03,control,R4_LHS_03-control,V40_A_E2_C5_2T,Y,0.0312722674424989
R4_LHS_03,control,R4_LHS_03-control,V40_A_E2_C5_2T,Z,0.0447516149371291
R4_LHS_03,control,R4_LHS_03-control,V40_A_E3_C6_1T,X,0.0709454939614278
R4_LHS_03,control,R4_LHS_03-control,V40_A_E3_C6_1T,Y,0.0310100491125545
R4_LHS_03,control,R4_LHS_03-control,V40_A_E3_C6_1T,Z,0.0346168760489371
R4_LHS_03,control,R4_LHS_03-control,V40_A_E4_C7_1T,X,0.0133140049138572
