component,rank,pooled_relative_l2_floor,p90_case_relative_l2_floor,worst_case_relative_l2_floor
u_X_transverse,16,0.01008360267594385,0.06905512607496335,0.0731123025178346
u_X_transverse,32,0.003839217655568,0.02183091359233405,0.0234942330699464
u_X_transverse,64,0.00071700006734515,0.00389385506956295,0.00431582419375135
u_X_transverse,96,0.00028332866997565,0.0017205234775336002,0.00192631152507925
u_X_transverse,128,0.00020580730364110002,0.0012004351011682,0.0013705906393236
v_Y_vertical,16,0.0139573611984965,0.015565004423682,0.015960212505455353
v_Y_vertical,32,0.0050331789594886,0.0055258423915262,0.0056222080879995
v_Y_vertical,64,0.0012186437718205,0.00134053752076,0.0014247568388364
v_Y_vertical,96,0.00039538123585605,0.00045663156213435,0.0004792227195146
v_Y_vertical,128,0.00027944558915875,0.00032441018550515,0.00034652770802619996
w_Z_longitudinal,16,0.0035236950528862,0.005040531222598199,0.00514462666752925
w_Z_longitudinal,32,0.00092276502199465,0.0014660701970737999,0.00149557621277695
w_Z_longitudinal,64,0.00026158068715345,0.00039034913377435,0.0004002160952597
w_Z_longitudinal,96,0.00023287544056245,0.0003465909709289,0.00035605596465024996
w_Z_longitudinal,128,0.0002149481271502,0.0003221763145832,0.0003314795876795
