route,campaign,stage,run_id,displacement_axis_sum
R1,S6 capacity,initial,S6_R1_BRIDGE_PINO_CAPACITY_DATA_ONLY_V1,2.150589195574633
R1,S6 capacity,after directed S6 repairs,S6_R1_BRIDGE_PINO_CAPACITY_PHYSICS_INFORMED_REP_OBSERVATION_WEIGHTED_OPT_GRADIENT_BALANCED_V1,0.2187737447535345
R2,S6 capacity,initial,S6_R2_MO_PIGNO_CAPACITY_DATA_ONLY_V1,0.42534966021776177
R2,S6 capacity,after directed S6 repairs,S6_R2_MO_PIGNO_CAPACITY_PHYSICS_INFORMED_OPT_TASK_GRADNORM_V1,0.5172839872539042
R3,S6 capacity,initial,S6_R3_GRAPH_GALERKIN_CAPACITY_DATA_ONLY_REP_PETROV_PHYSICAL32_V1,0.2883132696151731
R3,S6 capacity,after directed S6 repairs,S6_R3_GRAPH_GALERKIN_CAPACITY_PHYSICS_INFORMED_REP_PETROV_PHYSICAL32_OPT_CONSTANT_LR_V1,0.2326362840831278
R4,S6 capacity,initial,S6_R4_PORT_HAMILTONIAN_OPINF_CAPACITY_UNCONSTRAINED_OPINF_REP_STATE_STD_V1,0.11737763695418821
R4,S6 capacity,after directed S6 repairs,S6_R4_PORT_HAMILTONIAN_OPINF_CAPACITY_PORT_HAMILTONIAN_REP_STATE_STD_OPT_CONSTANT_LR_V1,0.08273316407576191
R5,S6 capacity,initial,S6_R5_ROTATION_MULTISCALE_CAPACITY_NEUTRALIZED_V1,0.2860317975282668
R5,S6 capacity,after directed S6 repairs,S6_R5_ROTATION_MULTISCALE_CAPACITY_ACTIVE_REP_QUANTILE_HIERARCHY_OPT_LAYERWISE_CONSTANT_LR_V1,0.2358488552272319
R6,S6 capacity,initial,S6_R6_RITZ_KRYLOV_CAPACITY_MODAL_V1,0.7415702417492865
R6,S6 capacity,after directed S6 repairs,S6_R6_RITZ_KRYLOV_CAPACITY_RITZ_REP_RANK16_OPT_STAGED_RESIDUAL_V1,0.3820887617766856
R1,S7 micropanel,physics,S6_MICROPANEL_R1_BRIDGE_PINO_PHYSICS_INFORMED_V1_HARD_ZERO_BASE,0.1889174221065144
R1,S7 micropanel,cosine optimization repair,S6_MICROPANEL_R1_BRIDGE_PINO_PHYSICS_INFORMED_COSINE_OPTIMIZATION_REPAIR_V1,0.2048851081162149
R2,S7 micropanel,physics,S6_MICROPANEL_R2_MO_PIGNO_PHYSICS_INFORMED_V1_DETERMINISTIC,0.2132190530464503
R2,S7 micropanel,cosine optimization repair,S6_MICROPANEL_R2_MO_PIGNO_PHYSICS_INFORMED_COSINE_OPTIMIZATION_REPAIR_V1,0.2282158602819027
R3,S7 micropanel,physics,S6_MICROPANEL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_V1_DETERMINISTIC,0.250892750242337
R3,S7 micropanel,cosine optimization repair,S6_MICROPANEL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_COSINE_OPTIMIZATION_REPAIR_V1,0.2329535151199128
R4,S7 micropanel,physics,S6_MICROPANEL_R4_PORT_HAMILTONIAN_OPINF_PHYSICS_INFORMED_V2_FIXED_ANCHOR_GRADIENT_AUDIT,0.2176325992951778
R4,S7 micropanel,cosine optimization repair,S6_MICROPANEL_R4_PORT_HAMILTONIAN_OPINF_PHYSICS_INFORMED_COSINE_OPTIMIZATION_REPAIR_V1,0.2179260778076742
R5,S7 micropanel,physics,S6_MICROPANEL_R5_ROTATION_MULTISCALE_GNO_PHYSICS_INFORMED_V1_DETERMINISTIC,0.227822813416118
R5,S7 micropanel,cosine optimization repair,S6_MICROPANEL_R5_ROTATION_MULTISCALE_GNO_PHYSICS_INFORMED_COSINE_OPTIMIZATION_REPAIR_V1,0.2352309056584101
R6,S7 micropanel,physics,S6_MICROPANEL_R6_LOAD_DEPENDENT_RITZ_KRYLOV_PHYSICS_INFORMED_V1_DETERMINISTIC,0.2145187893670515
R6,S7 micropanel,cosine optimization repair,S6_MICROPANEL_R6_LOAD_DEPENDENT_RITZ_KRYLOV_PHYSICS_INFORMED_COSINE_OPTIMIZATION_REPAIR_V1,0.2122739422402146
