route,variant,disp_X_l2,disp_Y_l2,disp_Z_l2,model
R1,control,0.07917361670561135,0.057485294845753,0.052446853019838396,R1-control
R1,physics,0.0812816930217359,0.056107835412366,0.0408589318030961,R1-physics
R2,control,0.09027991579970421,0.0679013245229899,0.059734294070433694,R2-control
R2,physics,0.0937857251429064,0.0675885761020631,0.0546781734808979,R2-physics
R3,control,0.08754701457455766,0.0608443666991665,0.05057324165926235,R3-control
R3,physics,0.0974343957232926,0.0700432127985621,0.06344226768265805,R3-physics
R4,control,0.09006969849409385,0.06104407516795485,0.04929116862378765,R4-control
R4,physics,0.0897257379913432,0.0625346995573691,0.04699388013532805,R4-physics
R5,control,0.09437264270410685,0.0681443721309079,0.053043331961038,R5-control
R5,physics,0.09801784995204679,0.0777613767782992,0.0728795157181715,R5-physics
R6,control,0.0895427196054704,0.06379529547514096,0.061811993337302404,R6-control
R6,modal,0.08450970786460299,0.060374104693075505,0.046834591288375,R6-modal
R6,physics,0.08599802739516975,0.0667681062668566,0.056425076153140505,R6-physics
