trial_id,route,variant,fidelity,fold,run_id,best_epoch,parameters,peak_vram_GiB,disp_X,disp_Y,disp_Z,residual,hp_width,hp_graph_depth,hp_temporal_modes,hp_temporal_kernel,hp_temporal_blocks,hp_head_hidden,hp_learning_rate,hp_weight_decay,hp_velocity_data_weight,hp_state_loss_weight,hp_equilibrium_loss_weight,hp_gradient_clip,hp_scheduler,predictive_error,nondominated
R1_LHS_07,R1,control,high,0,S9_HIGH_R1_LHS_07_FOLD_0_CONTROL_SEED_20260812,150,301024,0.6010928153991699,0.10867258014920027,0.10656434766599274,0.08553953396714918,2.5730307070127876,48,0,12,17,4,64,0.001184671537284624,0.00014379352374344726,0.1,0.05,0.003,1.0,constant,0.10867258014920027,False
R1_LHS_07,R1,physics,high,0,S9_HIGH_R1_LHS_07_FOLD_0_PHYSICS_SEED_20260812,150,301024,0.6003460884094238,0.11082378602783702,0.0992444994797683,0.07863778167408193,0.1425136367366638,48,0,12,17,4,64,0.001184671537284624,0.00014379352374344726,0.1,0.05,0.003,1.0,constant,0.11082378602783702,False
R1_LHS_07,R1,control,high,1,S9_HIGH_R1_LHS_07_FOLD_1_CONTROL_SEED_20260812,90,301024,0.6010928153991699,0.10943335463517458,0.07823110426958634,0.07675008874062382,3.9936317847709604,48,0,12,17,4,64,0.001184671537284624,0.00014379352374344726,0.1,0.05,0.003,1.0,constant,0.10943335463517458,False
R1_LHS_07,R1,physics,high,1,S9_HIGH_R1_LHS_07_FOLD_1_PHYSICS_SEED_20260812,120,301024,0.6003460884094238,0.11103789194018804,0.07901312130451814,0.0860087000112461,0.3711493713431356,48,0,12,17,4,64,0.001184671537284624,0.00014379352374344726,0.1,0.05,0.003,1.0,constant,0.11103789194018804,False
R1_LHS_07,R1,control,high,2,S9_HIGH_R1_LHS_07_FOLD_2_CONTROL_SEED_20260812,45,301024,0.6010928153991699,0.13610883850124822,0.1058905210467736,0.1316021356137923,3.1047228489405736,48,0,12,17,4,64,0.001184671537284624,0.00014379352374344726,0.1,0.05,0.003,1.0,constant,0.13610883850124822,False
R1_LHS_07,R1,physics,high,2,S9_HIGH_R1_LHS_07_FOLD_2_PHYSICS_SEED_20260812,105,301024,0.6003460884094238,0.14470893362679613,0.1155716184142318,0.11233294469946772,0.5354850255803967,48,0,12,17,4,64,0.001184671537284624,0.00014379352374344726,0.1,0.05,0.003,1.0,constant,0.14470893362679613,False
R1_LHS_07,R1,control,high,3,S9_HIGH_R1_LHS_07_FOLD_3_CONTROL_SEED_20260812,85,301024,0.6010928153991699,0.13628962520711185,0.10615825192682302,0.0845720661180931,3.471836442331831,48,0,12,17,4,64,0.001184671537284624,0.00014379352374344726,0.1,0.05,0.003,1.0,constant,0.13628962520711185,False
R1_LHS_07,R1,physics,high,3,S9_HIGH_R1_LHS_07_FOLD_3_PHYSICS_SEED_20260812,140,301024,0.6003460884094238,0.13956312288058517,0.11929145420340512,0.09161134747214757,0.2743641889516239,48,0,12,17,4,64,0.001184671537284624,0.00014379352374344726,0.1,0.05,0.003,1.0,constant,0.13956312288058517,False
R2_LHS_02,R2,control,high,0,S9_HIGH_R2_LHS_02_FOLD_0_CONTROL_SEED_20260812,150,396512,2.274031639099121,0.10317694121013377,0.08432391068016283,0.061274446960469874,2.157513133244271,64,1,12,17,2,64,0.0009790366902160642,0.00025564896597731916,0.1,0.01,0.0003,2.0,constant,0.10317694121013377,False
R2_LHS_02,R2,physics,high,0,S9_HIGH_R2_LHS_02_FOLD_0_PHYSICS_SEED_20260812,150,396512,2.2717905044555664,0.10003114529526558,0.08700432139929194,0.06691607684040181,0.17435416202963946,64,1,12,17,2,64,0.0009790366902160642,0.00025564896597731916,0.1,0.01,0.0003,2.0,constant,0.10003114529526558,True
R2_LHS_02,R2,control,high,1,S9_HIGH_R2_LHS_02_FOLD_1_CONTROL_SEED_20260812,150,396512,2.274031639099121,0.11670173808447146,0.07605208860619456,0.08694934056550419,2.243606565680631,64,1,12,17,2,64,0.0009790366902160642,0.00025564896597731916,0.1,0.01,0.0003,2.0,constant,0.11670173808447146,False
R2_LHS_02,R2,physics,high,1,S9_HIGH_R2_LHS_02_FOLD_1_PHYSICS_SEED_20260812,120,396512,2.2717905044555664,0.12936560897630733,0.07054293835565084,0.06546119920823211,0.1623554073817317,64,1,12,17,2,64,0.0009790366902160642,0.00025564896597731916,0.1,0.01,0.0003,2.0,constant,0.12936560897630733,False
R2_LHS_02,R2,control,high,2,S9_HIGH_R2_LHS_02_FOLD_2_CONTROL_SEED_20260812,145,396512,2.274031639099121,0.12062145608108027,0.08297055848874213,0.07938670190934145,3.1322267576760967,64,1,12,17,2,64,0.0009790366902160642,0.00025564896597731916,0.1,0.01,0.0003,2.0,constant,0.12062145608108027,False
R2_LHS_02,R2,physics,high,2,S9_HIGH_R2_LHS_02_FOLD_2_PHYSICS_SEED_20260812,125,396512,2.2717905044555664,0.10301388256976755,0.07938684406622994,0.07741356330533435,0.21224590520634304,64,1,12,17,2,64,0.0009790366902160642,0.00025564896597731916,0.1,0.01,0.0003,2.0,constant,0.10301388256976755,False
R2_LHS_02,R2,control,high,3,S9_HIGH_R2_LHS_02_FOLD_3_CONTROL_SEED_20260812,130,396512,2.274031639099121,0.11354767415672586,0.10312661472858134,0.06633977030223795,4.460531602521553,64,1,12,17,2,64,0.0009790366902160642,0.00025564896597731916,0.1,0.01,0.0003,2.0,constant,0.11354767415672586,False
R2_LHS_02,R2,physics,high,3,S9_HIGH_R2_LHS_02_FOLD_3_PHYSICS_SEED_20260812,130,396512,2.2717905044555664,0.10989969345388378,0.09577518363224226,0.060185960550577414,0.1995894991646585,64,1,12,17,2,64,0.0009790366902160642,0.00025564896597731916,0.1,0.01,0.0003,2.0,constant,0.10989969345388378,False
R4_LHS_03,R4,control,high,0,S9_HIGH_R4_LHS_03_FOLD_0_CONTROL_SEED_20260812,135,377760,1.8359403610229492,0.12976589896039092,0.11157543561705667,0.08044065996958304,2.3991154626916114,48,1,12,25,4,64,0.000985849832184497,0.00010793542141659115,0.1,0.05,0.0003,2.0,constant,0.12976589896039092,False
R4_LHS_03,R4,physics,high,0,S9_HIGH_R4_LHS_03_FOLD_0_PHYSICS_SEED_20260812,150,377760,1.838252067565918,0.11477864030431782,0.08547694250220869,0.06585540817234194,5.916414098187603e-08,48,1,12,25,4,64,0.000985849832184497,0.00010793542141659115,0.1,0.05,0.0003,2.0,constant,0.11477864030431782,False
R4_LHS_03,R4,control,high,1,S9_HIGH_R4_LHS_03_FOLD_1_CONTROL_SEED_20260812,125,377760,1.8359403610229492,0.12542910157194834,0.0994678318096963,0.09447481666643093,3.0640198784509023,48,1,12,25,4,64,0.000985849832184497,0.00010793542141659115,0.1,0.05,0.0003,2.0,constant,0.12542910157194834,False
R4_LHS_03,R4,physics,high,1,S9_HIGH_R4_LHS_03_FOLD_1_PHYSICS_SEED_20260812,90,377760,1.838252067565918,0.11923157208640203,0.07198378616205606,0.07814104780642035,5.816503900272924e-08,48,1,12,25,4,64,0.000985849832184497,0.00010793542141659115,0.1,0.05,0.0003,2.0,constant,0.11923157208640203,False
R4_LHS_03,R4,control,high,2,S9_HIGH_R4_LHS_03_FOLD_2_CONTROL_SEED_20260812,75,377760,1.8359403610229492,0.14841796350152028,0.10846053976280062,0.09431696969638885,2.669848615803292,48,1,12,25,4,64,0.000985849832184497,0.00010793542141659115,0.1,0.05,0.0003,2.0,constant,0.14841796350152028,False
