trial_id,route,stage,present
R1_LHS_01,R1,low,True
R1_LHS_01,R1,medium,False
R1_LHS_01,R1,high,False
R1_LHS_01,R1,S10,False
R1_LHS_02,R1,low,True
R1_LHS_02,R1,medium,True
R1_LHS_02,R1,high,False
R1_LHS_02,R1,S10,False
R1_LHS_03,R1,low,True
R1_LHS_03,R1,medium,False
R1_LHS_03,R1,high,False
R1_LHS_03,R1,S10,False
R1_LHS_04,R1,low,True
R1_LHS_04,R1,medium,False
R1_LHS_04,R1,high,False
R1_LHS_04,R1,S10,False
R1_LHS_05,R1,low,True
R1_LHS_05,R1,medium,False
R1_LHS_05,R1,high,False
R1_LHS_05,R1,S10,False
R1_LHS_06,R1,low,True
R1_LHS_06,R1,medium,False
R1_LHS_06,R1,high,False
R1_LHS_06,R1,S10,False
R1_LHS_07,R1,low,True
R1_LHS_07,R1,medium,True
R1_LHS_07,R1,high,True
R1_LHS_07,R1,S10,False
R1_LHS_08,R1,low,True
R1_LHS_08,R1,medium,True
R1_LHS_08,R1,high,False
R1_LHS_08,R1,S10,False
R6_LHS_01,R6,low,True
R6_LHS_01,R6,medium,False
R6_LHS_01,R6,high,False
R6_LHS_01,R6,S10,False
R6_LHS_02,R6,low,True
R6_LHS_02,R6,medium,True
R6_LHS_02,R6,high,False
R6_LHS_02,R6,S10,False
R6_LHS_03,R6,low,True
R6_LHS_03,R6,medium,False
R6_LHS_03,R6,high,False
R6_LHS_03,R6,S10,False
R6_LHS_04,R6,low,True
R6_LHS_04,R6,medium,True
R6_LHS_04,R6,high,True
R6_LHS_04,R6,S10,True
R6_LHS_05,R6,low,True
R6_LHS_05,R6,medium,False
R6_LHS_05,R6,high,False
R6_LHS_05,R6,S10,False
R6_LHS_06,R6,low,True
R6_LHS_06,R6,medium,False
R6_LHS_06,R6,high,False
R6_LHS_06,R6,S10,False
R6_LHS_07,R6,low,True
R6_LHS_07,R6,medium,False
R6_LHS_07,R6,high,False
R6_LHS_07,R6,S10,False
R6_LHS_08,R6,low,True
R6_LHS_08,R6,medium,True
R6_LHS_08,R6,high,False
R6_LHS_08,R6,S10,False
R4_LHS_01,R4,low,True
R4_LHS_01,R4,medium,False
R4_LHS_01,R4,high,False
R4_LHS_01,R4,S10,False
R4_LHS_02,R4,low,True
R4_LHS_02,R4,medium,True
R4_LHS_02,R4,high,False
R4_LHS_02,R4,S10,False
R4_LHS_03,R4,low,True
R4_LHS_03,R4,medium,True
R4_LHS_03,R4,high,True
R4_LHS_03,R4,S10,True
R4_LHS_04,R4,low,True
R4_LHS_04,R4,medium,True
R4_LHS_04,R4,high,False
R4_LHS_04,R4,S10,False
R4_LHS_05,R4,low,True
R4_LHS_05,R4,medium,False
R4_LHS_05,R4,high,False
R4_LHS_05,R4,S10,False
R4_LHS_06,R4,low,True
R4_LHS_06,R4,medium,False
R4_LHS_06,R4,high,False
R4_LHS_06,R4,S10,False
R4_LHS_07,R4,low,True
R4_LHS_07,R4,medium,False
R4_LHS_07,R4,high,False
R4_LHS_07,R4,S10,False
R4_LHS_08,R4,low,True
R4_LHS_08,R4,medium,False
R4_LHS_08,R4,high,False
R4_LHS_08,R4,S10,False
R2_LHS_01,R2,low,True
R2_LHS_01,R2,medium,True
R2_LHS_01,R2,high,False
R2_LHS_01,R2,S10,False
R2_LHS_02,R2,low,True
R2_LHS_02,R2,medium,True
R2_LHS_02,R2,high,True
R2_LHS_02,R2,S10,True
R2_LHS_03,R2,low,True
R2_LHS_03,R2,medium,False
R2_LHS_03,R2,high,False
R2_LHS_03,R2,S10,False
R2_LHS_04,R2,low,True
R2_LHS_04,R2,medium,False
R2_LHS_04,R2,high,False
R2_LHS_04,R2,S10,False
R2_LHS_05,R2,low,True
R2_LHS_05,R2,medium,False
R2_LHS_05,R2,high,False
R2_LHS_05,R2,S10,False
R2_LHS_06,R2,low,True
R2_LHS_06,R2,medium,True
R2_LHS_06,R2,high,False
R2_LHS_06,R2,S10,False
R2_LHS_07,R2,low,True
R2_LHS_07,R2,medium,False
R2_LHS_07,R2,high,False
R2_LHS_07,R2,S10,False
R2_LHS_08,R2,low,True
R2_LHS_08,R2,medium,False
R2_LHS_08,R2,high,False
R2_LHS_08,R2,S10,False
