feature,fold,repeat,delta_MAE,baseline_MAE
width,0,0,0.004328434729683556,0.1318489606058634
width,0,1,0.003620721009390787,0.1318489606058634
width,0,2,0.0029345756870470807,0.1318489606058634
width,0,3,-0.0001671058538517678,0.1318489606058634
width,0,4,0.0023438800421427264,0.1318489606058634
width,0,5,0.0013723990201286174,0.1318489606058634
width,0,6,0.0037075220451706636,0.1318489606058634
width,0,7,0.005667885453452898,0.1318489606058634
width,0,8,0.003363056966400879,0.1318489606058634
width,0,9,0.0016153945621548982,0.1318489606058634
width,0,10,0.002570955259739799,0.1318489606058634
width,0,11,0.003659849848810681,0.1318489606058634
width,0,12,0.003390492090507541,0.1318489606058634
width,0,13,0.003175582692676676,0.1318489606058634
width,0,14,0.0029973228372631444,0.1318489606058634
width,0,15,0.004584141563085009,0.1318489606058634
width,0,16,0.0037138447054511636,0.1318489606058634
width,0,17,0.002435981479974453,0.1318489606058634
width,0,18,0.0034061015616798918,0.1318489606058634
width,0,19,0.0003915763336659328,0.1318489606058634
width,0,20,0.004634592176025326,0.1318489606058634
width,0,21,0.0036126605410709,0.1318489606058634
width,0,22,0.003851588584954102,0.1318489606058634
width,0,23,0.0026197788592449145,0.1318489606058634
width,0,24,0.0034861226012177504,0.1318489606058634
width,0,25,0.002966368884968401,0.1318489606058634
width,0,26,0.0025463912568834957,0.1318489606058634
width,0,27,0.0007361600179239813,0.1318489606058634
width,0,28,0.003469612111769188,0.1318489606058634
width,0,29,0.00297997210599793,0.1318489606058634
graph_depth,0,0,0.0009100097167014376,0.1318489606058634
graph_depth,0,1,-0.0006953015956744635,0.1318489606058634
graph_depth,0,2,0.0005348071841719815,0.1318489606058634
graph_depth,0,3,0.0005483467448880452,0.1318489606058634
graph_depth,0,4,-7.794450479650661e-05,0.1318489606058634
graph_depth,0,5,0.0011632222980408335,0.1318489606058634
graph_depth,0,6,-5.6613966891466694e-05,0.1318489606058634
graph_depth,0,7,0.0001476697488522749,0.1318489606058634
graph_depth,0,8,0.0004244867232833238,0.1318489606058634
graph_depth,0,9,-0.0005185328411014267,0.1318489606058634
graph_depth,0,10,0.0007224977037529057,0.1318489606058634
graph_depth,0,11,0.00093972917944396,0.1318489606058634
graph_depth,0,12,-0.001156330785841403,0.1318489606058634
graph_depth,0,13,-0.0001270303217544011,0.1318489606058634
graph_depth,0,14,-4.258409873406088e-05,0.1318489606058634
graph_depth,0,15,9.421884786706136e-05,0.1318489606058634
graph_depth,0,16,-0.0010215888134878226,0.1318489606058634
graph_depth,0,17,0.0005244182099397587,0.1318489606058634
graph_depth,0,18,-0.0005863065455192495,0.1318489606058634
graph_depth,0,19,-0.0002547232513766817,0.1318489606058634
graph_depth,0,20,-0.00010932165699781282,0.1318489606058634
graph_depth,0,21,0.0006167918175851161,0.1318489606058634
graph_depth,0,22,0.0006012654698634989,0.1318489606058634
graph_depth,0,23,0.0004355745453419879,0.1318489606058634
graph_depth,0,24,0.0010199372169440446,0.1318489606058634
graph_depth,0,25,-0.00014338898064322758,0.1318489606058634
graph_depth,0,26,0.0007435753866532613,0.1318489606058634
graph_depth,0,27,0.0008021182034054497,0.1318489606058634
graph_depth,0,28,0.00011787668905913207,0.1318489606058634
graph_depth,0,29,-0.00040383520247663784,0.1318489606058634
temporal_modes,0,0,0.0009337482280663556,0.1318489606058634
temporal_modes,0,1,0.0010482147584214008,0.1318489606058634
temporal_modes,0,2,-0.0010755504808994398,0.1318489606058634
temporal_modes,0,3,0.00037529087346485634,0.1318489606058634
temporal_modes,0,4,-0.00010856852267007722,0.1318489606058634
temporal_modes,0,5,-0.001131637489870968,0.1318489606058634
temporal_modes,0,6,0.0006414085609202924,0.1318489606058634
temporal_modes,0,7,-0.0007195228695991152,0.1318489606058634
temporal_modes,0,8,7.941731929964058e-05,0.1318489606058634
temporal_modes,0,9,0.0005858284675435976,0.1318489606058634
temporal_modes,0,10,0.0006110213798238007,0.1318489606058634
temporal_modes,0,11,-0.001231357702968866,0.1318489606058634
temporal_modes,0,12,-0.00022305547776710344,0.1318489606058634
temporal_modes,0,13,0.0005046627002463777,0.1318489606058634
temporal_modes,0,14,-0.001474536739456661,0.1318489606058634
temporal_modes,0,15,-0.00030168905032643134,0.1318489606058634
temporal_modes,0,16,0.00029463202176246983,0.1318489606058634
temporal_modes,0,17,0.00017261530075157738,0.1318489606058634
temporal_modes,0,18,-0.00021003067848390788,0.1318489606058634
temporal_modes,0,19,-0.00013111508625787693,0.1318489606058634
temporal_modes,0,20,0.0003138198628289124,0.1318489606058634
temporal_modes,0,21,-0.00015819197583710753,0.1318489606058634
temporal_modes,0,22,-0.00025353817387405164,0.1318489606058634
temporal_modes,0,23,0.0002151024504127852,0.1318489606058634
temporal_modes,0,24,-0.0008792818774770728,0.1318489606058634
temporal_modes,0,25,-0.0011043786919272547,0.1318489606058634
temporal_modes,0,26,-0.001382596347947379,0.1318489606058634
temporal_modes,0,27,0.000989835237037856,0.1318489606058634
temporal_modes,0,28,-0.0014096732375266097,0.1318489606058634
temporal_modes,0,29,0.00040258656530889336,0.1318489606058634
temporal_kernel,0,0,-0.0003035466026638234,0.1318489606058634
temporal_kernel,0,1,-0.0008973727806461385,0.1318489606058634
temporal_kernel,0,2,-0.0001332627095833594,0.1318489606058634
temporal_kernel,0,3,-0.0008056111243895658,0.1318489606058634
temporal_kernel,0,4,-0.0006103234046333228,0.1318489606058634
temporal_kernel,0,5,0.0010879997202646596,0.1318489606058634
temporal_kernel,0,6,0.0009373907849913599,0.1318489606058634
temporal_kernel,0,7,0.0010859319238641363,0.1318489606058634
temporal_kernel,0,8,-0.00031367413777499964,0.1318489606058634
temporal_kernel,0,9,-0.001601107859882489,0.1318489606058634
temporal_kernel,0,10,0.0010141382906581897,0.1318489606058634
temporal_kernel,0,11,0.0004921568103566365,0.1318489606058634
temporal_kernel,0,12,0.0006367740797076082,0.1318489606058634
temporal_kernel,0,13,0.0009042450006962188,0.1318489606058634
temporal_kernel,0,14,-1.5406798794886933e-05,0.1318489606058634
temporal_kernel,0,15,5.935806846046887e-06,0.1318489606058634
temporal_kernel,0,16,-0.0009961464876986348,0.1318489606058634
temporal_kernel,0,17,0.0005750906606584172,0.1318489606058634
temporal_kernel,0,18,0.0008850714365342405,0.1318489606058634
temporal_kernel,0,19,0.0012787499934377722,0.1318489606058634
temporal_kernel,0,20,0.0010071245777455162,0.1318489606058634
temporal_kernel,0,21,-0.0009355487019041264,0.1318489606058634
temporal_kernel,0,22,0.0008951816506910515,0.1318489606058634
temporal_kernel,0,23,-0.00020842604373835782,0.1318489606058634
temporal_kernel,0,24,-0.00045577619888162446,0.1318489606058634
temporal_kernel,0,25,0.0006367740797076082,0.1318489606058634
temporal_kernel,0,26,-0.0003796710049254193,0.1318489606058634
temporal_kernel,0,27,-0.00032670934475770297,0.1318489606058634
temporal_kernel,0,28,0.0001592227305045879,0.1318489606058634
temporal_kernel,0,29,0.0009380637531271607,0.1318489606058634
temporal_blocks,0,0,-0.0009989115681623417,0.1318489606058634
temporal_blocks,0,1,8.016503267094244e-05,0.1318489606058634
temporal_blocks,0,2,0.0004528612002174526,0.1318489606058634
temporal_blocks,0,3,-0.0011468363378732138,0.1318489606058634
temporal_blocks,0,4,0.0004381665131324153,0.1318489606058634
temporal_blocks,0,5,-0.0005852906958914439,0.1318489606058634
temporal_blocks,0,6,0.000527819403144475,0.1318489606058634
temporal_blocks,0,7,-0.00023218529478050143,0.1318489606058634
temporal_blocks,0,8,-0.001076812867913307,0.1318489606058634
temporal_blocks,0,9,-0.001049557330636608,0.1318489606058634
temporal_blocks,0,10,-3.88256530007014e-05,0.1318489606058634
temporal_blocks,0,11,0.00024513145072099785,0.1318489606058634
temporal_blocks,0,12,-0.0005505479745010478,0.1318489606058634
temporal_blocks,0,13,0.000385867071834356,0.1318489606058634
temporal_blocks,0,14,-0.0008360112915427043,0.1318489606058634
temporal_blocks,0,15,-0.00042499615394187007,0.1318489606058634
temporal_blocks,0,16,-0.0009844702378656311,0.1318489606058634
temporal_blocks,0,17,-0.00046160643403908574,0.1318489606058634
temporal_blocks,0,18,-0.0004933844822405387,0.1318489606058634
temporal_blocks,0,19,-0.0005767898216994249,0.1318489606058634
temporal_blocks,0,20,-0.00029375700123465687,0.1318489606058634
temporal_blocks,0,21,0.0002666202156844377,0.1318489606058634
temporal_blocks,0,22,-0.00033453219865017814,0.1318489606058634
temporal_blocks,0,23,-0.000572729845699782,0.1318489606058634
temporal_blocks,0,24,-0.00036053710733235933,0.1318489606058634
temporal_blocks,0,25,0.0006597196948587014,0.1318489606058634
temporal_blocks,0,26,-0.001134275487681552,0.1318489606058634
temporal_blocks,0,27,-0.0007600046979249764,0.1318489606058634
temporal_blocks,0,28,-0.0009517497221659676,0.1318489606058634
temporal_blocks,0,29,-1.9070356121198007e-06,0.1318489606058634
head_hidden,0,0,0.0004654075292636617,0.1318489606058634
head_hidden,0,1,0.005325264718058859,0.1318489606058634
head_hidden,0,2,0.007674237414676793,0.1318489606058634
head_hidden,0,3,0.009572990043515306,0.1318489606058634
head_hidden,0,4,0.00525719302707503,0.1318489606058634
head_hidden,0,5,0.009572990043515306,0.1318489606058634
head_hidden,0,6,0.007248221610999084,0.1318489606058634
head_hidden,0,7,0.005325264718058859,0.1318489606058634
head_hidden,0,8,0.009938335377516982,0.1318489606058634
head_hidden,0,9,0.005134662940821461,0.1318489606058634
head_hidden,0,10,0.005628809853166189,0.1318489606058634
head_hidden,0,11,0.004878683110142112,0.1318489606058634
head_hidden,0,12,0.0064372758854506495,0.1318489606058634
head_hidden,0,13,0.005140950310798059,0.1318489606058634
head_hidden,0,14,0.00931315619617612,0.1318489606058634
head_hidden,0,15,0.004116531869332946,0.1318489606058634
head_hidden,0,16,-0.00012662660662185465,0.1318489606058634
head_hidden,0,17,0.005782159468155829,0.1318489606058634
head_hidden,0,18,0.005531307612760328,0.1318489606058634
head_hidden,0,19,0.0044380715545689065,0.1318489606058634
head_hidden,0,20,0.003935754161098953,0.1318489606058634
head_hidden,0,21,0.0004884579507064279,0.1318489606058634
head_hidden,0,22,0.0002958029051448041,0.1318489606058634
head_hidden,0,23,0.006648918349059646,0.1318489606058634
head_hidden,0,24,0.005262792595982585,0.1318489606058634
head_hidden,0,25,0.010017063864527526,0.1318489606058634
head_hidden,0,26,0.004953813128617729,0.1318489606058634
head_hidden,0,27,0.009747556487523817,0.1318489606058634
head_hidden,0,28,0.0019134987178850982,0.1318489606058634
head_hidden,0,29,0.007340381760028325,0.1318489606058634
learning_rate,0,0,0.024132789166268098,0.1318489606058634
learning_rate,0,1,0.08650087426555941,0.1318489606058634
learning_rate,0,2,0.05108320668150171,0.1318489606058634
learning_rate,0,3,0.13414142013778177,0.1318489606058634
learning_rate,0,4,0.04070697134697368,0.1318489606058634
learning_rate,0,5,0.08898257706961013,0.1318489606058634
