route,family,gate,decision
R1,R1_BRIDGE_PINO,S6_capacity,EXECUTED_WITH_REPAIRS
R2,R2_MO_PIGNO,S6_capacity,EXECUTED_WITH_REPAIRS
R3,R3_GRAPH_NEURAL_GALERKIN,S6_capacity,EXECUTED_WITH_REPAIRS
R4,R4_PORT_HAMILTONIAN_OPINF,S6_capacity,EXECUTED_WITH_REPAIRS
R5,R5_ROTATION_MULTISCALE_GNO,S6_capacity,EXECUTED_WITH_REPAIRS
R6,R6_LOAD_DEPENDENT_RITZ_KRYLOV,S6_capacity,EXECUTED_WITH_REPAIRS
R1,R1_BRIDGE_PINO,S8_factorial_primary,PASS
R2,R2_MO_PIGNO,S8_factorial_primary,PASS
R3,R3_GRAPH_NEURAL_GALERKIN,S8_factorial_primary,FAIL
R4,R4_PORT_HAMILTONIAN_OPINF,S8_factorial_primary,PASS
R5,R5_ROTATION_MULTISCALE_GNO,S8_factorial_primary,PASS
R6,R6_LOAD_DEPENDENT_RITZ_KRYLOV,S8_factorial_primary,PASS
R1,R1_BRIDGE_PINO,S9_HPO,NOT_REACHED
R2,R2_MO_PIGNO,S9_HPO,PASS
R3,R3_GRAPH_NEURAL_GALERKIN,S9_HPO,NOT_REACHED
R4,R4_PORT_HAMILTONIAN_OPINF,S9_HPO,PASS
R5,R5_ROTATION_MULTISCALE_GNO,S9_HPO,NOT_REACHED
R6,R6_LOAD_DEPENDENT_RITZ_KRYLOV,S9_HPO,PASS
R1,R1_BRIDGE_PINO,S10_nested_OOF,NOT_REACHED
R2,R2_MO_PIGNO,S10_nested_OOF,PASS
R3,R3_GRAPH_NEURAL_GALERKIN,S10_nested_OOF,NOT_REACHED
R4,R4_PORT_HAMILTONIAN_OPINF,S10_nested_OOF,PASS
R5,R5_ROTATION_MULTISCALE_GNO,S10_nested_OOF,NOT_REACHED
R6,R6_LOAD_DEPENDENT_RITZ_KRYLOV,S10_nested_OOF,PASS
R1,R1_BRIDGE_PINO,S11_five_seed,NOT_REACHED
R2,R2_MO_PIGNO,S11_five_seed,NOT_REACHED
R3,R3_GRAPH_NEURAL_GALERKIN,S11_five_seed,NOT_REACHED
R4,R4_PORT_HAMILTONIAN_OPINF,S11_five_seed,NOT_REACHED
R5,R5_ROTATION_MULTISCALE_GNO,S11_five_seed,NOT_REACHED
R6,R6_LOAD_DEPENDENT_RITZ_KRYLOV,S11_five_seed,NOT_REACHED
R1,R1_BRIDGE_PINO,predictive_noninferiority,NOT_REACHED
R2,R2_MO_PIGNO,predictive_noninferiority,NOT_REACHED
R3,R3_GRAPH_NEURAL_GALERKIN,predictive_noninferiority,NOT_REACHED
R4,R4_PORT_HAMILTONIAN_OPINF,predictive_noninferiority,FAIL
R5,R5_ROTATION_MULTISCALE_GNO,predictive_noninferiority,NOT_REACHED
R6,R6_LOAD_DEPENDENT_RITZ_KRYLOV,predictive_noninferiority,NOT_REACHED
R1,R1_BRIDGE_PINO,predictive_material_gain,NOT_REACHED
R2,R2_MO_PIGNO,predictive_material_gain,NOT_REACHED
R3,R3_GRAPH_NEURAL_GALERKIN,predictive_material_gain,NOT_REACHED
R4,R4_PORT_HAMILTONIAN_OPINF,predictive_material_gain,PASS
R5,R5_ROTATION_MULTISCALE_GNO,predictive_material_gain,NOT_REACHED
R6,R6_LOAD_DEPENDENT_RITZ_KRYLOV,predictive_material_gain,NOT_REACHED
R1,R1_BRIDGE_PINO,physical_material_gain,NOT_REACHED
R2,R2_MO_PIGNO,physical_material_gain,NOT_REACHED
R3,R3_GRAPH_NEURAL_GALERKIN,physical_material_gain,NOT_REACHED
R4,R4_PORT_HAMILTONIAN_OPINF,physical_material_gain,PASS
R5,R5_ROTATION_MULTISCALE_GNO,physical_material_gain,NOT_REACHED
R6,R6_LOAD_DEPENDENT_RITZ_KRYLOV,physical_material_gain,NOT_REACHED
R1,R1_BRIDGE_PINO,graph_utility,NOT_REACHED
R2,R2_MO_PIGNO,graph_utility,NOT_REACHED
R3,R3_GRAPH_NEURAL_GALERKIN,graph_utility,NOT_REACHED
R4,R4_PORT_HAMILTONIAN_OPINF,graph_utility,PASS_FUNCTIONAL
R5,R5_ROTATION_MULTISCALE_GNO,graph_utility,NOT_REACHED
R6,R6_LOAD_DEPENDENT_RITZ_KRYLOV,graph_utility,NOT_REACHED
R1,R1_BRIDGE_PINO,modal_evidence,COMMON_REFERENCE_ONLY
R2,R2_MO_PIGNO,modal_evidence,COMMON_REFERENCE_ONLY
R3,R3_GRAPH_NEURAL_GALERKIN,modal_evidence,COMMON_REFERENCE_ONLY
R4,R4_PORT_HAMILTONIAN_OPINF,modal_evidence,REPORTED_COMMON_AND_PROJECTED
R5,R5_ROTATION_MULTISCALE_GNO,modal_evidence,COMMON_REFERENCE_ONLY
R6,R6_LOAD_DEPENDENT_RITZ_KRYLOV,modal_evidence,COMMON_REFERENCE_ONLY
R1,R1_BRIDGE_PINO,full_state,NOT_REACHED
R2,R2_MO_PIGNO,full_state,NOT_REACHED
R3,R3_GRAPH_NEURAL_GALERKIN,full_state,NOT_REACHED
R4,R4_PORT_HAMILTONIAN_OPINF,full_state,FAIL_LIMITED
R5,R5_ROTATION_MULTISCALE_GNO,full_state,NOT_REACHED
R6,R6_LOAD_DEPENDENT_RITZ_KRYLOV,full_state,NOT_REACHED
R1,R1_BRIDGE_PINO,final_selected,FAIL
R2,R2_MO_PIGNO,final_selected,FAIL
R3,R3_GRAPH_NEURAL_GALERKIN,final_selected,FAIL
R4,R4_PORT_HAMILTONIAN_OPINF,final_selected,FAIL
R5,R5_ROTATION_MULTISCALE_GNO,final_selected,FAIL
R6,R6_LOAD_DEPENDENT_RITZ_KRYLOV,final_selected,FAIL
