component,rank,pooled_relative_l2_floor_mean,pooled_relative_l2_floor_max,p90_case_relative_l2_floor_mean,p90_case_relative_l2_floor_max,worst_case_relative_l2_floor_mean,worst_case_relative_l2_floor_max
u_X_transverse,16,0.01006356109745955,0.011243301398338285,0.06737703232698294,0.07250875105072345,0.07257074041437585,0.07493807245016658
u_X_transverse,32,0.003804896055766744,0.004238182800235646,0.02126495124039839,0.02487044711355772,0.02357545355354012,0.025320603965253152
u_X_transverse,64,0.0007135771325221181,0.0007991738933070041,0.003944205113130871,0.004509106286135497,0.005432397859298548,0.007229251823090997
u_X_transverse,96,0.00028770856606204963,0.0003376940614684611,0.0016993590836886052,0.0019019851541559596,0.0025205175926799003,0.003810577277803765
u_X_transverse,128,0.00020704559088276166,0.00024762701415103613,0.001194720477897469,0.0013402136313204738,0.001773698483480993,0.0026273509943758586
v_Y_vertical,16,0.013883733647772595,0.01409315019720448,0.015594444488956008,0.01663532738114848,0.015996516004595306,0.01671931268456793
v_Y_vertical,32,0.005023460027313879,0.005138421222503199,0.005522639989894373,0.0058817235800163615,0.005653602904999791,0.006002582967292977
v_Y_vertical,64,0.0012150308081409075,0.0012392419564470124,0.0013500483328990147,0.0014940258405191024,0.0014251555770249623,0.0015475071515315662
v_Y_vertical,96,0.0003941351835639501,0.00040932035155108606,0.00045226117210274235,0.0004846123943091225,0.0004813211764533332,0.0005270244424348541
v_Y_vertical,128,0.0002803459246346998,0.00029095883402027224,0.0003241997497935662,0.0003464181577122689,0.00034850954510814747,0.0003725612366315484
w_Z_longitudinal,16,0.0035115286476399775,0.003653587508252097,0.005017438410208122,0.005203761585958888,0.005137927449127767,0.005323682415790173
w_Z_longitudinal,32,0.0009270833465498899,0.0009746069818672631,0.0014586826418139958,0.001503644534588071,0.0014924920508909954,0.0015332076807668673
w_Z_longitudinal,64,0.00026234875663539835,0.0002768234835270697,0.00039100605036356087,0.0004264139727412582,0.000404669730262286,0.0004453442344260288
w_Z_longitudinal,96,0.0002337614568722047,0.00024820308462519786,0.000347656048333409,0.00038132742752945855,0.0003609573088344754,0.0004088355302406875
w_Z_longitudinal,128,0.0002151314942222358,0.00022882390767184176,0.0003214276617272235,0.0003536557712023395,0.0003338625343639494,0.000377234992019819
