outer_fold,case_id,inner_fold
0,BASE_C2_0T,0
0,V40_A_E1_C4_2T,0
0,V40_B_E3_C6_1T,0
0,V40_B_E6_C10_1T,0
0,V40_CPLUS_E2_C5_2T,0
0,V40_CPLUS_E3_C6_1T,0
0,V40_C_E1_C4_2T,0
0,V52_A_E6_C10_1T,0
0,V52_A_E7_C11_2T,0
0,V52_B_E8_C12_2T,0
0,V52_CPLUS_E5_C9_1T,0
0,V52_C_E4_C7_1T,0
0,V52_C_E7_C11_2T,0
0,BASE_C3_0T,1
0,V40_A_E4_C7_1T,1
0,V40_A_E7_C11_2T,1
0,V40_B_E1_C4_2T,1
0,V40_CPLUS_E4_C7_1T,1
0,V40_CPLUS_E8_C12_2T,1
0,V40_C_E3_C6_1T,1
0,V40_C_E7_C11_2T,1
0,V52_A_E2_C5_2T,1
0,V52_B_E5_C9_1T,1
0,V52_B_E7_C11_2T,1
0,V52_CPLUS_E3_C6_1T,1
0,V52_CPLUS_E7_C11_2T,1
0,V52_C_E6_C10_1T,1
0,BASE_C8_0T,2
0,V40_A_E2_C5_2T,2
0,V40_A_E5_C9_1T,2
0,V40_B_E4_C7_1T,2
0,V40_B_E8_C12_2T,2
0,V40_CPLUS_E5_C9_1T,2
0,V40_C_E6_C10_1T,2
0,V52_A_E1_C4_2T,2
0,V52_B_E2_C5_2T,2
0,V52_CPLUS_E1_C4_2T,2
0,V52_CPLUS_E4_C7_1T,2
0,V52_C_E3_C6_1T,2
0,V52_C_E8_C12_2T,2
0,V40_A_E6_C10_1T,3
0,V40_B_E2_C5_2T,3
0,V40_B_E5_C9_1T,3
0,V40_CPLUS_E6_C10_1T,3
0,V40_CPLUS_E7_C11_2T,3
0,V40_C_E2_C5_2T,3
0,V40_C_E8_C12_2T,3
0,V52_A_E3_C6_1T,3
0,V52_A_E8_C12_2T,3
0,V52_B_E1_C4_2T,3
0,V52_B_E4_C7_1T,3
0,V52_CPLUS_E6_C10_1T,3
0,V52_C_E1_C4_2T,3
0,V52_C_E5_C9_1T,3
1,BASE_C1_0T,0
1,V40_A_E4_C7_1T,0
1,V40_A_E8_C12_2T,0
1,V40_B_E3_C6_1T,0
1,V40_CPLUS_E3_C6_1T,0
1,V40_C_E2_C5_2T,0
1,V52_A_E5_C9_1T,0
1,V52_A_E8_C12_2T,0
1,V52_B_E2_C5_2T,0
1,V52_B_E6_C10_1T,0
1,V52_CPLUS_E7_C11_2T,0
1,V52_C_E1_C4_2T,0
1,V52_C_E4_C7_1T,0
1,BASE_C2_0T,1
1,V40_A_E2_C5_2T,1
1,V40_B_E5_C9_1T,1
1,V40_B_E8_C12_2T,1
1,V40_CPLUS_E1_C4_2T,1
1,V40_C_E4_C7_1T,1
1,V40_C_E6_C10_1T,1
1,V52_A_E2_C5_2T,1
1,V52_A_E6_C10_1T,1
1,V52_B_E8_C12_2T,1
1,V52_CPLUS_E2_C5_2T,1
1,V52_CPLUS_E3_C6_1T,1
1,V52_CPLUS_E6_C10_1T,1
1,V52_C_E5_C9_1T,1
1,BASE_C3_0T,2
1,V40_A_E3_C6_1T,2
1,V40_A_E6_C10_1T,2
1,V40_B_E1_C4_2T,2
1,V40_CPLUS_E5_C9_1T,2
1,V40_CPLUS_E7_C11_2T,2
1,V40_C_E7_C11_2T,2
1,V52_A_E7_C11_2T,2
1,V52_B_E3_C6_1T,2
1,V52_B_E7_C11_2T,2
1,V52_CPLUS_E4_C7_1T,2
1,V52_C_E2_C5_2T,2
1,V52_C_E3_C6_1T,2
1,V40_A_E1_C4_2T,3
1,V40_A_E5_C9_1T,3
1,V40_B_E4_C7_1T,3
1,V40_B_E7_C11_2T,3
1,V40_CPLUS_E6_C10_1T,3
1,V40_CPLUS_E8_C12_2T,3
1,V40_C_E1_C4_2T,3
1,V40_C_E5_C9_1T,3
1,V52_A_E4_C7_1T,3
1,V52_B_E1_C4_2T,3
1,V52_B_E4_C7_1T,3
1,V52_CPLUS_E5_C9_1T,3
1,V52_CPLUS_E8_C12_2T,3
1,V52_C_E8_C12_2T,3
2,BASE_C1_0T,0
2,V40_A_E6_C10_1T,0
2,V40_A_E7_C11_2T,0
2,V40_B_E2_C5_2T,0
2,V40_B_E6_C10_1T,0
2,V40_CPLUS_E1_C4_2T,0
2,V40_C_E6_C10_1T,0
2,V40_C_E8_C12_2T,0
2,V52_A_E2_C5_2T,0
2,V52_B_E4_C7_1T,0
2,V52_CPLUS_E6_C10_1T,0
2,V52_C_E4_C7_1T,0
2,V52_C_E7_C11_2T,0
2,BASE_C3_0T,1
2,V40_A_E1_C4_2T,1
2,V40_B_E3_C6_1T,1
2,V40_CPLUS_E2_C5_2T,1
2,V40_CPLUS_E4_C7_1T,1
2,V40_CPLUS_E6_C10_1T,1
2,V40_C_E2_C5_2T,1
2,V40_C_E3_C6_1T,1
2,V52_A_E5_C9_1T,1
2,V52_A_E7_C11_2T,1
2,V52_B_E5_C9_1T,1
2,V52_B_E8_C12_2T,1
2,V52_CPLUS_E1_C4_2T,1
2,V52_C_E5_C9_1T,1
2,BASE_C8_0T,2
2,V40_A_E8_C12_2T,2
2,V40_B_E4_C7_1T,2
2,V40_B_E7_C11_2T,2
2,V40_CPLUS_E3_C6_1T,2
2,V40_C_E4_C7_1T,2
2,V52_A_E3_C6_1T,2
2,V52_A_E8_C12_2T,2
2,V52_B_E3_C6_1T,2
2,V52_CPLUS_E2_C5_2T,2
2,V52_CPLUS_E4_C7_1T,2
2,V52_C_E2_C5_2T,2
2,V52_C_E6_C10_1T,2
2,V40_A_E2_C5_2T,3
2,V40_A_E3_C6_1T,3
2,V40_B_E8_C12_2T,3
2,V40_CPLUS_E5_C9_1T,3
2,V40_CPLUS_E7_C11_2T,3
2,V40_C_E5_C9_1T,3
2,V40_C_E7_C11_2T,3
2,V52_A_E1_C4_2T,3
2,V52_A_E4_C7_1T,3
2,V52_B_E1_C4_2T,3
2,V52_B_E6_C10_1T,3
2,V52_CPLUS_E5_C9_1T,3
2,V52_CPLUS_E8_C12_2T,3
