epoch,elapsed_s,learning_rate,loss_total,loss_q,loss_qdot,loss_variational,gradient_norm,data_gradient_norm,physics_gradient_norm,data_physics_gradient_cosine,reduced_q_relative_l2,reduced_qdot_relative_l2,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,variational_weak_median,variational_weak_p90,hard_BC_max_abs,finite,peak_vram_GiB
0,0.8150021000037668,0.0,2.077867031097412,1.0452675819396973,1.0325993299484253,58.8684196472168,0.0,0.25606247782707214,nan,nan,1.0782554362733123,1.0293632633272911,1.3967740741457324,0.9389801202337521,1.1228727473142635,1.0816491483779505,1.050753613647187,0.9960722405649017,1.0988605907541384,1.337476914612417,6.603308987785806e-17,True,0.042232513427734375
1,1.4343710000030114,0.0002,2.077867031097412,1.0452675819396973,1.0325993299484253,58.8684196472168,0.25606247782707214,0.25606247782707214,nan,nan,1.0743866975482537,1.0235163501870828,1.3881965184654281,0.9404491906120411,1.1174340947413113,1.0674223565350716,1.0425525519541738,0.9948935772326194,1.0908545303922093,1.3147633013132574,6.652520927846674e-17,True,0.04682779312133789
5,1.8192019999987679,0.001,2.017345428466797,1.0096688270568848,1.007676601409912,32.19791793823242,0.09874466061592102,0.09874466806650162,nan,nan,1.0425795352496718,0.9869932033809545,1.3794574035464766,0.9459217560417146,1.074067343728913,0.9995278497515714,0.9934649000743095,0.9841271326772774,1.0032724943721434,1.134694951596059,6.890992186674354e-17,True,0.05194711685180664
10,2.1515455000044312,0.0009973620807194618,1.9613864421844482,0.9718373417854309,0.9895491600036621,36.7745475769043,0.09596935659646988,0.09596936404705048,nan,nan,0.9661200311173569,0.9621748114721314,1.3871650660601995,0.8755484453105574,0.9952022856146994,0.9864432328073286,0.9667637753563179,0.9683875397884919,0.9312821998198341,1.0432947993040487,1.1196484728247021e-16,True,0.05194711685180664
15,2.5331096000008984,0.000989479250069539,1.8954575061798096,0.92221599817276,0.9732415676116943,93.28132629394531,0.12799234688282013,0.12799234688282013,nan,nan,0.7620988371722274,0.9247362806456453,1.4814101201477563,0.6417821594391986,0.7965846354265735,0.973755679225468,0.9408460981477764,0.9314191161862917,0.8499238159734974,1.2515424365020693,2.2724558814467927e-16,True,0.05194711685180664
20,2.88643740000407,0.0009764439270322612,1.815385103225708,0.8643919825553894,0.9509931206703186,127.95874786376953,0.1629951447248459,0.1629951447248459,nan,nan,0.514927191439778,0.8553294859551865,1.9013969551694394,0.5015347260205503,0.5013122723914359,0.9988793517171811,0.90336722300714,0.8584327765820065,1.6312994806075811,2.570391283532312,2.9032539567576213e-16,True,0.05194711685180664
25,3.2433310999986134,0.0009584089388519307,1.7371158599853516,0.8141456842422485,0.9229702353477478,159.80943298339844,0.1330632120370865,0.1330632120370865,nan,nan,0.41681407379500546,0.7742281061327667,1.808078178696564,0.4753335192342609,0.370275710100676,1.0170489280843453,0.8671688322060708,0.7704901868239276,1.6074945474217974,3.6762172935396156,3.486786193784469e-16,True,0.05194711685180664
30,3.5690704000007827,0.0009355857292754152,1.6695003509521484,0.7773590683937073,0.8921413421630859,133.229736328125,0.11567565053701401,0.11567565053701401,nan,nan,0.33344126558131476,0.6766839564918983,1.5413606969254947,0.45037285602135374,0.25450117544040385,1.0311459327455956,0.8372534631972527,0.6512044730171048,1.3331226826106812,3.0072616793206746,3.795225952262682e-16,True,0.05194711685180664
35,3.8890539999993052,0.0009082418795675396,1.6114671230316162,0.7490349411964417,0.8624322414398193,95.6784896850586,0.09428763389587402,0.09428763389587402,nan,nan,0.29428175548645774,0.6137203842470179,1.2223676027888692,0.4239486113865509,0.21196354275994622,1.0222255642288087,0.8174324394513072,0.5593381840232154,1.183784385271444,1.481814730145895,3.4648872549537316e-16,True,0.05194711685180664
40,4.19577460000437,0.0008766979713654089,1.5640549659729004,0.7257149815559387,0.8383399844169617,88.40890502929688,0.07864207029342651,0.07864206284284592,nan,nan,0.2973580790045902,0.5646283981798814,1.1664126860364892,0.42214243192871864,0.2204900812708835,0.9878398318197456,0.7785057028083303,0.5131457547856205,1.0853306789431616,1.6924688158461814,3.3110011596200086e-16,True,0.05194711685180664
