epoch,elapsed_s,lr,loss,qfield_loss,vfield_loss,q32_loss,v32_loss,residual_force_loss,gradient_norm,score,peak_vram_GiB,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,rotation_X_relative_l2,rotation_Y_relative_l2,rotation_Z_relative_l2,rotation_rate_X_relative_l2,rotation_rate_Y_relative_l2,rotation_rate_Z_relative_l2,physical_q_relative_l2,physical_qdot_relative_l2,weak_median,weak_p90,hard_BC_max_abs,finite
0,1.9156367999967188,0.0,1.125545620918274,0.33078649640083313,0.7427363395690918,0.00024708264390937984,0.20784422755241394,0.0,0.0,1.677424989909318,1.8427715301513672,0.31212982535362244,0.16192904114723206,0.05524501949548721,0.8118172883987427,0.7402721047401428,0.5166475176811218,0.5557844042778015,0.9494305849075317,0.8037496209144592,1.0118727684020996,0.9822800755500793,0.995394766330719,0.003822756304509388,0.21985978439692658,1.1293354022526101e-07,224135.2829834465,0.0,True
1,5.341709699998319,0.00016,1.125545620918274,0.33078649640083313,0.7427363395690918,0.00024708264390937984,0.20784422755241394,0.0,5.809636116027832,1.663277093136236,2.0436134338378906,0.31001704931259155,0.1612602025270462,0.054821908473968506,0.8018300533294678,0.7393820285797119,0.5136069655418396,0.5518574118614197,0.9410470128059387,0.79976487159729,1.0108970403671265,0.9818349480628967,0.9952513575553894,0.0036341241750602786,0.21226856984411926,1.0183241627102965e-07,1.7649796722939765e-07,0.0,True
5,14.27707360000204,0.0008,1.0609385967254639,0.2879512310028076,0.7309261560440063,0.0002148486819351092,0.1680298149585724,5.2721184147230815e-06,2.537515163421631,1.5882419146654763,2.0436134338378906,0.28500643372535706,0.15265490114688873,0.04896905645728111,0.8026161789894104,0.7335227727890015,0.4945322275161743,0.4971056580543518,0.8232095837593079,0.7519875764846802,1.0024940967559814,0.9776008725166321,0.9937776327133179,0.0026942459042837677,0.1671633755687451,1.0528719492498467e-07,1.7355966630276142e-07,0.0,True
10,25.4374914,0.0008,0.9017233848571777,0.15052862465381622,0.7198411822319031,0.00016485931701026857,0.1252494752407074,5.7169116189470515e-05,2.4192190170288086,1.4497706201692158,2.0436134338378906,0.21201767027378082,0.13157032430171967,0.02812849171459675,0.7902811765670776,0.7282360792160034,0.48566436767578125,0.3080448806285858,0.37190091609954834,0.6717240214347839,0.9911665320396423,0.9719465374946594,0.9926245808601379,0.0025428469852612702,0.1468409503288521,1.0181762906785076e-07,1.789844071082808e-07,0.0,True
15,41.21546020000096,0.0008,0.8681778311729431,0.14115457236766815,0.7054222226142883,0.00012534571578726172,0.08627878874540329,0.00018463261949364096,2.682727336883545,1.4055180748396334,2.0436134338378906,0.20512601733207703,0.1314321756362915,0.024093743413686752,0.7852579951286316,0.7160906791687012,0.47331318259239197,0.28649309277534485,0.3015788793563843,0.710677981376648,0.9744978547096252,0.9644286632537842,0.9850220084190369,0.00270244742562623,0.1096655251741791,1.0476090090738775e-07,1.743219148856757e-07,0.0,True
20,49.76471209999727,0.0008,0.8008874654769897,0.10762317478656769,0.6784613728523254,8.904709829948843e-05,0.05912265554070473,0.000175555789610371,1.0848554372787476,1.3641736817959,2.0436134338378906,0.19906702637672424,0.12644900381565094,0.024463491514325142,0.7631426453590393,0.708168625831604,0.44649240374565125,0.2773566246032715,0.3018805980682373,0.6481493711471558,0.9278458952903748,0.9591436982154846,0.9755867123603821,0.0023873839270421057,0.10580987738802079,1.0122766181100441e-07,1.734540771444017e-07,0.0,True
25,57.887541899995995,0.0008,0.7322847843170166,0.09495885670185089,0.6264333128929138,6.545204087160528e-05,0.04350496083498001,0.000267658761003986,0.529659628868103,1.2819474103790776,2.0436134338378906,0.18442074954509735,0.12155163288116455,0.020329879596829414,0.7284033894538879,0.6942862868309021,0.38602837920188904,0.2522265911102295,0.2077132910490036,0.6331681609153748,0.828342080116272,0.9551137089729309,0.9614570736885071,0.0023556536542829096,0.09786093391672794,1.0655888470560604e-07,2.05441054762661e-07,0.0,True
30,66.02063330000237,0.0008,0.667262613773346,0.0846562534570694,0.5743029117584229,5.286097075440921e-05,0.03316071629524231,0.00039751449367031455,0.9140169024467468,1.210181343135304,2.0436134338378906,0.17194515466690063,0.11547065526247025,0.019658105447888374,0.6976893544197083,0.6805764436721802,0.33257073163986206,0.2406829297542572,0.18885527551174164,0.5919285416603088,0.7428750395774841,0.9392141103744507,0.9458422660827637,0.0023590162068577595,0.09066029337062295,1.0601520050796452e-07,2.1713381022526626e-07,0.0,True
35,73.65653139999631,0.0008,0.6069597005844116,0.0714484378695488,0.5281350016593933,4.980638186680153e-05,0.029454952105879784,0.0004473760782275349,0.5434083938598633,1.1347967261842942,2.0436134338378906,0.15612253546714783,0.10669282078742981,0.01907278224825859,0.6642322540283203,0.664073646068573,0.28405529260635376,0.2306118756532669,0.1911982148885727,0.5324689745903015,0.6650281548500061,0.9258982539176941,0.9250232577323914,0.002444893786201026,0.088566195087267,1.070631228578269e-07,1.8507034411231668e-07,0.0,True
40,81.42380669999693,0.0008,0.5569669604301453,0.057113345712423325,0.4934080243110657,4.854047074331902e-05,0.025733543559908867,0.0005349370185285807,0.5758126974105835,1.0622465289214162,2.0436134338378906,0.13511934876441956,0.09793685376644135,0.01683891750872135,0.6358923316001892,0.6452787518501282,0.25813236832618713,0.2215571403503418,0.16620028018951416,0.47431331872940063,0.6215214133262634,0.9151492714881897,0.9018839597702026,0.002576712114044255,0.08024594175907498,1.0208343774578789e-07,1.9913603747736558e-07,0.0,True
45,89.63378609999927,0.0008,0.5168191194534302,0.0467638224363327,0.4642356336116791,5.180862717679702e-05,0.023226618766784668,0.0006988996174186468,0.35188066959381104,1.0006367152503552,2.0436134338378906,0.12169482558965683,0.08703868091106415,0.01516586821526289,0.6058008074760437,0.623022735118866,0.24520356953144073,0.20769456028938293,0.15231575071811676,0.4275364875793457,0.5972363352775574,0.9021453857421875,0.873649001121521,0.0025655641008202213,0.07431644074075174,1.0652012467453447e-07,1.9352433948135005e-07,0.0,True
50,100.60753609999665,0.0008,0.4778347313404083,0.03975718468427658,0.43269479274749756,5.1292496209498495e-05,0.02147934027016163,0.0008117871475405991,0.3772885203361511,0.9444830670511378,2.0436134338378906,0.11074838787317276,0.07922177016735077,0.013294503092765808,0.577795684337616,0.5963028073310852,0.23399633169174194,0.19791600108146667,0.12045704573392868,0.39985135197639465,0.5723926424980164,0.8841921091079712,0.8384228348731995,0.002880098927552882,0.06858179062014806,1.0414844532099628e-07,1.8659162227034e-07,0.0,True
55,112.76208239999687,0.0008,0.44079476594924927,0.03409353643655777,0.4017709791660309,5.112836151965894e-05,0.019669586792588234,0.0008442187681794167,0.26057305932044983,0.8920240490620932,2.0436134338378906,0.10029850155115128,0.07038614898920059,0.012394985184073448,0.5529853105545044,0.5694155693054199,0.2238789051771164,0.18919362127780914,0.12075550854206085,0.3646816909313202,0.5511993169784546,0.8635412454605103,0.8008765578269958,0.0029799379736235314,0.06564916569104795,1.0875389435727795e-07,1.8806566887178484e-07,0.0,True
60,121.7347146999964,0.0008,0.4041154384613037,0.029314925894141197,0.3701542913913727,5.037241498939693e-05,0.018534131348133087,0.0007952449377626181,0.818848192691803,0.8451749628838356,2.0436134338378906,0.08929560333490372,0.06235616281628609,0.010991710238158703,0.5315216779708862,0.541145920753479,0.21569235622882843,0.1797216683626175,0.11417607963085175,0.33750858902931213,0.5296818017959595,0.8394836187362671,0.7582368850708008,0.0036725361533815667,0.06935794572901753,1.0074430554030516e-07,1.8127445486332273e-07,0.0,True
65,129.3983900000021,0.0008,0.3697676956653595,0.025729170069098473,0.3393763601779938,5.251175389275886e-05,0.018595729023218155,0.0007474276353605092,1.6435625553131104,0.7941703652674321,2.0436134338378906,0.08015167713165283,0.05604136362671852,0.009866881184279919,0.5092164874076843,0.5112712979316711,0.20617681741714478,0.17222225666046143,0.10872052609920502,0.31617388129234314,0.5117480158805847,0.8164281845092773,0.7124322056770325,0.0038275153830921492,0.06190125312687727,1.0671948925111739e-07,1.914358748313063e-07,0.0,True
70,136.82332999999926,0.0008,0.33994418382644653,0.02320166863501072,0.31259486079216003,5.053689164924435e-05,0.016539782285690308,0.0007167162839323282,0.9874927997589111,0.7585007053677372,2.0436134338378906,0.07266251742839813,0.051709745079278946,0.008793839253485203,0.49219217896461487,0.4844924807548523,0.20052017271518707,0.16705603897571564,0.09803935140371323,0.30152156949043274,0.49699878692626953,0.7953691482543945,0.6702181696891785,0.00403660623435668,0.06539116230978229,1.0384489113839993e-07,1.8301961459830695e-07,0.0,True
75,144.304011799999,0.0008,0.31730133295059204,0.02116531692445278,0.2920602262020111,4.953414463670924e-05,0.01625337265431881,0.0007006406085565686,1.2427877187728882,0.7240824924601912,2.0436134338378906,0.06736541539430618,0.04827984794974327,0.008188827894628048,0.4778491258621216,0.46262454986572266,0.1941547989845276,0.1622990369796753,0.09257683157920837,0.2878214120864868,0.4862545132637024,0.7782385945320129,0.637362539768219,0.0035677652572984595,0.05873279721605882,1.0669123531636451e-07,1.940932334862251e-07,0.0,True
80,151.53429080000205,0.0008,0.29778149724006653,0.019529448822140694,0.27458277344703674,4.2783791286638007e-05,0.01463397592306137,0.0006798777612857521,0.7191365361213684,0.6968911918058743,2.0436134338378906,0.06376306712627411,0.04540720582008362,0.007568895351141691,0.46543604135513306,0.44286224246025085,0.1891613006591797,0.15849201381206512,0.08806630223989487,0.27657628059387207,0.4750308394432068,0.7632585763931274,0.6082572340965271,0.003247901531093028,0.05634865948000022,1.0575697900147668e-07,1.9167494074784803e-07,0.0,True
85,159.00329719999718,0.0008,0.28158676624298096,0.018366198986768723,0.2597668468952179,4.0526956581743434e-05,0.013774174265563488,0.0006949270027689636,0.4396533668041229,0.6760421045136665,2.0436134338378906,0.06087480112910271,0.04349300637841225,0.007265274878591299,0.45545637607574463,0.42726415395736694,0.18464186787605286,0.15575498342514038,0.08486559242010117,0.2677973210811615,0.46463853120803833,0.7472670674324036,0.5856610536575317,0.0029568758374702827,0.05554189467101549,1.0346423403167846e-07,1.8532570942440078e-07,0.0,True
