epoch,elapsed_s,lr,loss,qfield_loss,vfield_loss,q32_loss,v32_loss,residual_force_loss,gradient_norm,score,peak_vram_GiB,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,rotation_X_relative_l2,rotation_Y_relative_l2,rotation_Z_relative_l2,rotation_rate_X_relative_l2,rotation_rate_Y_relative_l2,rotation_rate_Z_relative_l2,physical_q_relative_l2,physical_qdot_relative_l2,weak_median,weak_p90,hard_BC_max_abs,finite
0,0.5431349999998929,0.0,1.1166267395019531,0.3307762145996094,0.7384059429168701,0.00022141056251712143,0.1895570158958435,0.0,0.0,1.6598202315545187,1.836897373199463,0.31206679344177246,0.16192130744457245,0.055182356387376785,0.7984061241149902,0.7444301843643188,0.5054891705513,0.5557774901390076,0.9494253993034363,0.8037518262863159,1.011885643005371,0.9825746417045593,0.9955319166183472,0.0029800770928699594,0.2070139153452453,nan,nan,0.0,True
1,1.1917457000017748,0.00016,1.1166267395019531,0.3307762145996094,0.7384059429168701,0.00022141056251712143,0.1895570158958435,0.0,1.8825733661651611,1.6460971031482567,2.037595748901367,0.3102053701877594,0.16126030683517456,0.05474872514605522,0.797976016998291,0.7415708899497986,0.5018093585968018,0.5519362092018127,0.9409777522087097,0.7998500466346741,1.0109105110168457,0.98125159740448,0.9953441023826599,0.0026776049073192597,0.19305392659900533,nan,nan,0.0,True
5,2.5373732000007294,0.0008,1.0514506101608276,0.2916603684425354,0.7283239960670471,0.00014631857629865408,0.12571857869625092,1.8991822798852809e-06,2.0731332302093506,1.5723469594701918,2.037595748901367,0.2883683741092682,0.15333063900470734,0.049605365842580795,0.7971062064170837,0.7281830310821533,0.4917106330394745,0.5032965540885925,0.8368076682090759,0.7564138174057007,1.0030648708343506,0.9723511338233948,0.9937055706977844,0.002727569200708675,0.1396301520871419,nan,nan,0.0,True
10,4.139095400001679,0.0008,0.9141944050788879,0.17618469893932343,0.7190035581588745,8.917950617615134e-05,0.07593534141778946,5.992162186885253e-06,4.504548072814941,1.4801539700423332,2.037595748901367,0.2268165498971939,0.13493837416172028,0.03304532542824745,0.813768744468689,0.7274873852729797,0.4852260649204254,0.35023999214172363,0.4852864742279053,0.6758331656455994,0.9941051006317139,0.967674195766449,0.9928913712501526,0.0030084613583340023,0.13820832373158096,nan,nan,0.0,True
15,5.663220499998715,0.0008,0.8846777677536011,0.15083317458629608,0.7166136503219604,8.206922939280048e-05,0.06884157657623291,1.6041836715885438e-05,8.866467475891113,1.4479752105013894,2.037595748901367,0.2229519784450531,0.1373194456100464,0.0276966392993927,0.7951697111129761,0.7187959551811218,0.48296844959259033,0.32823091745376587,0.4082806408405304,0.7696542143821716,0.9868161082267761,0.9635732769966125,0.9899968504905701,0.003104418892094733,0.11687134062291654,nan,nan,0.0,True
20,7.2270199000049615,0.0008,0.8185861110687256,0.1090683564543724,0.6991541385650635,4.3324020225554705e-05,0.04141117259860039,6.994851901254151e-06,3.937087059020996,1.3849611365695476,2.037595748901367,0.20138728618621826,0.1289021074771881,0.023956794291734695,0.7818868160247803,0.712225079536438,0.4706069529056549,0.27410465478897095,0.27504074573516846,0.6668745875358582,0.9708727598190308,0.9591037034988403,0.9837863445281982,0.0025666139207056013,0.09157782092052834,nan,nan,0.0,True
25,8.708973300002981,0.0008,0.7874720692634583,0.10762443393468857,0.6708469986915588,3.606228710850701e-05,0.0359666533768177,6.650822797382716e-06,1.4440113306045532,1.3328202871085264,2.037595748901367,0.1965901255607605,0.1262020766735077,0.02271035872399807,0.759687066078186,0.7017003297805786,0.4398947060108185,0.2654407322406769,0.2560662627220154,0.6532891988754272,0.9201013445854187,0.9548433423042297,0.9735224843025208,0.0019063509912146763,0.06954064844850752,nan,nan,0.0,True
30,10.293691200000467,0.0008,0.7337637543678284,0.10345371812582016,0.62264084815979,2.9817601898685098e-05,0.030647076666355133,8.246615834650584e-06,2.7735676765441895,1.2905254786819906,2.037595748901367,0.188987135887146,0.12465842813253403,0.021147843450307846,0.7375301718711853,0.6934192776679993,0.38473188877105713,0.2637862265110016,0.23448213934898376,0.6507534980773926,0.8293108344078064,0.9525992274284363,0.9607627987861633,0.00142026719965095,0.0929422697144617,nan,nan,0.0,True
35,11.787936699998681,0.0008,0.675352931022644,0.0875140130519867,0.5812126398086548,2.63676938629942e-05,0.02647864818572998,8.340097338077612e-06,3.269339084625244,1.2165140896372304,2.037595748901367,0.18020355701446533,0.11815047264099121,0.0205034539103508,0.7050858736038208,0.6801035404205322,0.3411988615989685,0.24459616839885712,0.20789198577404022,0.6063962578773499,0.7598496079444885,0.9411027431488037,0.9488412141799927,0.001517794394996622,0.06588934772953142,nan,nan,0.0,True
40,13.290558400003647,0.0008,0.6313722133636475,0.07898183912038803,0.5455933809280396,2.5537370675010607e-05,0.027162445709109306,8.554611667932477e-06,8.69867992401123,1.2002324188477647,2.037595748901367,0.1684449166059494,0.11241086572408676,0.019455663859844208,0.701481282711029,0.6755659580230713,0.2993122339248657,0.23455210030078888,0.18990381062030792,0.5696195363998413,0.6905032992362976,0.9293046593666077,0.9320650100708008,0.0016016095566411786,0.12027925154352018,nan,nan,0.0,True
