epoch,elapsed_s,lr,loss,qfield_loss,vfield_loss,q32_loss,v32_loss,gradient_norm,score,peak_vram_GiB,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,rotation_X_relative_l2,rotation_Y_relative_l2,rotation_Z_relative_l2,rotation_rate_X_relative_l2,rotation_rate_Y_relative_l2,rotation_rate_Z_relative_l2,physical_q_relative_l2,physical_qdot_relative_l2,hard_BC_max_abs,finite
0,0.4090894999972079,0.0,2.5796003341674805,1.0406193733215332,1.0227447748184204,1.0526673793792725,1.0122772455215454,0.0,5.851247226341405,1.9105868339538574,1.0760133266448975,0.9908645153045654,0.8594195246696472,1.0222245454788208,1.0027543306350708,1.0174938440322876,0.9270258545875549,1.1203055381774902,1.1163816452026367,1.0038164854049683,1.0149140357971191,1.0044828653335571,0.8961018475234162,1.015223304251578,0.0,True
1,0.762962000000698,0.00016,2.5796003341674805,1.0406193733215332,1.0227447748184204,1.0526673793792725,1.0122772455215454,2.936474084854126,5.797424760792597,2.1706910133361816,1.0389723777770996,0.9773474931716919,0.8624957799911499,1.018640398979187,1.0009346008300781,1.0163323879241943,0.9221463799476624,1.1095588207244873,1.104388952255249,1.0035231113433838,1.0137277841567993,1.0042604207992554,0.8941849935572532,1.012940844857345,0.0,True
5,1.1012527999992017,0.0008,2.340942859649658,0.8506848812103271,1.0032782554626465,0.9408683776855469,1.0070505142211914,1.8825536966323853,5.2053984333729515,2.1706910133361816,0.8152660727500916,0.7604227066040039,0.8330149054527283,0.9899789690971375,0.9813175797462463,1.0058468580245972,0.8397542238235474,1.0388327836990356,0.9879463911056519,1.000952124595642,1.007056713104248,1.00276517868042,0.8131720099611005,0.9899020703420742,0.0,True
10,1.4878057000023546,0.0007978896645755696,1.9755990505218506,0.5618281960487366,0.974016010761261,0.7536236047744751,1.0053956508636475,2.7743842601776123,4.215070123913499,2.1706910133361816,0.6752421855926514,0.469027042388916,0.5908011794090271,0.9537646174430847,0.9497484564781189,0.9882623553276062,0.6346747279167175,0.9084734916687012,0.894690990447998,0.9992557764053345,1.0034451484680176,1.0024166107177734,0.5583603741935944,0.9515032554098097,0.0,True
15,1.872518800002581,0.0007915834000556312,1.7044754028320312,0.35129427909851074,0.9399167895317078,0.6613004207611084,0.9917565584182739,3.1437504291534424,3.4325580613147215,2.1706910133361816,0.5647329092025757,0.32051944732666016,0.35909467935562134,0.906226634979248,0.9067425727844238,0.9686252474784851,0.46979284286499023,0.6236048936843872,0.8662371635437012,0.9988514184951782,1.0058292150497437,1.0015321969985962,0.34593496836169224,0.9029576588941874,0.0,True
20,2.253407199998037,0.0007811551416258089,1.5153353214263916,0.22456060349941254,0.9032161831855774,0.582124650478363,0.9681099653244019,1.8129278421401978,2.843818361280105,2.1706910133361816,0.4882667660713196,0.2315114289522171,0.18550974130630493,0.869750440120697,0.8549639582633972,0.9358813762664795,0.34601908922195435,0.3646661937236786,0.8225762248039246,0.9972936511039734,1.0083541870117188,1.0011876821517944,0.1900843702122063,0.8362963348255408,0.0,True
25,2.7273812999992515,0.0007667271510815446,1.387740969657898,0.16960513591766357,0.8766788244247437,0.4340573847293854,0.9317707419395447,0.9662338495254517,2.6569334635491826,2.1706910133361816,0.4218391180038452,0.20569908618927002,0.1704910844564438,0.859483003616333,0.8309260606765747,0.9004834294319153,0.3336724042892456,0.3107588291168213,0.7158446907997131,0.993484616279602,1.001629114151001,0.9977784752845764,0.16966467593671958,0.7875865042009846,0.0,True
30,3.1219186000016634,0.0007484685834203322,1.287989854812622,0.13514451682567596,0.8506165742874146,0.3267125189304352,0.8822024464607239,0.7130948305130005,2.3740703248114787,2.1706910133361816,0.38752856850624084,0.1772223711013794,0.087662473320961,0.8716755509376526,0.8075266480445862,0.8413007259368896,0.2914513051509857,0.2668428421020508,0.6599435806274414,0.9848357439041138,0.993405282497406,0.9944745302200317,0.10309785956450362,0.7166151797176599,0.0,True
35,3.5153366000013193,0.0007265935036540318,1.202317476272583,0.11618886142969131,0.8183534145355225,0.24799546599388123,0.8231053948402405,0.5677182078361511,2.200989782804493,2.1706910133361816,0.3313949704170227,0.16712120175361633,0.07677138596773148,0.8807632327079773,0.7879465818405151,0.7669311761856079,0.2862899601459503,0.22616221010684967,0.6352524161338806,0.9598958492279053,0.9839397072792053,0.9926430583000183,0.08929047526100471,0.6371825080761352,0.0,True
40,3.901979599999322,0.0007013583770923271,1.115442156791687,0.10278141498565674,0.7723007798194885,0.201214000582695,0.7602256536483765,0.49807456135749817,2.0486769545956283,2.1706910133361816,0.29161307215690613,0.15971031785011292,0.07701793313026428,0.8776224851608276,0.7699249386787415,0.6732175350189209,0.281660795211792,0.1991080343723297,0.6076876521110535,0.9067763686180115,0.972987711429596,0.9889629483222961,0.08542361200294425,0.5490590800523114,0.0,True
