section,metric,value
direct,q_224_relative_l2,1.4898843103015319e-15
direct,q_32_relative_l2,1.3190220043140441e-15
direct,qdot_224_relative_l2,1.7477815727988186e-15
direct,qdot_32_relative_l2,1.6246796203675233e-15
compact,displacement_relative_l2_vs_capacity_h5,0.0
compact,velocity_relative_l2_vs_capacity_h5,0.0
observation,basis_rows,1536
observation,basis_columns,224
observation,rank,224
observation,condition_number,10114.115625466908
observation,q_224_relative_l2_vs_full_grid_projection,0.0010985384061588908
observation,q_32_relative_l2_vs_full_grid_projection,0.0010696717485557483
observation,qdot_224_relative_l2_vs_full_grid_projection,0.2914866440252989
observation,qdot_32_relative_l2_vs_full_grid_projection,0.30769026994598614
observation,q_224_relative_l2_vs_direct_13_state_projection,0.00107526229602241
observation,qdot_224_relative_l2_vs_direct_13_state_projection,0.08251697960903896
observation,translation_reconstruction_relative_l2,6.497246146146714e-06
observation,velocity_reconstruction_relative_l2,0.0016579826193672906
