epoch,elapsed_s,lr,loss,data_loss,physics_loss,displacement_loss,velocity_loss,state_loss,equilibrium_loss,data_gradient_l2,physics_gradient_l2,gradient_cosine,score,peak_vram_GiB,displacement_X_pooled_l2,displacement_Y_pooled_l2,displacement_Z_pooled_l2,velocity_X_pooled_l2,velocity_Y_pooled_l2,velocity_Z_pooled_l2,physical_q13_pooled_l2,physical_qdot13_pooled_l2,equilibrium_residual_median,equilibrium_residual_p90,hard_BC_max_abs,finite
0,0.9293115000036778,0.0,1.1853481531143188,1.1853481531143188,0.12970058619976044,1.0939279794692993,0.3656807839870453,2.527804374694824,3.310364246368408,0.17309674620628357,0.05109430104494095,0.0030480476561933756,3.8501462367962644,1.2430567741394043,1.0014667289215247,1.0032421243032041,0.995196335751475,1.002638702310054,1.0020326846165881,1.0022562516798081,0.9850913816844815,1.0093408720668204,1.4674913199943904,57.13417965078781,0.0,True
1,2.122389700001804,0.00016,1.1825096607208252,1.1825096607208252,0.12980614602565765,1.091178297996521,0.3653256297111511,2.5296905040740967,3.3216187953948975,0.17373283207416534,0.051160138100385666,-0.017955046147108078,3.845310818709788,1.2493395805358887,1.0005424230741187,1.0017284986705066,0.9932174537311114,1.0023993756533172,1.0017924935092628,1.001988500351789,0.9827735085545931,1.0092486948653907,1.4651577357792633,57.21947815814772,0.0,True
5,4.60959840000578,0.0008,0.8974674940109253,0.8974674940109253,0.1891428679227829,0.806157112121582,0.3652414381504059,3.0607261657714844,36.10655975341797,1.1031495332717896,0.8498544096946716,-0.04831577464938164,3.561754017468111,1.2493395805358887,0.9784491748631746,0.9170571504529147,0.8152319623577459,0.9984184486856216,0.9949128956976601,0.9972416061579692,1.033724921589632,1.0092762653819127,1.4274641568678073,50.93325526844935,0.0,True
10,7.248059700003068,0.0008,0.43583327531814575,0.43583327531814575,0.6219505667686462,0.34839603304862976,0.34974902868270874,5.826649188995361,330.61810302734375,1.1545296907424927,6.053843021392822,0.10751750320196152,2.5167148152420165,1.2493395805358887,0.9028578870927483,0.42324854154692987,0.336161382351161,0.9860274841462275,0.8690723794961496,0.9074384379679938,1.6381242884858456,1.0975949771273805,2.176196963105096,40.45070117797153,0.0,True
15,9.819795000003069,0.0008,0.3221776783466339,0.3221776783466339,0.4164126217365265,0.24123524129390717,0.3237697184085846,4.809418678283691,175.94168090820312,0.7582427859306335,3.7109756469726562,0.07120999693870544,2.1667912763014705,1.2493395805358887,0.7829434818659442,0.30390436642446006,0.3017049931250628,0.943670412234485,0.727366523338654,0.7557997482869254,1.7152926392098722,1.2507065603523833,1.87614280504893,32.69754233536107,0.0,True
20,12.430982100006077,0.0008,0.22686293721199036,0.22686293721199036,0.3943943977355957,0.1499214917421341,0.30776578187942505,4.927069187164307,148.04090881347656,0.6868047118186951,3.635552167892456,-0.31620410084724426,1.7690763551279605,1.2493395805358887,0.5200039123603272,0.24037554115392798,0.23567332904286317,0.9160288141900362,0.7082691239847037,0.7248306334712926,1.8574142965933405,1.2918591077458286,2.5707212090284193,20.201805150835526,0.0,True
25,15.005357400004868,0.0008,0.15379488468170166,0.15379488468170166,0.42949771881103516,0.0820864662528038,0.28683367371559143,5.375946044921875,160.70042419433594,1.0342767238616943,4.037867069244385,0.07579926401376724,1.5562630513715898,1.2493395805358887,0.4026875067762276,0.19217796891604264,0.2109386147961016,0.9061519908640008,0.7005864246907959,0.7108354996023933,1.7106548209392063,1.3866127057772413,2.9034964555281872,29.70281419704029,0.0,True
30,17.628449800002272,0.0008,0.10367730259895325,0.10367730259895325,0.4261225461959839,0.03555460274219513,0.27249079942703247,5.156033039093018,168.32090759277344,0.9157260060310364,3.8211207389831543,-0.7590407133102417,1.3381444676474938,1.2493395805358887,0.29854551833566595,0.1629869510955123,0.14229650416441025,0.901540559014369,0.6959651425167745,0.6966058674052068,1.6078760181781773,1.3330621906886155,4.391837035887873,39.9299828541704,0.0,True
35,20.34439890000067,0.0008,0.09170737862586975,0.09170737862586975,0.49532267451286316,0.028736112639307976,0.2518850564956665,5.7022552490234375,210.20989990234375,0.7806171774864197,4.346415042877197,-0.606654703617096,1.2137170494419447,1.2493395805358887,0.23483283650111988,0.13174800596643424,0.11996488305608585,0.8906694843343343,0.6873414607982935,0.6771788737860154,1.6337386918864405,1.43526715030085,5.299603095586853,51.390855748346695,0.0,True
40,22.97124260000419,0.0008,0.10021020472049713,0.10021020472049713,0.4216464161872864,0.03974516689777374,0.24186015129089355,5.192966461181641,161.99807739257812,1.351826786994934,3.512502908706665,-0.6953754425048828,1.2308624729548387,1.2493395805358887,0.24592387745072417,0.1361189544942866,0.12802255712420427,0.8835418119785835,0.6881310994747817,0.6761311892077151,1.5884605872035371,1.4533083156864923,4.260312585529773,61.89045872036604,0.0,True
