epoch,elapsed_s,lr,loss,data_loss,physics_loss,displacement_loss,velocity_loss,state_loss,equilibrium_loss,data_gradient_l2,physics_gradient_l2,gradient_cosine,score,peak_vram_GiB,displacement_X_pooled_l2,displacement_Y_pooled_l2,displacement_Z_pooled_l2,velocity_X_pooled_l2,velocity_Y_pooled_l2,velocity_Z_pooled_l2,physical_q13_pooled_l2,physical_qdot13_pooled_l2,equilibrium_residual_median,equilibrium_residual_p90,hard_BC_max_abs,finite
0,1.6195514999999432,0.0,1.2021124362945557,1.2002043724060059,0.0019080567872151732,1.1088144779205322,0.36555975675582886,0.03816113620996475,2.163317702058576e-12,0.24903467297554016,0.0,0.0,3.7632790774261675,1.4780864715576172,0.9998143376003799,1.0064519361092203,1.0046952260430968,1.003191813337053,1.0027474982161537,1.0017065909779144,0.004061020406904444,0.08621484148751876,5.610381112433225e-08,1.1284422852234928e-07,0.0,True
1,3.1575300000040443,0.00016,1.1944597959518433,1.1925517320632935,0.0019080567872151732,1.1012967824935913,0.365019828081131,0.03816113620996475,2.163317702058576e-12,0.26183539628982544,0.0,0.0,3.7510309636122403,1.4838213920593262,0.9984257747659377,0.9994373653895606,1.0013697337921463,1.0027472251882878,1.0019547799045663,1.000865945402767,0.004061020406904444,0.08621484148751876,5.610381112433225e-08,1.1284422852234928e-07,0.0,True
5,6.012937500003318,0.0008,0.8891772031784058,0.887269139289856,0.0019080567872151732,0.7975090146064758,0.35904040932655334,0.03816113620996475,2.163317702058576e-12,1.2129900455474854,0.0,0.0,3.374706171740854,1.4838213920593262,0.98701917416997,0.8238522461862045,0.820603628485915,1.0013460818708073,0.9876354619815296,0.9823185395799607,0.004061020406904444,0.08621484148751876,5.610381112433225e-08,1.1284422852234928e-07,0.0,True
10,9.24893929999962,0.0008,0.492370069026947,0.4904620051383972,0.0019080567872151732,0.4112432599067688,0.3168749511241913,0.03816113620996475,2.163317702058576e-12,1.5507264137268066,0.0,0.0,2.298263708273917,1.4838213920593262,0.9043867266883389,0.32173742670398126,0.39929180887100024,0.9873350808027314,0.8660359087835522,0.8363955862933401,0.004061020406904444,0.08621484148751876,5.610381112433225e-08,1.1284422852234928e-07,0.0,True
15,12.624030699997093,0.0008,0.4247952997684479,0.42288723587989807,0.0019080567872151732,0.3486826717853546,0.29681822657585144,0.03816113620996475,2.163317702058576e-12,1.2144174575805664,0.0,0.0,2.00475472890486,1.4838213920593262,0.7660240533596312,0.28868738629628743,0.33881463157917696,0.9554258766243829,0.7427026769445068,0.7451616689474062,0.004061020406904444,0.08621484148751876,5.610381112433225e-08,1.1284422852234928e-07,0.0,True
20,15.959505500002706,0.0008,0.2859666347503662,0.2840585708618164,0.0019080567872151732,0.21949322521686554,0.25826141238212585,0.03816113620996475,2.163317702058576e-12,0.6514710783958435,0.0,0.0,1.503952755112608,1.4838213920593262,0.5871799945179592,0.18371773665809527,0.16529470878026958,0.9166306566915342,0.6927386169695335,0.660047578801306,0.004061020406904444,0.08621484148751876,5.610381112433225e-08,1.1284422852234928e-07,0.0,True
25,19.314326500003517,0.0008,0.22759048640727997,0.22568242251873016,0.0019080567872151732,0.16455000638961792,0.24452964961528778,0.03816113620996475,2.163317702058576e-12,1.0544720888137817,0.0,0.0,1.4056844283860725,1.4838213920593262,0.4707142461895909,0.18597710030039008,0.1897031669299752,0.9057936396443944,0.6870801398044349,0.6426614722528741,0.004061020406904444,0.08621484148751876,5.610381112433225e-08,1.1284422852234928e-07,0.0,True
30,22.614128100001835,0.0008,0.11309198290109634,0.11118392646312714,0.0019080567872151732,0.05458387732505798,0.22640018165111542,0.03816113620996475,2.163317702058576e-12,0.3405610918998718,0.0,0.0,1.124060734303296,1.4838213920593262,0.2885657043808901,0.14229529740261526,0.14142161504862774,0.8965626437665273,0.6843486189270459,0.6245767990283165,0.004061020406904444,0.08621484148751876,5.610381112433225e-08,1.1284422852234928e-07,0.0,True
35,25.97408379999979,0.0008,0.12473224103450775,0.12282418459653854,0.0019080567872151732,0.07001000642776489,0.2112567126750946,0.03816113620996475,2.163317702058576e-12,2.3477511405944824,0.0,0.0,1.0814227008762753,1.4838213920593262,0.2651837967702913,0.14426311359607105,0.12764733065991943,0.8835433812664815,0.6796389132817237,0.6125071366890071,0.004061020406904444,0.08621484148751876,5.610381112433225e-08,1.1284422852234928e-07,0.0,True
40,29.296418199999607,0.0008,0.07268092036247253,0.07077286392450333,0.0019080567872151732,0.020776979625225067,0.19998353719711304,0.03816113620996475,2.163317702058576e-12,0.4047060012817383,0.0,0.0,1.1618598996969838,1.4838213920593262,0.26077287145934075,0.1920874101487566,0.16716686486331933,0.8747688109566762,0.679773029566677,0.6111647642161534,0.004061020406904444,0.08621484148751876,5.610381112433225e-08,1.1284422852234928e-07,0.0,True
