route,family,role,run_id,status,best_epoch,parameters,disp_X_l2,disp_Y_l2,disp_Z_l2,vel_X_l2,vel_Y_l2,vel_Z_l2,q13_l2,qdot13_l2,residual_median,residual_p90,hard_BC_max_abs,causality_max_abs,primary_field_gate,velocity_gate
R1,BRIDGE_PINO,control,S6_MICROPANEL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_V2_HARD_ZERO_BASE,PASS_S6_MICROPANEL_PRIMARY_WITH_VELOCITY_LIMITATION,150,621216,0.08684300067011512,0.062015881654656727,0.05262743005426312,0.5764253281324917,0.49887161707367317,0.36300653250452325,2.134276628556962,3.5641824306543084,7.370101123025633,360.6069871732803,0.0,0.0,True,False
R1,BRIDGE_PINO,physics,S6_MICROPANEL_R1_BRIDGE_PINO_PHYSICS_INFORMED_V1_HARD_ZERO_BASE,PASS_S6_MICROPANEL_PRIMARY_WITH_VELOCITY_LIMITATION,150,621216,0.08560513688854034,0.05836725179393439,0.04494503342403988,0.6545549138315079,0.598675166815897,0.42642777696022793,0.03949927747682676,0.08734701375189267,0.3803804790495303,4.070603223967018,0.0,0.0,True,False
R1,BRIDGE_PINO,optimization,S6_MICROPANEL_R1_BRIDGE_PINO_PHYSICS_INFORMED_COSINE_OPTIMIZATION_REPAIR_V1,PASS_S6_MICROPANEL_PRIMARY_WITH_VELOCITY_LIMITATION,150,621216,0.0970448648540098,0.06357706342607577,0.04426317983612941,0.8232492659724893,0.6611099077875265,0.5988419171302265,0.035207130015589644,0.08155785702702102,0.311656896487557,8.135506307069356,0.0,0.0,True,False
R2,MO_PIGNO,control,S6_MICROPANEL_R2_MO_PIGNO_DATA_ONLY_CONTROL_V2_DETERMINISTIC,FAIL_S6_MICROPANEL_PRIMARY,150,187552,0.10224186688390223,0.06346160501506001,0.051272265780472955,0.7328888909581545,0.5875585280451324,0.4721287656394736,1.2865176542427492,1.7855337186537747,6.2882908331376175,116.88456153440193,0.0,0.0,False,False
R2,MO_PIGNO,physics,S6_MICROPANEL_R2_MO_PIGNO_PHYSICS_INFORMED_V1_DETERMINISTIC,PASS_S6_MICROPANEL_PRIMARY_WITH_VELOCITY_LIMITATION,150,187552,0.09456166566334055,0.0652501534175756,0.053407233965534255,0.8031871753096356,0.6113136793535555,0.536607929668939,0.03927622881865494,0.09218998100626281,0.2646405300825754,3.798586062346448,0.0,0.0,True,False
R2,MO_PIGNO,optimization,S6_MICROPANEL_R2_MO_PIGNO_PHYSICS_INFORMED_COSINE_OPTIMIZATION_REPAIR_V1,FAIL_S6_MICROPANEL_PRIMARY,150,187552,0.10782151441444768,0.06845015662796648,0.05194418923948875,0.8427778704518707,0.6649856134344487,0.6131630459138974,0.04920652202279337,0.08247560320937165,0.20585946649008635,10.086353570720647,0.0,0.0,False,False
R3,GRAPH_NEURAL_GALERKIN,control,S6_MICROPANEL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_V1_DETERMINISTIC,PASS_S6_MICROPANEL_PRIMARY_WITH_VELOCITY_LIMITATION,140,244080,0.09478433259659812,0.0654745635200335,0.057015633938485334,0.7673181398001349,0.5761608657987641,0.46414175841566824,1.6185584602548013,3.123313451286353,4.637394780382136,44.58728785999385,0.0,0.0,True,False
R3,GRAPH_NEURAL_GALERKIN,physics,S6_MICROPANEL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_V1_DETERMINISTIC,FAIL_S6_MICROPANEL_PRIMARY,150,244080,0.10455487484895501,0.07464073223965328,0.07169714315372881,0.6849217624599937,0.5111024760121234,0.3979081495376803,0.04652834601129736,0.10076628712395358,0.29449507512083195,5.880575681980449,0.0,0.0,False,False
R3,GRAPH_NEURAL_GALERKIN,optimization,S6_MICROPANEL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_COSINE_OPTIMIZATION_REPAIR_V1,FAIL_S6_MICROPANEL_PRIMARY,150,244080,0.10930963972038159,0.06926905126854747,0.054374824130983906,0.8369187717680712,0.6621367042180198,0.6070872268523236,0.05608196534104707,0.09771351191425161,0.29301078148783444,2.969181272877359,0.0,0.0,False,False
R4,PORT_HAMILTONIAN_OPINF,control,S6_MICROPANEL_R4_PORT_HAMILTONIAN_OPINF_DATA_ONLY_CONTROL_V1_DETERMINISTIC,PASS_S6_MICROPANEL_PRIMARY_WITH_VELOCITY_LIMITATION,150,283792,0.09486139603323494,0.066476162184645,0.056767060378138993,0.7477048107362753,0.5445086614588402,0.44925431607331967,1.8359498922209536,3.0002266160709494,4.675602036004225,210.6177006738208,0.0,0.0,True,False
R4,PORT_HAMILTONIAN_OPINF,physics,S6_MICROPANEL_R4_PORT_HAMILTONIAN_OPINF_PHYSICS_INFORMED_V2_FIXED_ANCHOR_GRADIENT_AUDIT,PASS_S6_MICROPANEL_PRIMARY_WITH_VELOCITY_LIMITATION,145,283792,0.09715969446570467,0.06580237916671261,0.054670525662760684,0.7069205485681649,0.5161839965606965,0.42112484998417643,0.004061020406904444,0.08621484148751876,5.610381112433225e-08,1.1284422852234928e-07,0.0,0.0,True,False
R4,PORT_HAMILTONIAN_OPINF,optimization,S6_MICROPANEL_R4_PORT_HAMILTONIAN_OPINF_PHYSICS_INFORMED_COSINE_OPTIMIZATION_REPAIR_V1,FAIL_S6_MICROPANEL_PRIMARY,150,283792,0.10442742353548916,0.06407667814528052,0.04942197612690466,0.8289590875553,0.6607082176129999,0.5884780719913979,0.004061020406904444,0.08621484148751876,5.610381112433225e-08,1.1284422852234928e-07,0.0,0.0,False,False
R5,ROTATION_MULTISCALE_GNO,control,S6_MICROPANEL_R5_ROTATION_MULTISCALE_GNO_DATA_ONLY_CONTROL_V1_DETERMINISTIC,PASS_S6_MICROPANEL_PRIMARY_WITH_VELOCITY_LIMITATION,150,261045,0.09425685490753205,0.06514332187230287,0.05316151006834092,0.7003434704704461,0.5633519854168095,0.4242386000955745,1.04249539588914,2.3298276416596853,3.5823828250898293,50.12158267920895,0.0,0.0,True,False
R5,ROTATION_MULTISCALE_GNO,physics,S6_MICROPANEL_R5_ROTATION_MULTISCALE_GNO_PHYSICS_INFORMED_V1_DETERMINISTIC,PASS_S6_MICROPANEL_PRIMARY_WITH_VELOCITY_LIMITATION,150,261045,0.09910713987139115,0.07396023108669553,0.05475544245803142,0.8027758536527564,0.6317277106336833,0.4893722269889154,0.0481830229882107,0.08754235870221079,0.17957489165753893,2.9742931345868815,0.0,0.0,True,False
R5,ROTATION_MULTISCALE_GNO,optimization,S6_MICROPANEL_R5_ROTATION_MULTISCALE_GNO_PHYSICS_INFORMED_COSINE_OPTIMIZATION_REPAIR_V1,FAIL_S6_MICROPANEL_PRIMARY,150,261045,0.1092278617888236,0.07174270428929708,0.05426033958028953,0.8405337508391513,0.6642446236909179,0.6070062938558484,0.04941400219488598,0.07425846947653561,0.2372267691647036,5.332803061606417,0.0,0.0,False,False
R6,LOAD_DEPENDENT_RITZ_KRYLOV,control,S6_MICROPANEL_R6_LOAD_DEPENDENT_RITZ_KRYLOV_DATA_ONLY_CONTROL_V1_DETERMINISTIC,FAIL_S6_MICROPANEL_PRIMARY,150,266081,0.10507753286975818,0.07317239836705042,0.05706401528010294,0.6457327067137906,0.4958465465869334,0.38204468781793166,0.628213446736583,3.6907488904483,3.2192695674714757,121.07900505858846,0.0,0.0,False,False
R6,LOAD_DEPENDENT_RITZ_KRYLOV,modal,S6_MICROPANEL_R6_LOAD_DEPENDENT_RITZ_KRYLOV_RANK_MATCHED_MODAL_CONTROL_V1_DETERMINISTIC,PASS_S6_MICROPANEL_PRIMARY_WITH_VELOCITY_LIMITATION,145,266081,0.09440974280718654,0.06505979869015233,0.052063766354670034,0.658416629989417,0.47585317939528354,0.3579368753451641,0.03973764910882179,0.09249030038723702,0.1620320376477724,0.9088547780744638,0.0,0.0,True,False
R6,LOAD_DEPENDENT_RITZ_KRYLOV,physics,S6_MICROPANEL_R6_LOAD_DEPENDENT_RITZ_KRYLOV_PHYSICS_INFORMED_V1_DETERMINISTIC,PASS_S6_MICROPANEL_PRIMARY_WITH_VELOCITY_LIMITATION,145,266081,0.09823736973068938,0.06468448136764514,0.051596938268717106,0.6251760510207374,0.44742962813943266,0.3474884348526677,0.004190536635571762,0.08653326783571309,0.008826699596273895,0.20045517751510794,0.0,0.0,True,False
R6,LOAD_DEPENDENT_RITZ_KRYLOV,optimization,S6_MICROPANEL_R6_LOAD_DEPENDENT_RITZ_KRYLOV_PHYSICS_INFORMED_COSINE_OPTIMIZATION_REPAIR_V1,FAIL_S6_MICROPANEL_PRIMARY,150,266081,0.10044522470049502,0.06499105203159498,0.04683766550812473,0.8227450134989035,0.6586733973641563,0.5888480698345924,0.004190536635571762,0.08653326783571309,0.008826699596273895,0.20045517751510794,0.0,0.0,False,False
