route,family,seed,physics_run_id,control_run_id,axis,scope,control,physics,relative_change,noninferior_2pct
R1,BRIDGE_PINO,20260810,S8_FACTORIAL_R1_BRIDGE_PINO_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,X,pooled,0.08113933200635659,0.0799434125513942,-0.014739084305854244,True
R1,BRIDGE_PINO,20260810,S8_FACTORIAL_R1_BRIDGE_PINO_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,X,P90,0.10530786578606259,0.1049922240145479,-0.0029973237911394834,True
R1,BRIDGE_PINO,20260810,S8_FACTORIAL_R1_BRIDGE_PINO_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,X,worst,0.1310452979888204,0.12864532174787466,-0.018314096558813442,True
R1,BRIDGE_PINO,20260810,S8_FACTORIAL_R1_BRIDGE_PINO_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,Y,pooled,0.0570850056964893,0.05572371240213581,-0.023846775133758213,True
R1,BRIDGE_PINO,20260810,S8_FACTORIAL_R1_BRIDGE_PINO_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,Y,P90,0.07905069931854028,0.07530671939536618,-0.047361755878812306,True
R1,BRIDGE_PINO,20260810,S8_FACTORIAL_R1_BRIDGE_PINO_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,Y,worst,0.07926707565139807,0.07992035335860141,0.008241476071052967,True
R1,BRIDGE_PINO,20260810,S8_FACTORIAL_R1_BRIDGE_PINO_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,Z,pooled,0.04127452908283707,0.041118164753108546,-0.0037883976680800346,True
R1,BRIDGE_PINO,20260810,S8_FACTORIAL_R1_BRIDGE_PINO_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,Z,P90,0.05779702172711203,0.059846945148603496,0.03546763068813741,False
R1,BRIDGE_PINO,20260810,S8_FACTORIAL_R1_BRIDGE_PINO_PHYSICS_INFORMED_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,Z,worst,0.07718134694871948,0.08290693247979318,0.07418353990217197,False
R1,BRIDGE_PINO,20260811,S8_FACTORIAL_R1_BRIDGE_PINO_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R1_BRIDGE_PINO_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,X,pooled,0.07720790140486625,0.08261997349207761,0.0700973862614307,False
