epoch,elapsed_s,lr,loss,data_loss,physics_loss,displacement_loss,velocity_loss,state_loss,equilibrium_loss,data_gradient_l2,physics_gradient_l2,gradient_cosine,score,peak_vram_GiB,displacement_X_pooled_l2,displacement_Y_pooled_l2,displacement_Z_pooled_l2,velocity_X_pooled_l2,velocity_Y_pooled_l2,velocity_Z_pooled_l2,physical_q13_pooled_l2,physical_qdot13_pooled_l2,equilibrium_residual_median,equilibrium_residual_p90,hard_BC_max_abs,finite
0,1.5333928000036394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8777921978453294,0.5835442543029785,1.004125375783422,1.0084837210890794,0.9961081468705009,1.0022089789066573,1.0023660695273853,1.0018853290169083,1.174598597395889,1.1947801159675404,1.1930795956821005,29.845916972825133,0.0,True
1,3.1915211000014096,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8606059329906564,0.5941433906555176,1.002503875955608,1.006178118140153,0.9940017870637791,1.001516193359101,1.0017566725157871,1.001433751252453,1.0674549754928149,1.065807718566129,1.160132358937748,30.710712424830888,0.0,True
5,5.22094140000263,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8353713137193965,0.5941433906555176,0.9022646901318055,0.6912005225695886,0.47548158351726794,0.986370815070276,0.9580916960228438,0.9570181108146937,0.4105436202378087,0.6756168890968723,3.1920631378593454,24.86846026143107,0.0,True
10,7.753574200003641,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6759129296834958,0.5941433906555176,0.51393095482631,0.27005963918533,0.2797688949445662,0.9338441473346467,0.7292613913632955,0.7034231180295187,0.20521276545424302,0.25566084713437615,0.9343103189960953,24.236117961168354,0.0,True
15,10.813496300004772,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.319365007405137,0.5941433906555176,0.30781436935653483,0.22716510535111878,0.19220389268052399,0.9175918380124871,0.717725176146649,0.6673572848851028,0.1651306525589979,0.1662118908742141,0.5638854141086326,16.302336698212486,0.0,True
20,13.808900700001686,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16155220328662,0.5941433906555176,0.22209220803676658,0.18457074334087206,0.17917880516281173,0.895977621470138,0.7139958470890393,0.6460781006210836,0.1169755445110452,0.21218295177379834,0.4239231271431916,8.327117853070725,0.0,True
25,16.67025800000556,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3973404068883353,0.5941433906555176,0.2621852364973549,0.30631711550524043,0.24447659560316934,0.8872424895938996,0.715862717576596,0.6117814858272392,0.30639786033136934,0.18837012029880515,0.4636831122407969,9.745229156928835,0.0,True
30,19.714754900000116,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9281808884130955,0.5941433906555176,0.15734084404205378,0.11046206484019981,0.10305533083664724,0.8746586017167927,0.7007550471129994,0.6133530124695622,0.10130983369356143,0.1476811092891846,0.27592449929034174,6.596525818161818,0.0,True
35,22.717411100005847,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0380028362782254,0.5941433906555176,0.2007503392207311,0.1302129258038151,0.1574011199566712,0.866059887128097,0.6909831862395895,0.5977101581563391,0.10950143416001513,0.17530112050096278,0.2870266228123555,5.482162728690614,0.0,True
40,24.551298600003065,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9199867688986277,0.5941433906555176,0.14710558727382708,0.12386434639950092,0.10333509648627166,0.8631018370718263,0.6932448561367536,0.5963604487819474,0.07504953241396296,0.16651743248798256,0.22524900797630765,9.855090609516289,0.0,True
