epoch,elapsed_s,lr,loss,data_loss,physics_loss,displacement_loss,velocity_loss,state_loss,equilibrium_loss,data_gradient_l2,physics_gradient_l2,gradient_cosine,score,peak_vram_GiB,displacement_X_pooled_l2,displacement_Y_pooled_l2,displacement_Z_pooled_l2,velocity_X_pooled_l2,velocity_Y_pooled_l2,velocity_Z_pooled_l2,physical_q13_pooled_l2,physical_qdot13_pooled_l2,equilibrium_residual_median,equilibrium_residual_p90,hard_BC_max_abs,finite
0,2.0053490999998758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.853846491942084,1.7429313659667969,0.9992347797912964,1.0042511140213946,0.9947533193421837,1.0024954163198034,1.00415323846915,1.0029422041245937,1.032095640588225,1.0102941834155743,1.0369203112279024,15.11577499503711,0.0,True
1,5.064948000006552,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8430075346661505,1.7493181228637695,0.9974523256328476,1.0008211639509563,0.9907501374006503,1.0017984537558944,1.0030853904343617,1.0021286945200603,1.022307730041173,1.0090613588964032,1.0243102502474724,14.795448641117815,0.0,True
5,11.142062700004317,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7754564137454865,1.7493181228637695,0.915832610709016,0.6349691648707901,0.4228672544079853,0.9926879782938782,0.9873240935396569,0.991491139019956,0.5891158104432199,0.9359733865709416,1.6438494565177937,12.043230609058421,0.0,True
10,18.57097700000304,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0795554261671443,1.7493181228637695,0.7556904688748375,0.38080289506881715,0.2882317894786288,0.9604098850641094,0.7456755640457714,0.754824014031834,0.3960290695943244,0.32517461458136676,0.7211558873372553,11.720331238623414,0.0,True
15,25.86244190000434,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7535576236063155,1.7493181228637695,0.47048906045572414,0.3427926249073071,0.27916841749963117,0.9651557392469399,0.800745606904723,0.7767132941247602,0.25453860674547574,0.30618330021250245,0.4238462918924232,10.93272868494499,0.0,True
20,33.11336590000428,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3431121236508383,1.7493181228637695,0.34211218278085614,0.216609176638364,0.18901497083577667,0.9211606085047246,0.7225489687800465,0.6673924799685144,0.1760027908251998,0.19051226849012942,0.4535367935226008,12.514414205026492,0.0,True
25,40.24037710000266,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2363197812802444,1.7493181228637695,0.2541576337139874,0.21872773174051577,0.1868172385272425,0.9062193929193351,0.7117217737138817,0.6372548859010752,0.128181641649258,0.18609031666432135,0.4170124720055779,14.168805747989177,0.0,True
30,46.76918819999992,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0731726295734247,1.7493181228637695,0.20566515967389518,0.1618481097220788,0.14275204399716654,0.8860349322794333,0.7025566271096664,0.6184169135245898,0.1115519795186179,0.16662575665956822,0.36035959988255606,11.273365093075634,0.0,True
35,53.256292900005064,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9434123954404607,1.7493181228637695,0.16697347722310787,0.1237982510916759,0.09742208155524941,0.8749382651456488,0.699714541968081,0.6087012617120369,0.0938006836398587,0.1593152930033685,0.25961756187713203,9.504716038444124,0.0,True
40,59.74469830000453,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9840721433335764,1.7493181228637695,0.21268279860259645,0.11719554640477853,0.10031882281390425,0.8703877100217111,0.6950208653435473,0.6164464537661668,0.08411218229440827,0.19223095658183928,0.26874441117292536,8.29311339296078,0.0,True
45,66.1769007000039,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9161205155866202,1.7493181228637695,0.16058998642745725,0.10988718085673056,0.08790706997649035,0.8716994624016805,0.70568489014049,0.6201120839125344,0.08362169212265894,0.14754000788201693,0.22152451704547424,6.593348465997977,0.0,True
50,72.6529978000035,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008275274018909,1.7493181228637695,0.1954452561462035,0.1443539214330942,0.1181450785113961,0.8672131537914001,0.6942474725837365,0.6058183326683017,0.08511278167355714,0.18133294513058235,0.2124981867644502,5.294133826410402,0.0,True
55,79.0612265000018,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8132013085022067,1.7493181228637695,0.12617607499465125,0.0815137170977369,0.06384687901163877,0.8633601049458287,0.6866472013794958,0.5930317600756037,0.059048707979477984,0.10955326689638827,0.18676686146156896,4.196697565108319,0.0,True
60,85.96516190000693,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8413697799299314,1.7493181228637695,0.12943201338728919,0.0871694897757532,0.08519268995228702,0.8599804125996102,0.6820853056946535,0.5897972976672654,0.06609832824219822,0.12888178405436015,0.20939630540492876,3.0674849058181013,0.0,True
65,92.55683060000592,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8593729323483178,1.7493181228637695,0.1298663197410492,0.10831704085839854,0.08029423917933544,0.8612722013029857,0.6836894979470357,0.5948843760045759,0.05933813755885262,0.11134795635738098,0.2019738846088024,2.2750682330363787,0.0,True
70,99.07565820000309,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2695616751231957,1.7493181228637695,0.28068900703219796,0.23789804680724472,0.1930009868481082,0.8707373662106551,0.6912182467246955,0.6050973635541306,0.16210390313274523,0.19183717458888105,0.2917786733351856,4.009459225178425,0.0,True
75,105.93256010000187,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9048919271455792,1.7493181228637695,0.14903363349845733,0.11398581654336853,0.10398640645884132,0.8588083136646085,0.6809303422211864,0.5874871813990513,0.060796113237005366,0.1094464899858516,0.20297574967700896,2.172998665757006,0.0,True
80,112.834371500001,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7978039650666119,1.7493181228637695,0.11347531821324727,0.08233579882523975,0.07127122174691244,0.8543785623382998,0.6725563299893295,0.5760371408340395,0.04978617990795207,0.11983324453353043,0.1532621636604141,1.8896083650613216,0.0,True
85,119.75443260000611,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8344522074721967,1.7493181228637695,0.12238800069922988,0.10179106763781698,0.08033125331040038,0.8575523213443516,0.6803420556392151,0.5560809004584516,0.06448066464245024,0.14158199649960557,0.1535816661836082,2.166762544236599,0.0,True
90,127.03866019999987,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0177568934011594,1.7493181228637695,0.23360869019429956,0.13780861343469542,0.11735074298422578,0.8410286437740614,0.6724510290309593,0.5622124758005183,0.10065809636553724,0.23134136900577945,0.18290214619630915,3.648333113361079,0.0,True
95,134.39321150000615,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8148791037238172,1.7493181228637695,0.1368235287483987,0.09771332497076028,0.08732383546856069,0.8264276981172645,0.632422738239956,0.48581427620984213,0.06852236394331886,0.1053121903589418,0.17915892320773336,3.286987988428032,0.0,True
100,141.8846432000064,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7693329058203606,1.7493181228637695,0.11279432510193166,0.10595368727031601,0.07698059274027512,0.8043910750744886,0.6016377168967636,0.45450283867110824,0.08471393047247787,0.10944217600028049,0.15332712493657946,3.8029551906036043,0.0,True
105,149.53763470000558,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7097459364396339,1.7493181228637695,0.10709813791026582,0.08411550611986195,0.07016905449569394,0.7791515589619574,0.5650276899569884,0.4251224135600008,0.060378222940756086,0.10699584273021602,0.15146575165518156,2.8208995905941268,0.0,True
110,157.2187053000016,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644577596833682,1.7493181228637695,0.09906710082675596,0.0655109722178862,0.05345951126775849,0.7549570704001458,0.5326602153619181,0.40045578181436553,0.045217456271739585,0.09206623714505337,0.13804249935642698,3.476046606022936,0.0,True
115,164.7022891000015,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7820336569383646,1.7493181228637695,0.14704238633149413,0.107589854891992,0.09464206256480688,0.750541909953527,0.5281413345142213,0.4197734618142108,0.08145176579581659,0.15474570451724862,0.23348680887582418,2.8725389688812992,0.0,True
120,172.1652463999999,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.876666855258909,1.7493181228637695,0.1698851317681856,0.12425301911427439,0.15410749942497512,0.7443740205456716,0.5139353619048554,0.4168855982369198,0.09622459779612227,0.14554928038903375,0.2162399004179634,4.149809150733152,0.0,True
125,179.8731667000029,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6016306721207906,1.7493181228637695,0.09526525621200618,0.06422828915270797,0.05120722817371128,0.7094522485386844,0.46638582183496674,0.37137893786345916,0.04125646523087567,0.09077349804055761,0.1358294327446482,3.7265562682903504,0.0,True
130,187.87599920000503,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7585723117947825,1.7493181228637695,0.15517549348243273,0.09486720507386412,0.10192718989017159,0.7160597009317874,0.5017454309733212,0.3825542731965027,0.0651257207291115,0.1150860936707829,0.17573006435701094,3.8463494217536653,0.0,True
135,195.09924020000472,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6493833082321905,1.7493181228637695,0.12110071547676676,0.08396479531252195,0.06805934735058722,0.6850386647155638,0.4345074192160765,0.3652721583610207,0.050538895191493544,0.10789668235075513,0.15589274675813816,3.414421215602373,0.0,True
140,202.97905880000326,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5966821697529135,1.7493181228637695,0.0931144641240117,0.0683847481285509,0.0668410854836171,0.6782942208731116,0.4239087019489972,0.3546700670898474,0.04123624538744847,0.089098724506807,0.135035297445066,3.1773020044585394,0.0,True
145,210.88577550000628,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5942531236041585,1.7493181228637695,0.09900508072381532,0.0748270335640605,0.05817257290125314,0.665091056322886,0.4168670985935261,0.3494428646924126,0.0439818151282339,0.09311389264679908,0.14119451973669414,2.878293682437388,0.0,True
150,219.24312210000062,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7590406720753468,1.7493181228637695,0.12969470274423353,0.14370601950198825,0.12322809882852932,0.6565246579805051,0.40982801599263863,0.34852701920664475,0.08691927705648539,0.11832118339695241,0.1539741065405072,2.4842849422282427,0.0,True
