epoch,elapsed_s,lr,loss,data_loss,physics_loss,displacement_loss,velocity_loss,state_loss,equilibrium_loss,data_gradient_l2,physics_gradient_l2,gradient_cosine,score,peak_vram_GiB,displacement_X_pooled_l2,displacement_Y_pooled_l2,displacement_Z_pooled_l2,velocity_X_pooled_l2,velocity_Y_pooled_l2,velocity_Z_pooled_l2,physical_q13_pooled_l2,physical_qdot13_pooled_l2,equilibrium_residual_median,equilibrium_residual_p90,hard_BC_max_abs,finite
0,3.162382599999546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7748316247335505,1.745802402496338,0.9996413237032858,1.005077999893093,1.017591829953644,1.0038972575893528,1.0048928427227342,0.9996997177118508,0.003980166775433045,0.08355750657818425,5.6609931910413197e-08,1.1005937499689944e-07,0.0,True
1,7.042131400005019,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75756178135647,1.7514100074768066,0.9972315805367473,0.99889525299337,1.0097934317554274,1.0032203321395465,1.0037197433085554,0.9980339221254266,0.003980166775433045,0.08355750657818425,5.6609931910413197e-08,1.1005937499689944e-07,0.0,True
5,13.740266700006032,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9221277565386217,1.7514100074768066,0.9286665601536391,0.6925405681096636,0.573679601742164,1.0009603618190472,0.9624904140905682,0.9439212635128301,0.003980166775433045,0.08355750657818425,5.6609931910413197e-08,1.1005937499689944e-07,0.0,True
10,21.2906221000012,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9447510975032385,1.7514100074768066,0.7173234408882789,0.3193606580099812,0.30727569368594276,0.970734840484952,0.7318499805781632,0.6989883319028546,0.003980166775433045,0.08355750657818425,5.6609931910413197e-08,1.1005937499689944e-07,0.0,True
15,29.58899509999901,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0961369134722045,1.7514100074768066,0.5131897782898613,0.5559730283729353,0.41126573521395626,0.9706805142084682,0.7824456294047957,0.7081152760583689,0.003980166775433045,0.08355750657818425,5.6609931910413197e-08,1.1005937499689944e-07,0.0,True
20,38.05238180000015,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2980380240981748,1.7514100074768066,0.3511448205391155,0.20095750029454634,0.18595583372931787,0.9150851205373767,0.7135132162248404,0.6097290746683908,0.003980166775433045,0.08355750657818425,5.6609931910413197e-08,1.1005937499689944e-07,0.0,True
25,45.64818860000378,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.187480816024119,1.7514100074768066,0.28432939648964944,0.19329887942703938,0.16473925602882108,0.8901937763673979,0.7018137356483406,0.586853557588525,0.003980166775433045,0.08355750657818425,5.6609931910413197e-08,1.1005937499689944e-07,0.0,True
30,53.24258270000428,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9822320095505416,1.7514100074768066,0.18763063825528364,0.12936381272260472,0.12848509062138386,0.8755226843920301,0.6930962959953171,0.5767988247075565,0.003980166775433045,0.08355750657818425,5.6609931910413197e-08,1.1005937499689944e-07,0.0,True
35,61.75127800000337,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9944085589066205,1.7514100074768066,0.16891964388470976,0.1654502138864344,0.12708561458148768,0.8698374616557062,0.6890117400118818,0.5713710778381931,0.003980166775433045,0.08355750657818425,5.6609931910413197e-08,1.1005937499689944e-07,0.0,True
40,69.56018620000395,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9155240432092232,1.7514100074768066,0.16330453616358376,0.12128312369266109,0.10095982824203181,0.8646281395722845,0.6858110041767139,0.5678750099846144,0.003980166775433045,0.08355750657818425,5.6609931910413197e-08,1.1005937499689944e-07,0.0,True
45,77.19427690000157,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7999946030125551,1.7514100074768066,0.12253131284417636,0.08475844201961802,0.06636924243878767,0.8580666332775329,0.6814715363008006,0.5642121865513855,0.003980166775433045,0.08355750657818425,5.6609931910413197e-08,1.1005937499689944e-07,0.0,True
50,84.82854780000343,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8160920760771976,1.7514100074768066,0.12430371037589417,0.09363173113539652,0.07344010932075437,0.854545592304164,0.6796565498776908,0.5630718920885814,0.003980166775433045,0.08355750657818425,5.6609931910413197e-08,1.1005937499689944e-07,0.0,True
55,92.67957640000532,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759416721738471,1.7514100074768066,0.1159256177862461,0.07957919874719999,0.05834904644526095,0.8493921109157364,0.6776853891440523,0.5596816700105982,0.003980166775433045,0.08355750657818425,5.6609931910413197e-08,1.1005937499689944e-07,0.0,True
60,100.55334760000551,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8084057435398341,1.7514100074768066,0.12364483502284367,0.08764947990129764,0.07836434573429178,0.8433900656382611,0.6758811966316561,0.5541250025455129,0.003980166775433045,0.08355750657818425,5.6609931910413197e-08,1.1005937499689944e-07,0.0,True
65,108.167085699999,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8120723164740635,1.7514100074768066,0.12084967405486986,0.1025389166127725,0.07898660909809713,0.8365890377654058,0.6788941556467137,0.5217132067110032,0.003980166775433045,0.08355750657818425,5.6609931910413197e-08,1.1005937499689944e-07,0.0,True
70,115.65813790000539,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9606423710368349,1.7514100074768066,0.23619073359164713,0.11956432449061043,0.10731092448325685,0.8296791418894753,0.6740577495009101,0.48497659578472285,0.003980166775433045,0.08355750657818425,5.6609931910413197e-08,1.1005937499689944e-07,0.0,True
75,123.92940480000107,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8266906485911131,1.7514100074768066,0.13718236382609228,0.11993842531056659,0.08958881171752425,0.8156082228939903,0.6503245914870713,0.45239930985648497,0.003980166775433045,0.08355750657818425,5.6609931910413197e-08,1.1005937499689944e-07,0.0,True
80,131.75058920000447,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7399443618042344,1.7514100074768066,0.13199275145982545,0.09065142099959746,0.0655248873203694,0.7861370217949756,0.5977730226217552,0.421599096970864,0.003980166775433045,0.08355750657818425,5.6609931910413197e-08,1.1005937499689944e-07,0.0,True
