epoch,elapsed_s,lr,loss,data_loss,physics_loss,displacement_loss,velocity_loss,state_loss,equilibrium_loss,data_gradient_l2,physics_gradient_l2,gradient_cosine,score,peak_vram_GiB,displacement_X_pooled_l2,displacement_Y_pooled_l2,displacement_Z_pooled_l2,velocity_X_pooled_l2,velocity_Y_pooled_l2,velocity_Z_pooled_l2,physical_q13_pooled_l2,physical_qdot13_pooled_l2,equilibrium_residual_median,equilibrium_residual_p90,hard_BC_max_abs,finite
0,2.963434099998267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9672852825539495,2.3126139640808105,1.020531010198188,1.0343163284130608,1.0348243444136254,1.0321395117225265,1.0313390591797673,1.0293267115677807,1.0441227891155676,1.0296670628746185,1.4400886311067702,41.75194336368292,0.0,True
1,6.261275199998636,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.884671997866862,2.31996488571167,1.005718238806404,1.0064759771729184,1.0107895836206293,1.0154827558582802,1.0150322693744096,1.0148235272289898,1.0035356015149075,1.017667455939307,1.320167683126479,41.9980828239555,0.0,True
5,13.386627699997916,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.800721507684571,2.31996488571167,0.9548581172996994,0.589674037751675,0.41833059351259394,0.9987018371483793,0.9978769544300198,1.0000404847484812,0.8870394003888229,1.387481520336939,1.5137496015924667,45.81128159231549,0.0,True
10,20.242530800001987,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1445691141208654,2.31996488571167,0.7621848442421723,0.34199332043569697,0.30857862865490415,0.9821581192548213,0.7938990341170176,0.8377296474280219,0.783656205881267,3.9473415546574944,1.8313690136855267,49.36498575378309,0.0,True
15,27.17694560000382,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7974604695709766,2.31996488571167,0.477832084957309,0.32732890097578676,0.300059808091174,0.9596196261183821,0.7670374782046917,0.7533914958479115,0.7222752550396041,3.5377792190388955,2.6067503635077776,55.22069343411498,0.0,True
20,33.342565099999774,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6157083335180729,2.31996488571167,0.417469285163543,0.27863518291807154,0.2302173870406019,0.929139155218993,0.7534408199953453,0.7115781501209043,0.9084694706204561,3.932035451431781,2.713868744531257,70.06605220151594,0.0,True
25,39.574671299997135,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6357320959320096,2.31996488571167,0.4269830706956792,0.28228365261460625,0.23941557458670962,0.9133624052426056,0.7443602314785162,0.6876940372075658,1.0069562955284241,3.40192145548413,2.7181504876848344,97.44423776139347,0.0,True
30,47.53205100000196,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1889328402203942,2.31996488571167,0.2387700809133948,0.15918459528455264,0.13808188452581427,0.885956462482579,0.710453571929916,0.6336996428042784,0.9536886019243909,3.589312249618755,2.44644816623848,147.893864048195,0.0,True
35,54.48177569999825,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.129204606755986,2.31996488571167,0.19096664982244693,0.15532288071620362,0.13226814040861906,0.8761218159857077,0.707430792563732,0.6166858273562443,1.0058732683229543,3.7111166097477235,2.497652706717294,253.97418827035554,0.0,True
40,61.49994660000084,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0400839948175187,2.31996488571167,0.17322038354783453,0.11491812165085788,0.10137361015764995,0.8707948797968932,0.6977802975774509,0.6086257369450075,1.0627165088133832,3.737750646173132,2.4080043450529276,314.09535809953036,0.0,True
45,68.15919330000179,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1697073585443714,2.31996488571167,0.19282205710257247,0.17064111263277218,0.15737721687145836,0.8688339328701759,0.6957827017235685,0.6055964413791924,1.0631370294433413,3.7179135200589095,2.2401189073858365,361.64623186212225,0.0,True
50,74.76603500000056,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1212326238205974,2.31996488571167,0.21374475166950643,0.1338823425189699,0.11734728792018889,0.8656095188432107,0.6880118571425131,0.5943183388856345,1.192733129940927,3.6259705071392694,2.2053867959183124,355.3101864776631,0.0,True
55,82.45872619999864,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9643232025700624,2.31996488571167,0.14943639105221193,0.08891291258659587,0.07047494160197527,0.8674100762000699,0.6951704079677571,0.6019824855178054,1.1435821490787133,3.4597719809389704,2.185777405666011,356.4795691733857,0.0,True
60,89.38614950000192,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9872275916842171,2.31996488571167,0.1570592908492447,0.09572221862347595,0.08506607797446011,0.8625043663005243,0.6873793421219817,0.5909600540287029,1.1416906362423416,3.510140917364813,2.047208568426683,364.62664119576874,0.0,True
65,95.93156859999726,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.074042766605249,2.31996488571167,0.17767877109521718,0.13751908505667612,0.1075820258387538,0.8660834274000992,0.6957897978230966,0.5974781694990049,1.114250359340518,3.3544661596432164,2.065355889676347,362.56464122540063,0.0,True
70,102.36110310000367,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2247722770777758,2.31996488571167,0.31881524678555184,0.12883244014463469,0.10866255485792099,0.8759952494145083,0.7151285721596862,0.6093098436744513,1.1835361897750671,3.3511212938165142,2.272842256567249,370.8967790905441,0.0,True
75,109.72121670000342,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9185175303664862,2.31996488571167,0.1221567802066195,0.08515622443724279,0.06978423161960479,0.8568364485858208,0.6801448933614804,0.5806862009043755,1.1200340839010003,3.253040997429968,2.017899554362927,353.4144845865695,0.0,True
80,117.59399049999774,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8727562446450016,2.31996488571167,0.10926582140892503,0.07336524933236803,0.058885360186346665,0.8492606635374397,0.671409727570378,0.5419775104023309,1.1557783833982467,3.2505666923996372,2.0787217905898325,351.303963153846,0.0,True
85,124.52153769999859,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9083871537989343,2.31996488571167,0.11147498592339294,0.10521140178237402,0.07940489051921815,0.8354045002576006,0.6587652764769868,0.4821027937453357,1.182277329539685,3.2434710178209047,2.0546966045500863,346.61019083257565,0.0,True
90,131.0506189000007,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1976966397644926,2.31996488571167,0.22037117901181763,0.19161699880732722,0.16888286803145894,0.8206530649740703,0.6534042703452538,0.47809592578210214,1.2878727863853217,3.1326398792034826,1.9994463291545816,352.60581762700303,0.0,True
95,137.09066339999845,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9577909413300547,2.31996488571167,0.14511230556342722,0.12366641101954595,0.11501282883745693,0.7863819970650685,0.6103692223735082,0.4249804511052671,1.1856647827366367,2.8852266216576674,1.8080300605844664,344.8071578744082,0.0,True
100,143.610394000003,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8765469057262981,2.31996488571167,0.11355215703826572,0.1222140269259956,0.0901446028975304,0.7567717897604073,0.5657808993379329,0.39787718917859793,1.2052864929527183,2.9119727474911454,1.843658597446841,346.31138730823693,0.0,True
105,151.7183870000008,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8314806001712544,2.31996488571167,0.10567291261740319,0.08603422323979729,0.06958804686658365,0.7711287169753576,0.626521458770379,0.409431680123116,1.1841495348025712,2.8367943472670243,1.8424178080398195,343.34243599518106,0.0,True
110,157.80334969999967,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7588374784960199,2.31996488571167,0.10337950562973909,0.07837010586490199,0.06476947530564357,0.7174889437243881,0.4932887659988778,0.36859639608528966,1.1747486524359643,2.586981021882007,1.837725818054937,346.23049398825884,0.0,True
115,163.9027481000012,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0278101978080854,2.31996488571167,0.19577393792163708,0.16133814008110609,0.15850868612091157,0.7122259035256552,0.4688869751138827,0.38292706712435,1.211794472434587,2.5458296899016783,1.7104325297897711,347.5163367982038,0.0,True
120,170.85771779999777,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375778452530927,2.31996488571167,0.15959729280008939,0.12418054229626473,0.1590638264753185,0.6997494215525278,0.4473786639896005,0.36168237807231846,1.1753356777780843,2.419245050523517,1.5763494680835133,328.585368597283,0.0,True
