epoch,elapsed_s,lr,loss,data_loss,physics_loss,displacement_loss,velocity_loss,state_loss,equilibrium_loss,data_gradient_l2,physics_gradient_l2,gradient_cosine,score,peak_vram_GiB,displacement_X_pooled_l2,displacement_Y_pooled_l2,displacement_Z_pooled_l2,velocity_X_pooled_l2,velocity_Y_pooled_l2,velocity_Z_pooled_l2,physical_q13_pooled_l2,physical_qdot13_pooled_l2,equilibrium_residual_median,equilibrium_residual_p90,hard_BC_max_abs,finite
0,4.007158599997638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9671264489958413,2.3126139640808105,1.0204888801469156,1.034291533179643,1.0347900748415173,1.0320657156417925,1.0312598183302932,1.029265331618619,1.0440824443008947,1.0296150650061546,1.4424825500791818,41.746157405506814,0.0,True
1,7.219096799999534,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8865880644193274,2.3185935020446777,1.0057837572010766,1.007692764001504,1.011611776871534,1.015453343668107,1.0150942095410453,1.0149208953672109,1.0013265420112156,1.0086349309387628,1.2684867706980931,41.88567331697364,0.0,True
5,13.493095700003323,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.801883500191355,2.3185935020446777,0.9681040320086658,0.5963894981866944,0.4196221497270146,0.9986682932361137,0.9981430740551324,0.9995783320809032,0.6867039542594249,0.9178987190858761,1.7472410232526108,43.42590094503757,0.0,True
10,20.32978500000172,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.111458692746865,2.3185935020446777,0.787950143731615,0.36122675241013,0.2914178475520974,0.9775401285706848,0.7829098221149774,0.7946981608856558,0.3207692116019286,0.36623115495030467,0.5655017278547607,33.52264483128034,0.0,True
15,28.107721100001072,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7984559460630334,2.3185935020446777,0.5513901701843198,0.3316232409550768,0.29720500441578906,0.9489904134324546,0.7402435214126744,0.7215619343915688,0.15538563198673197,0.2791311666985377,0.3962062396816761,27.71256447584751,0.0,True
20,34.942043700000795,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6679926180241267,2.3185935020446777,0.47847755356133753,0.3129240739042712,0.2706932400127326,0.9253847430177652,0.7327727913022691,0.6821874012215767,0.20811516660382673,0.23998790894813396,0.7007602787490137,18.73797522053046,0.0,True
25,41.73365329999797,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.402294994814899,2.3185935020446777,0.3817172731593817,0.21266335923007718,0.21500091427584922,0.9145501215869819,0.731811720382416,0.6643576786846674,0.1523356798607476,0.24124283716665285,0.27216503968125494,13.124769433209105,0.0,True
30,47.979097399998864,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1367797400690967,2.3185935020446777,0.2475489105204967,0.17294386589296776,0.14286866436036466,0.8860710401774413,0.7086317795946457,0.6254294556730022,0.18385230433995126,0.18405233554422581,0.2537907818708156,5.949224572009936,0.0,True
35,55.77409510000143,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0469131388389838,2.3185935020446777,0.22028842980241853,0.1461550466056624,0.12408370583187506,0.8745527157057086,0.6967536672739268,0.6126060419687251,0.10407850361937807,0.12079435046393938,0.1851324221112902,5.570540531217208,0.0,True
40,62.94686090000323,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9802763976402055,2.3185935020446777,0.1781124690727562,0.1336793058744708,0.11287319382923296,0.8723817762048549,0.6964631480445194,0.6141430815552859,0.09864427412580379,0.24106649601044758,0.2205816138742301,6.233226803140465,0.0,True
45,69.66870019999624,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9468386810051718,2.3185935020446777,0.1834343375162732,0.11873096050529441,0.09439545954074378,0.8674543914450087,0.6900070038997753,0.5962011388402153,0.11862289896610625,0.10871901170608157,0.21955822281041235,3.7666293302901033,0.0,True
50,76.6066662000012,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0314216928040274,2.3185935020446777,0.1821388399214346,0.15217832810599852,0.14875011172614458,0.8657919532208509,0.6894955219915014,0.6006986644411337,0.09357878137078302,0.12859446039494868,0.21962108731203878,2.272356910757568,0.0,True
55,84.42203549999977,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8748610962926471,2.3185935020446777,0.14805171614446738,0.09509022766085146,0.08540211602519178,0.8643332746546011,0.6897806542660712,0.5962178470623681,0.08734092466376345,0.12876582616079651,0.1945839126947699,2.6030242523776166,0.0,True
60,91.57971759999782,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8886771045990985,2.3185935020446777,0.13448895764621346,0.11106286377354226,0.102103131624036,0.8601134497895275,0.6814673438123714,0.5881423182453402,0.08591373593496918,0.10028968414771461,0.26391752138600266,4.137572583004412,0.0,True
65,98.35297649999848,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0761528261540323,2.3185935020446777,0.2122884183099768,0.1701441122009355,0.1421813047433601,0.8658447935496874,0.6999012784517984,0.6036380785588844,0.09192953259667362,0.14758268938098715,0.19153523253909085,2.942660910386006,0.0,True
70,105.28584170000249,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.072371862696817,2.3185935020446777,0.24433195636422125,0.15183944884425726,0.12466907873133805,0.865818037611614,0.6931015421993717,0.6008599663560764,0.11586492215235016,0.1427411613318951,0.23527514213075246,5.873772971462781,0.0,True
75,112.9947766999976,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9619937105127387,2.3185935020446777,0.13610046809692694,0.16191454453402915,0.12031094382976867,0.8562369381555953,0.677927882457692,0.5849766625556064,0.13882383259790498,0.10884203680220861,0.19984788138223414,3.989891638610046,0.0,True
80,120.02196040000126,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8327528137024538,2.3185935020446777,0.1399427209071423,0.0890600621055931,0.07193271294967403,0.849852502446725,0.6665361285373962,0.5782467058270561,0.08158483537250062,0.11183043629055421,0.1512024798946597,2.7280708337102535,0.0,True
85,126.68777350000164,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.877248112939755,2.3185935020446777,0.12628154051267287,0.12843805255888685,0.09223726023357948,0.8528261800803706,0.6602777195573862,0.5548710016116247,0.13297534322270413,0.10625832594664335,0.17877089930330003,2.6179301479234613,0.0,True
90,133.01561979999678,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097209850276314,2.3185935020446777,0.20122555116757915,0.16104860818492675,0.12261565255035904,0.8558900891462153,0.6572080281405989,0.537465031204286,0.1219038600199133,0.19138484442785134,0.21012500992756533,2.8180016850791927,0.0,True
95,141.20995129999937,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.817714498539007,2.3185935020446777,0.12677978195571982,0.12443927551186587,0.09808938377525492,0.8154135739571593,0.5747065535358706,0.44171593790305846,0.10447040947144298,0.13512580804650604,0.20229185171598252,2.4934168540704205,0.0,True
100,148.2864647000024,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.851197664407606,2.3185935020446777,0.14650154337487395,0.14644446819781756,0.1129162420267254,0.7905835836137681,0.5357701177237338,0.419367386336837,0.08905138889604412,0.1178845364237649,0.17429281279741685,2.2960712854150964,0.0,True
