trial_id,route,variant,fold,run_id,status,best_epoch,selection_key,parameters,peak_vram_GiB,repaired_r4_physics
R1_LHS_07,R1,physics,0,S9_HIGH_R1_LHS_07_FOLD_0_PHYSICS_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,150,"[1.0, 0.11082378602783702, 0.11082378602783702, 0.12564344706725272, 0.1286767148529091, 0.28870606718168723, 0.6943860764421288, 0.1425136367366638, 301024]",301024,0.6003460884094238,False
R1_LHS_07,R1,physics,1,S9_HIGH_R1_LHS_07_FOLD_1_PHYSICS_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,120,"[1.0, 0.11103789194018804, 0.11103789194018804, 0.11255904216264803, 0.11789916612608212, 0.27605971325595224, 0.6969707584026359, 0.3711493713431356, 301024]",301024,0.6003460884094238,False
R1_LHS_07,R1,physics,2,S9_HIGH_R1_LHS_07_FOLD_2_PHYSICS_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,105,"[3.0, 0.14470893362679613, 0.14470893362679613, 0.15824703351186864, 0.16492844961022382, 0.37261349674049565, 0.6842999229404052, 0.5354850255803967, 301024]",301024,0.6003460884094238,False
R1_LHS_07,R1,physics,3,S9_HIGH_R1_LHS_07_FOLD_3_PHYSICS_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,140,"[3.0, 0.13956312288058517, 0.13956312288058517, 0.2274411578213937, 0.2406943209187854, 0.35046592455613784, 0.7300485864662893, 0.2743641889516239, 301024]",301024,0.6003460884094238,False
R1_LHS_07,R1,control,0,S9_HIGH_R1_LHS_07_FOLD_0_CONTROL_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,150,"[2.0, 0.10867258014920027, 0.10867258014920027, 0.13337914618596122, 0.1387246308015723, 0.3007764617823422, 0.6921690628675939, 2.5730307070127876, 301024]",301024,0.6010928153991699,False
R1_LHS_07,R1,control,1,S9_HIGH_R1_LHS_07_FOLD_1_CONTROL_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,90,"[1.0, 0.10943335463517458, 0.10943335463517458, 0.12207702145348284, 0.12932105309320718, 0.26441454764538475, 0.681219294416027, 3.9936317847709604, 301024]",301024,0.6010928153991699,False
R1_LHS_07,R1,control,2,S9_HIGH_R1_LHS_07_FOLD_2_CONTROL_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,45,"[3.0, 0.13610883850124822, 0.13610883850124822, 0.1466430439793725, 0.15304675401043824, 0.3736014951618141, 0.6878943700034417, 3.1047228489405736, 301024]",301024,0.6010928153991699,False
R1_LHS_07,R1,control,3,S9_HIGH_R1_LHS_07_FOLD_3_CONTROL_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,85,"[3.0, 0.13628962520711185, 0.13628962520711185, 0.21539022021298174, 0.22720676594867847, 0.327019943252028, 0.7199273913621507, 3.471836442331831, 301024]",301024,0.6010928153991699,False
R6_LHS_04,R6,physics,0,S9_HIGH_R6_LHS_04_FOLD_0_PHYSICS_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,135,"[1.0, 0.10378723744970948, 0.10378723744970948, 0.1319452353717614, 0.1382295601365911, 0.24054994414282038, 0.4505207907348566, 0.0080380959560169, 279753]",279753,1.7839446067810059,False
R6_LHS_04,R6,physics,1,S9_HIGH_R6_LHS_04_FOLD_1_PHYSICS_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,135,"[1.0, 0.13630784633538454, 0.13630784633538454, 0.1418947535693333, 0.14388797439076048, 0.2629010391873765, 0.40754486568281717, 0.007910431421358744, 279753]",279753,1.7839446067810059,False
R6_LHS_04,R6,physics,2,S9_HIGH_R6_LHS_04_FOLD_2_PHYSICS_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,150,"[1.0, 0.12500990641866855, 0.12500990641866855, 0.13877099153796388, 0.1422662640882463, 0.3060502096344353, 0.3671937484089521, 0.010567111025862946, 279753]",279753,1.7839446067810059,False
R6_LHS_04,R6,physics,3,S9_HIGH_R6_LHS_04_FOLD_3_PHYSICS_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,130,"[1.0, 0.10985830673678285, 0.10985830673678285, 0.1601740201447292, 0.16752847225560855, 0.24131471856087222, 0.4293671028552037, 0.010748722815054495, 279753]",279753,1.7839446067810059,False
R6_LHS_04,R6,control,0,S9_HIGH_R6_LHS_04_FOLD_0_CONTROL_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,150,"[1.0, 0.11353148813559434, 0.11353148813559434, 0.14702236734765214, 0.15463762561718442, 0.2724701400292533, 0.4484937014828348, 2.6840891040685277, 279753]",279753,1.78071928024292,False
R6_LHS_04,R6,control,1,S9_HIGH_R6_LHS_04_FOLD_1_CONTROL_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,115,"[1.0, 0.12716448202935202, 0.12716448202935202, 0.13663068021843205, 0.13858799714071565, 0.29907024106741226, 0.4584906453694102, 5.825853811670157, 279753]",279753,1.78071928024292,False
R6_LHS_04,R6,control,2,S9_HIGH_R6_LHS_04_FOLD_2_CONTROL_SEED_20260812,PASS_S9_FOLD_TRIAL_EXECUTION,125,"[1.0, 0.12377292916675714, 0.12377292916675714, 0.12459326936207661, 0.12478561532934909, 0.27833206614553413, 0.4286631972591732, 5.475513084274553, 279753]",279753,1.78071928024292,False
